# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred
6.750 51.54 50.4700 36.1 1.071 4.734
6.801 51.54 50.4500 36.5 1.094 4.793
6.850 51.55 50.4600 36.6 1.094 4.797
6.899 51.56 50.4500 36.8 1.104 4.825
6.950 51.56 50.4400 37.1 1.119 4.861
7.000 51.57 50.4400 37.2 1.124 4.881
7.049 51.57 50.4300 37.5 1.139 4.918
7.100 51.58 50.4200 37.9 1.157 4.964
7.149 51.58 50.4200 38.0 1.161 4.982
7.200 51.59 50.4100 38.3 1.177 5.020
7.250 51.60 50.4100 38.5 1.184 5.036
7.299 51.60 50.4100 38.6 1.191 5.055
7.350 51.61 50.4100 38.9 1.201 5.088
7.398 51.61 50.4000 39.1 1.214 5.120
7.450 51.62 50.4000 39.3 1.225 5.145
7.500 51.63 50.3900 39.5 1.237 5.175
7.550 51.63 50.3900 39.8 1.247 5.206
7.600 51.64 50.3800 40.0 1.259 5.227
7.648 51.65 50.3800 40.1 1.267 5.251
7.700 51.65 50.3700 40.4 1.277 5.278
7.750 51.66 50.3700 40.5 1.289 5.304
7.800 51.66 50.3600 40.8 1.302 5.337
7.850 51.67 50.3600 41.0 1.310 5.355
7.898 51.68 50.3500 41.2 1.324 5.389
7.950 51.68 50.3400 41.5 1.339 5.432
8.000 51.69 50.3500 41.6 1.344 5.436
8.050 51.70 50.3500 41.7 1.349 5.452
8.100 51.70 50.3400 41.9 1.360 5.479
8.148 51.71 50.3300 42.3 1.379 5.525
8.200 51.72 50.3300 42.4 1.387 5.544
8.248 51.72 50.3200 42.7 1.402 5.577
8.300 51.73 50.3200 42.9 1.412 5.602
8.349 51.73 50.3100 43.2 1.424 5.638
8.398 51.74 50.3000 43.3 1.436 5.659
8.449 51.75 50.3000 43.6 1.447 5.691
8.498 51.75 50.2900 43.9 1.461 5.723
8.549 51.76 50.2900 44.0 1.470 5.743
8.598 51.77 50.2900 44.1 1.478 5.762
8.648 51.77 50.2900 44.3 1.485 5.777
8.699 51.78 50.2900 44.4 1.491 5.788
8.749 51.79 50.2800 44.7 1.508 5.830
8.799 51.79 50.2700 45.0 1.524 5.868
8.848 51.80 50.2600 45.3 1.540 5.905
8.898 51.81 50.2700 45.2 1.538 5.897
8.949 51.81 50.2600 45.6 1.557 5.940
8.999 51.82 50.2500 45.7 1.567 5.963
9.049 51.83 50.2600 45.8 1.571 5.971
9.098 51.84 50.2500 46.1 1.590 6.014
9.148 51.84 50.2400 46.3 1.599 6.032
9.198 51.85 50.2400 46.4 1.606 6.048
9.249 51.86 50.2300 46.8 1.626 6.096
9.299 51.86 50.2200 47.0 1.639 6.125
9.348 51.87 50.2100 47.3 1.658 6.162
9.398 51.88 50.2100 47.4 1.662 6.167
9.448 51.88 50.2100 47.6 1.675 6.197
9.499 51.89 50.2100 47.8 1.685 6.216
9.549 51.90 50.2000 47.9 1.695 6.238
9.598 51.90 50.2000 48.2 1.708 6.268
9.648 51.91 50.2000 48.2 1.710 6.269
9.699 51.92 50.2000 48.4 1.722 6.297
9.748 51.93 50.1900 48.7 1.738 6.332
9.799 51.93 50.1800 48.9 1.748 6.354
