# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred
1.451 37.79 37.5400 1.7 0.247 0.550
1.457 37.79 37.5300 1.7 0.257 0.565
1.463 37.79 37.5300 1.7 0.261 0.574
1.469 37.79 37.5400 1.7 0.250 0.552
1.475 37.79 37.5300 1.8 0.265 0.589
1.481 37.79 37.5300 1.7 0.258 0.568
1.486 37.79 37.5400 1.7 0.254 0.567
1.492 37.79 37.5300 1.8 0.265 0.580
1.498 37.79 37.5200 1.8 0.269 0.593
1.504 37.79 37.5400 1.7 0.257 0.573
1.510 37.79 37.5400 1.7 0.258 0.564
1.516 37.79 37.5200 1.8 0.271 0.595
1.526 37.79 37.5300 1.7 0.259 0.576
1.535 37.79 37.5200 1.8 0.276 0.606
1.546 37.79 37.5200 1.8 0.279 0.608
1.556 37.80 37.5100 1.9 0.282 0.616
1.565 37.80 37.5000 1.9 0.294 0.637
1.576 37.80 37.5100 1.9 0.288 0.632
1.586 37.80 37.5100 1.9 0.289 0.636
1.595 37.80 37.5000 1.9 0.294 0.644
1.607 37.80 37.5000 1.9 0.294 0.645
1.615 37.80 37.5000 2.0 0.299 0.653
1.625 37.80 37.5000 1.9 0.293 0.642
1.635 37.80 37.4900 2.0 0.310 0.672
1.645 37.80 37.4900 2.0 0.307 0.666
1.654 37.80 37.5000 2.0 0.301 0.653
1.665 37.80 37.5000 2.0 0.302 0.658
1.676 37.80 37.4900 2.0 0.310 0.668
1.687 37.80 37.4800 2.0 0.315 0.678
1.695 37.80 37.4900 2.0 0.307 0.662
1.706 37.80 37.4800 2.1 0.318 0.682
1.717 37.80 37.4900 2.0 0.313 0.673
1.725 37.80 37.4800 2.1 0.323 0.690
1.735 37.80 37.4800 2.1 0.324 0.700
1.745 37.80 37.4700 2.1 0.327 0.706
1.755 37.80 37.4800 2.1 0.322 0.695
1.765 37.80 37.4700 2.1 0.328 0.709
1.775 37.80 37.4700 2.1 0.330 0.709
1.786 37.80 37.4800 2.1 0.321 0.695
1.796 37.80 37.4700 2.1 0.328 0.704
1.806 37.80 37.4700 2.2 0.329 0.715
