# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred
1.212 33.12 33.0300 0.8 0.093 0.268
1.218 33.12 33.0400 0.7 0.083 0.247
1.224 33.12 33.0400 0.8 0.086 0.253
1.229 33.12 33.0400 0.7 0.079 0.242
1.234 33.12 33.0300 0.8 0.098 0.275
1.241 33.12 33.0300 0.8 0.091 0.270
1.247 33.12 33.0400 0.8 0.084 0.258
1.253 33.12 33.0500 0.7 0.077 0.246
1.259 33.12 33.0300 0.8 0.097 0.283
1.265 33.12 33.0400 0.8 0.089 0.267
1.271 33.12 33.0400 0.8 0.085 0.259
1.276 33.12 33.0200 0.9 0.102 0.291
1.286 33.12 33.0300 0.8 0.095 0.277
1.296 33.13 33.0300 0.9 0.100 0.285
1.306 33.13 33.0200 0.9 0.108 0.300
1.316 33.13 33.0400 0.8 0.082 0.254
1.325 33.13 33.0400 0.8 0.091 0.268
1.335 33.13 33.0200 0.9 0.104 0.292
1.345 33.13 33.0400 0.8 0.091 0.269
1.356 33.13 33.0300 0.8 0.096 0.277
1.364 33.13 33.0400 0.8 0.092 0.269
1.375 33.13 33.0300 0.9 0.101 0.296
1.385 33.13 33.0300 0.9 0.102 0.296
1.395 33.13 33.0200 0.9 0.105 0.302
1.404 33.13 33.0300 0.9 0.095 0.286
1.415 33.13 33.0000 1.1 0.133 0.352
1.425 33.13 33.0400 0.8 0.087 0.269
1.435 33.13 33.0000 1.1 0.132 0.350
1.444 33.13 33.0200 1.0 0.110 0.319
1.455 33.13 33.0200 1.0 0.113 0.317
1.465 33.13 33.0200 1.0 0.112 0.321
1.475 33.13 33.0200 0.9 0.105 0.301
1.484 33.13 33.0200 1.0 0.114 0.325
1.495 33.13 33.0100 1.0 0.119 0.335
1.505 33.13 33.0300 0.9 0.102 0.295
1.515 33.13 33.0200 1.0 0.113 0.323
1.525 33.13 33.0100 1.0 0.117 0.332
1.536 33.13 33.0100 1.0 0.124 0.343
1.546 33.13 33.0100 1.0 0.119 0.332
1.556 33.13 33.0100 1.0 0.123 0.341
1.566 33.13 33.0100 1.0 0.122 0.339
1.576 33.13 33.0000 1.1 0.130 0.360
1.586 33.13 33.0200 1.0 0.110 0.325
1.595 33.13 33.0000 1.1 0.132 0.366
1.606 33.13 33.0000 1.1 0.129 0.360
1.615 33.13 32.9900 1.2 0.147 0.391
1.626 33.13 33.0900 0.6 0.041 0.197
1.636 33.13 32.9800 1.2 0.156 0.407
1.646 33.13 32.9800 1.2 0.154 0.403
1.655 33.14 32.9800 1.2 0.155 0.405
1.665 33.14 32.9900 1.2 0.142 0.382
1.675 33.14 32.9900 1.2 0.147 0.389
1.686 33.14 32.9900 1.1 0.142 0.379
1.696 33.14 32.9600 1.3 0.173 0.436
1.707 33.14 32.9800 1.3 0.162 0.415
1.716 33.14 32.9700 1.3 0.170 0.429
1.726 33.14 32.9800 1.2 0.160 0.411
1.735 33.14 32.9700 1.3 0.168 0.435
1.746 33.14 32.9800 1.2 0.156 0.412
1.755 33.14 32.9700 1.3 0.170 0.437
1.765 33.14 32.9900 1.2 0.152 0.406
1.775 33.14 32.9700 1.3 0.169 0.435
1.785 33.14 32.9900 1.2 0.150 0.401
1.795 33.14 32.9700 1.3 0.165 0.427
1.806 33.14 32.9800 1.3 0.164 0.434
1.817 33.14 32.9500 1.4 0.188 0.471
1.826 33.14 32.9700 1.4 0.172 0.448
1.835 33.14 32.9600 1.4 0.181 0.456
1.847 33.14 32.9600 1.4 0.185 0.471
1.856 33.14 32.9600 1.4 0.183 0.468
1.864 33.14 32.9800 1.3 0.166 0.428
1.875 33.14 32.9700 1.4 0.175 0.451
1.885 33.14 32.9700 1.4 0.177 0.457
1.896 33.14 32.9500 1.5 0.192 0.483
1.904 33.14 32.9800 1.3 0.167 0.436
1.915 33.14 32.9600 1.4 0.185 0.469
1.925 33.14 32.9700 1.3 0.171 0.443
1.935 33.14 32.9600 1.4 0.180 0.467
1.945 33.14 32.9700 1.4 0.173 0.455
1.956 33.15 32.9800 1.3 0.166 0.442
1.966 33.15 32.9600 1.4 0.184 0.475
1.976 33.15 32.9600 1.5 0.189 0.483
1.985 33.15 32.9600 1.4 0.185 0.476
1.996 33.15 32.9500 1.5 0.197 0.498
2.005 33.15 32.9600 1.4 0.186 0.476
2.015 33.15 32.9600 1.5 0.191 0.486
2.025 33.15 32.9500 1.5 0.197 0.496
2.035 33.15 32.9500 1.5 0.195 0.494
2.045 33.15 32.9700 1.4 0.181 0.465
2.055 33.15 32.9600 1.5 0.190 0.481
2.066 33.15 32.9700 1.4 0.180 0.464
2.075 33.15 32.9000 1.8 0.245 0.582
2.086 33.15 33.0000 1.2 0.150 0.407
2.096 33.15 32.9600 1.5 0.193 0.486
2.106 33.15 32.9500 1.5 0.199 0.505
2.115 33.15 32.9500 1.5 0.202 0.509
2.126 33.15 32.9600 1.5 0.193 0.494
2.136 33.15 32.9500 1.6 0.201 0.510
2.146 33.15 32.9500 1.5 0.198 0.501
2.154 33.15 32.9400 1.6 0.214 0.532
2.165 33.15 32.9500 1.5 0.199 0.502
2.175 33.15 32.9500 1.6 0.203 0.518
2.185 33.15 32.9000 1.8 0.253 0.603
2.194 33.15 32.9400 1.6 0.209 0.529
2.205 33.15 32.9500 1.5 0.201 0.506
2.215 33.15 32.9800 1.4 0.177 0.469
2.225 33.16 32.9500 1.6 0.201 0.514
2.234 33.16 32.9400 1.6 0.216 0.532
2.245 33.16 32.9600 1.5 0.194 0.498
2.255 33.16 33.1000 0.7 0.052 0.239
2.265 33.16 32.9300 1.7 0.231 0.566
2.275 33.16 32.9700 1.5 0.186 0.483
2.285 33.16 32.9400 1.7 0.222 0.550
2.295 33.16 32.9300 1.7 0.224 0.552
2.305 33.16 32.9400 1.7 0.221 0.555
2.315 33.16 32.9300 1.7 0.225 0.564
2.324 33.16 32.9500 1.6 0.211 0.537
2.335 33.16 32.9400 1.7 0.224 0.560
2.345 33.16 32.9400 1.7 0.216 0.545
2.355 33.16 32.9300 1.7 0.227 0.564
2.364 33.16 32.9500 1.6 0.215 0.542
2.376 33.16 32.9300 1.7 0.230 0.569
2.386 33.16 32.9500 1.6 0.216 0.543
2.395 33.16 32.9400 1.7 0.224 0.556
2.404 33.16 32.9500 1.6 0.214 0.538
2.415 33.16 32.9300 1.8 0.235 0.578
2.425 33.16 32.9300 1.7 0.230 0.567
2.435 33.16 32.9200 1.8 0.242 0.587
2.444 33.16 32.9300 1.7 0.231 0.566
2.455 33.17 32.9100 1.9 0.255 0.611
2.465 33.17 32.9300 1.8 0.238 0.578
2.475 33.17 32.9300 1.7 0.233 0.568
2.484 33.17 32.9200 1.8 0.243 0.596
2.495 33.17 32.9300 1.8 0.239 0.587
2.506 33.17 32.9300 1.8 0.234 0.579
2.516 33.17 32.9300 1.8 0.236 0.584
2.525 33.17 32.9600 1.6 0.213 0.539
2.536 33.17 32.9100 1.9 0.256 0.618
2.546 33.17 32.9200 1.8 0.246 0.598
2.556 33.17 32.9000 2.0 0.272 0.644
2.566 33.17 32.9200 1.8 0.246 0.598
2.575 33.17 32.9200 1.9 0.253 0.609
2.586 33.17 32.9200 1.9 0.248 0.610
2.596 33.17 32.9100 1.9 0.266 0.633
2.606 33.17 32.9200 1.9 0.253 0.617
2.614 33.17 32.8600 2.2 0.315 0.731
2.625 33.17 32.9100 1.9 0.260 0.621
2.635 33.17 32.9200 1.9 0.256 0.621
2.645 33.17 32.9200 1.9 0.249 0.609
2.654 33.17 32.9100 1.9 0.259 0.625
2.665 33.17 32.9200 1.9 0.257 0.622
2.675 33.18 32.9100 1.9 0.262 0.631
2.685 33.18 32.9100 2.0 0.269 0.644
2.694 33.18 32.9100 1.9 0.264 0.641
2.705 33.18 33.0900 1.0 0.089 0.312
2.715 33.18 32.9200 1.9 0.262 0.628
2.726 33.18 32.9100 2.0 0.271 0.645
2.735 33.18 32.9200 1.9 0.263 0.637
2.746 33.18 32.9300 1.9 0.252 0.618
2.756 33.18 32.8900 2.1 0.286 0.680
2.766 33.18 32.9200 1.9 0.261 0.634
2.775 33.18 32.9100 2.0 0.272 0.652
2.785 33.18 32.9200 1.9 0.262 0.633
2.795 33.18 32.9000 2.0 0.283 0.672
2.805 33.18 32.9100 2.0 0.269 0.645
2.815 33.18 32.9000 2.0 0.279 0.664
2.824 33.18 32.9100 2.0 0.273 0.652
2.835 33.18 32.9600 1.7 0.223 0.560
2.846 33.18 32.9100 2.0 0.274 0.652
2.856 33.18 32.9000 2.0 0.285 0.671
2.865 33.18 32.9000 2.0 0.281 0.663
2.876 33.18 32.9200 1.9 0.261 0.626
2.886 33.19 32.8900 2.1 0.291 0.689
2.896 33.19 32.9200 1.9 0.263 0.638
2.905 33.19 32.8900 2.1 0.298 0.701
2.916 33.19 32.8900 2.1 0.292 0.692
2.925 33.19 32.9200 2.0 0.270 0.649
2.935 33.19 32.8900 2.1 0.298 0.702
2.944 33.19 32.9000 2.1 0.286 0.677
2.955 33.19 32.9000 2.1 0.291 0.686
2.965 33.19 32.8800 2.2 0.314 0.729
2.975 33.19 32.9000 2.1 0.292 0.687
2.984 33.19 32.8800 2.2 0.314 0.735
2.995 33.19 32.9000 2.1 0.295 0.691
3.005 33.19 32.8800 2.2 0.308 0.723
3.015 33.19 32.8800 2.2 0.308 0.725
3.025 33.19 32.8800 2.2 0.311 0.719
3.035 33.19 32.8800 2.2 0.309 0.724
3.045 33.19 32.9000 2.1 0.298 0.703
3.055 33.19 32.8900 2.2 0.305 0.714
3.065 33.19 32.8900 2.2 0.302 0.711
3.074 33.20 32.9000 2.1 0.297 0.700
3.085 33.20 32.9300 2.0 0.268 0.646
3.096 33.20 32.8800 2.2 0.311 0.732
3.106 33.20 32.8900 2.2 0.307 0.716
3.115 33.20 32.8900 2.2 0.309 0.720
3.126 33.20 32.9000 2.1 0.297 0.696
3.136 33.20 32.8900 2.2 0.313 0.733
3.146 33.20 32.8900 2.2 0.306 0.722
3.155 33.20 32.9000 2.2 0.304 0.717
3.165 33.20 32.8700 2.3 0.328 0.759
3.175 33.20 32.9600 1.8 0.240 0.599
3.185 33.20 32.8900 2.2 0.312 0.729
3.195 33.20 32.8900 2.2 0.316 0.737
3.206 33.20 32.8800 2.3 0.318 0.738
3.216 33.20 32.8700 2.3 0.328 0.757
3.226 33.20 32.8900 2.2 0.313 0.731
3.235 33.20 32.9400 1.9 0.263 0.637
3.246 33.20 32.8800 2.3 0.323 0.745
3.256 33.20 32.8700 2.3 0.330 0.757
3.265 33.21 32.8800 2.3 0.323 0.743
3.275 33.21 32.8800 2.3 0.329 0.754
3.285 33.21 32.8900 2.3 0.320 0.738
3.295 33.21 32.8900 2.3 0.322 0.740
3.305 33.21 32.8700 2.4 0.336 0.774
3.315 33.21 32.8800 2.3 0.332 0.766
3.324 33.21 32.8900 2.3 0.319 0.743
3.335 33.21 32.8800 2.3 0.329 0.761
3.345 33.21 32.8700 2.4 0.341 0.781
3.355 33.21 32.8700 2.4 0.341 0.782
3.364 33.21 32.8900 2.3 0.320 0.742
3.375 33.21 32.9000 2.2 0.311 0.724
3.385 33.21 32.8700 2.4 0.338 0.775
3.395 33.21 32.8900 2.3 0.325 0.748
3.404 33.21 32.8800 2.4 0.337 0.778
3.415 33.21 32.8800 2.3 0.334 0.765
3.425 33.21 32.8700 2.4 0.339 0.782
3.435 33.22 32.8800 2.4 0.335 0.775
3.444 33.22 32.8900 2.3 0.331 0.757
3.456 33.22 32.8700 2.4 0.349 0.797
3.466 33.22 32.8700 2.4 0.344 0.788
3.476 33.22 32.8700 2.4 0.345 0.789
3.485 33.22 32.8700 2.4 0.344 0.787
3.496 33.22 32.8700 2.5 0.352 0.802
3.506 33.22 32.8700 2.5 0.353 0.802
3.516 33.22 32.8700 2.5 0.353 0.809
3.525 33.22 32.8800 2.4 0.336 0.770
3.535 33.22 32.8100 2.7 0.406 0.898
3.545 33.22 32.8700 2.4 0.352 0.798
3.555 33.22 32.8600 2.5 0.358 0.815
3.565 33.22 32.8700 2.5 0.357 0.815
3.574 33.22 32.8400 2.6 0.382 0.861
3.585 33.22 32.8700 2.5 0.356 0.812
3.595 33.22 32.8600 2.5 0.365 0.827
3.606 33.23 32.8700 2.5 0.354 0.806
3.615 33.23 32.8900 2.4 0.336 0.772
3.626 33.23 32.8600 2.5 0.364 0.824
3.636 33.23 32.8500 2.6 0.374 0.840
3.646 33.23 32.8600 2.5 0.365 0.823
3.654 33.23 32.8500 2.6 0.374 0.841
3.665 33.23 32.8600 2.6 0.374 0.838
3.675 33.23 32.8500 2.6 0.379 0.848
3.685 33.23 32.8700 2.5 0.361 0.814
3.694 33.23 32.8600 2.6 0.376 0.839
3.705 33.23 32.8700 2.5 0.366 0.821
3.715 33.23 32.8500 2.6 0.381 0.847
3.725 33.23 32.8600 2.6 0.376 0.838
3.734 33.23 32.8500 2.6 0.379 0.852
3.745 33.23 32.8500 2.6 0.380 0.853
3.755 33.23 32.9100 2.3 0.320 0.742
3.765 33.24 32.8800 2.5 0.356 0.810
3.775 33.24 32.8500 2.6 0.383 0.856
3.785 33.24 32.8700 2.5 0.370 0.831
3.795 33.24 32.8000 2.9 0.434 0.950
3.805 33.24 32.8600 2.6 0.375 0.839
3.816 33.24 32.8900 2.5 0.351 0.796
3.825 33.24 32.8600 2.6 0.381 0.849
3.836 33.24 32.8500 2.7 0.393 0.879
3.846 33.24 32.8600 2.6 0.384 0.855
3.856 33.24 32.8500 2.7 0.390 0.871
3.865 33.24 32.8400 2.7 0.401 0.884
3.876 33.24 32.8500 2.7 0.395 0.879
3.885 33.24 32.8500 2.7 0.397 0.884
3.895 33.24 32.8400 2.7 0.399 0.877
3.904 33.24 32.8600 2.6 0.384 0.858
3.915 33.24 32.8500 2.7 0.394 0.877
3.925 33.25 32.8300 2.8 0.412 0.907
3.935 33.25 32.8500 2.7 0.395 0.878
