# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred
3.900 25.43 25.5700 10.2 -0.147 1.245
3.951 25.43 25.6400 8.7 -0.207 1.060
4.000 25.44 25.6400 9.0 -0.201 1.088
4.051 25.44 25.7000 7.4 -0.261 0.901
4.100 25.45 25.3800 16.4 0.072 1.991
4.151 25.45 25.7000 7.9 -0.249 0.951
4.201 25.46 25.7000 8.1 -0.244 0.974
4.250 25.47 25.3800 17.0 0.089 2.066
4.300 25.47 25.6400 10.2 -0.167 1.236
4.351 25.48 25.5700 12.1 -0.096 1.474
4.401 25.48 25.5700 12.3 -0.090 1.497
4.451 25.49 25.5700 12.5 -0.084 1.521
4.500 25.50 25.5100 14.5 -0.012 1.759
4.551 25.50 25.5700 12.9 -0.072 1.568
4.601 25.51 25.5100 14.9 -0.000 1.805
4.651 25.51 25.7000 9.8 -0.190 1.191
4.700 25.52 25.5700 13.5 -0.054 1.641
4.750 25.53 25.6400 12.0 -0.113 1.450
4.801 25.53 25.7700 8.7 -0.237 1.051
4.851 25.54 25.7700 8.9 -0.230 1.078
4.900 25.55 25.5100 16.1 0.037 1.950
4.951 25.55 25.6400 12.8 -0.087 1.551
5.000 25.56 25.6400 13.0 -0.081 1.573
5.051 25.56 25.8300 8.0 -0.270 0.961
5.100 25.57 25.6400 13.4 -0.068 1.622
5.151 25.58 25.5700 15.3 0.004 1.859
5.201 25.58 25.7700 10.3 -0.185 1.245
5.250 25.59 25.3800 20.9 0.213 2.543
5.300 25.60 25.5700 15.9 0.023 1.921
5.351 25.60 25.5100 17.8 0.095 2.158
5.401 25.61 25.5700 16.2 0.036 1.965
5.451 25.62 25.5700 16.4 0.043 1.985
5.500 25.62 25.3800 21.8 0.247 2.649
5.550 25.63 25.6400 15.0 -0.009 1.815
5.601 25.64 25.5700 16.9 0.063 2.049
5.651 25.64 25.6400 15.4 0.005 1.861
5.700 25.65 25.5700 17.3 0.077 2.092
5.749 25.66 25.7000 14.0 -0.047 1.691
5.801 25.66 25.5700 17.6 0.091 2.135
5.851 25.67 25.6400 16.1 0.033 1.946
5.900 25.68 25.5700 18.0 0.105 2.177
5.950 25.69 25.5700 18.2 0.112 2.201
6.000 25.69 25.5100 20.1 0.184 2.432
6.051 25.70 25.1100 30.8 0.587 3.739
6.101 25.71 25.4400 22.1 0.264 2.679
6.150 25.71 25.5100 20.5 0.206 2.484
6.200 25.72 25.5100 20.7 0.213 2.504
6.250 25.73 25.8300 12.2 -0.106 1.465
6.301 25.74 25.7000 15.8 0.031 1.909
6.350 25.74 25.8300 12.6 -0.092 1.508
6.401 25.75 25.9000 11.1 -0.149 1.322
6.451 25.76 25.5700 19.9 0.183 2.404
6.500 25.76 25.8300 13.2 -0.070 1.579
6.550 25.77 25.7000 16.8 0.068 2.022
6.600 25.78 25.4400 23.9 0.337 2.895
6.651 25.79 25.6400 18.9 0.148 2.275
6.701 25.79 25.6400 19.0 0.155 2.294
6.750 25.80 25.4400 24.4 0.359 2.950
6.800 25.81 25.6400 19.3 0.170 2.331
6.851 25.82 25.5100 23.0 0.308 2.775
6.901 25.82 25.4400 24.9 0.381 3.007
6.951 25.83 25.3800 26.8 0.455 3.237
7.000 25.84 25.7000 18.2 0.135 2.191
7.050 25.85 25.3800 27.1 0.470 3.274
7.101 25.85 25.5700 22.0 0.281 2.649
7.151 25.86 25.4400 25.6 0.419 3.095
7.200 25.87 25.4400 25.8 0.427 3.111
7.249 25.88 25.6400 20.7 0.238 2.488
7.301 25.89 25.5700 22.6 0.311 2.722
7.351 25.89 25.5100 24.5 0.385 2.953
7.401 25.90 25.6400 21.1 0.262 2.545
7.450 25.91 25.6400 21.3 0.269 2.563
7.499 25.92 25.6400 21.5 0.277 2.584
7.551 25.92 25.4400 26.9 0.481 3.241
7.601 25.93 25.5100 25.2 0.424 3.043
7.650 25.94 25.7000 20.2 0.235 2.423
7.700 25.95 25.5700 23.8 0.374 2.866
7.750 25.96 25.5700 24.0 0.382 2.884
7.801 25.96 25.5100 25.9 0.455 3.114
7.850 25.97 25.6400 22.5 0.332 2.708
7.900 25.98 25.5700 24.4 0.406 2.936
7.951 25.99 25.8300 17.6 0.153 2.107
8.000 26.00 25.6400 23.0 0.356 2.763
8.050 26.00 25.5700 24.9 0.430 2.993
8.100 26.01 25.6400 23.3 0.373 2.798
8.151 26.02 25.4400 28.7 0.577 3.454
8.201 26.03 25.1800 35.8 0.848 4.324
8.250 26.04 25.4400 28.9 0.593 3.481
8.300 26.04 25.5700 25.5 0.470 3.069
8.351 26.05 25.5700 25.7 0.478 3.086
8.401 26.06 25.7000 22.4 0.356 2.679
8.451 26.07 25.5700 26.0 0.495 3.122
8.500 26.08 25.7700 21.0 0.307 2.505
8.551 26.09 25.5700 26.3 0.511 3.160
8.601 26.09 25.8300 19.5 0.259 2.329
8.651 26.10 25.3800 31.8 0.724 3.835
8.701 26.11 25.5700 26.8 0.536 3.210
8.750 26.12 25.7000 23.4 0.414 2.804
8.801 26.13 25.7000 23.6 0.422 2.820
8.851 26.13 25.5100 28.9 0.626 3.476
8.901 26.14 25.4400 30.8 0.700 3.705
8.950 26.15 25.9000 18.8 0.252 2.235
