# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred  predicted_c  rate_c_s
32.555 46.05 38.9100 69.6 7.144 10.014 38.43 -0.0394
32.617 46.07 38.8800 70.0 7.188 10.070 38.40 -0.0404
32.716 46.09 38.8800 70.1 7.206 10.084 38.40 -0.0401
32.816 46.11 38.8900 70.2 7.224 10.097 38.41 -0.0398
32.915 46.13 38.8700 70.6 7.259 10.140 38.39 -0.0403
33.017 46.15 38.8800 70.5 7.266 10.138 38.41 -0.0395
33.117 46.17 38.8800 70.7 7.290 10.162 38.41 -0.0395
33.217 46.19 38.8600 71.1 7.328 10.208 38.38 -0.0402
33.318 46.21 38.8500 71.3 7.355 10.236 38.37 -0.0404
33.416 46.23 38.8600 71.4 7.372 10.249 38.38 -0.0400
33.517 46.25 38.8600 71.5 7.389 10.262 38.39 -0.0397
33.617 46.27 38.8400 71.9 7.429 10.311 38.36 -0.0405
33.718 46.29 38.8400 72.0 7.447 10.326 38.36 -0.0402
33.817 46.31 38.8300 72.3 7.481 10.366 38.34 -0.0407
33.916 46.33 38.8200 72.5 7.507 10.393 38.33 -0.0408
34.018 46.35 38.8400 72.5 7.508 10.381 38.37 -0.0396
34.117 46.37 38.8100 73.0 7.559 10.449 38.32 -0.0410
34.218 46.39 38.8100 73.1 7.577 10.463 38.32 -0.0407
34.318 46.41 38.8200 73.2 7.590 10.469 38.34 -0.0401
34.418 46.43 38.8100 73.4 7.617 10.498 38.33 -0.0403
34.518 46.45 38.8000 73.7 7.654 10.542 38.30 -0.0409
34.617 46.47 38.8000 73.8 7.665 10.545 38.32 -0.0402
34.718 46.49 38.8000 74.0 7.694 10.577 38.31 -0.0405
34.819 46.51 38.7900 74.2 7.720 10.605 38.30 -0.0406
34.917 46.53 38.7900 74.4 7.741 10.624 38.30 -0.0405
35.018 46.55 38.7900 74.5 7.762 10.643 38.30 -0.0403
35.118 46.57 38.7900 74.7 7.782 10.663 38.31 -0.0401
35.220 46.59 38.7800 75.0 7.814 10.698 38.29 -0.0405
35.319 46.61 38.7900 75.0 7.823 10.699 38.31 -0.0397
35.418 46.63 38.7800 75.2 7.851 10.729 38.30 -0.0400
35.520 46.65 38.7500 75.7 7.899 10.792 38.26 -0.0411
35.618 46.67 38.7700 75.6 7.896 10.771 38.30 -0.0398
35.719 46.69 38.7600 75.9 7.932 10.817 38.27 -0.0404
35.819 46.71 38.7500 76.1 7.958 10.841 38.27 -0.0405
35.919 46.73 38.7400 76.4 7.986 10.875 38.25 -0.0407
36.019 46.75 38.7300 76.6 8.018 10.908 38.24 -0.0411
36.118 46.77 38.7200 76.9 8.046 10.940 38.23 -0.0413
36.221 46.79 38.7300 77.0 8.062 10.950 38.24 -0.0409
36.320 46.81 38.7200 77.2 8.090 10.983 38.23 -0.0411
36.419 46.83 38.7300 77.3 8.104 10.989 38.24 -0.0406
36.520 46.85 38.7100 77.6 8.139 11.031 38.22 -0.0411
36.620 46.87 38.7000 77.9 8.167 11.060 38.21 -0.0413
36.720 46.89 38.8200 76.6 8.070 10.893 38.40 -0.0353
36.820 46.91 38.7200 77.9 8.190 11.069 38.24 -0.0401
36.920 46.93 38.7100 78.2 8.220 11.104 38.22 -0.0404
37.021 46.95 38.7000 78.5 8.251 11.138 38.21 -0.0408
37.120 46.97 38.7200 78.4 8.249 11.122 38.25 -0.0395
37.222 46.99 38.7100 78.6 8.276 11.149 38.24 -0.0396
37.322 47.01 38.6900 79.1 8.323 11.211 38.20 -0.0407
37.420 47.03 38.7000 79.0 8.326 11.199 38.23 -0.0397
37.521 47.05 38.7000 79.2 8.354 11.232 38.22 -0.0399
37.621 47.07 38.6800 79.6 8.391 11.276 38.19 -0.0406
37.723 47.09 38.5900 80.8 8.497 11.432 38.06 -0.0446
37.822 47.11 38.6900 79.8 8.424 11.299 38.21 -0.0398
37.920 47.13 38.6900 79.9 8.442 11.315 38.21 -0.0394
38.021 47.15 38.6800 80.2 8.473 11.349 38.20 -0.0398
38.121 47.17 38.6500 80.7 8.523 11.416 38.15 -0.0411
38.223 47.19 38.6500 80.8 8.536 11.421 38.17 -0.0406
38.322 47.21 38.6700 80.7 8.537 11.410 38.20 -0.0394
38.421 47.23 38.6600 81.0 8.572 11.449 38.18 -0.0400
38.523 47.25 38.6200 81.6 8.627 11.524 38.12 -0.0415
38.621 47.27 38.6600 81.3 8.609 11.480 38.19 -0.0394
38.722 47.29 38.6600 81.5 8.633 11.506 38.18 -0.0394
38.823 47.31 38.6400 81.9 8.673 11.553 38.15 -0.0402
38.922 47.33 38.6300 82.1 8.697 11.580 38.15 -0.0402
39.022 47.35 38.6100 82.4 8.734 11.625 38.12 -0.0409
39.121 47.37 38.6300 82.3 8.735 11.609 38.16 -0.0397
39.223 47.39 38.6400 82.4 8.745 11.612 38.18 -0.0390
39.323 47.41 38.6300 82.7 8.777 11.648 38.16 -0.0394
39.422 47.43 38.6300 82.8 8.794 11.663 38.17 -0.0391
39.524 47.45 38.6200 83.0 8.825 11.696 38.15 -0.0394
39.623 47.47 38.6300 83.2 8.843 11.712 38.16 -0.0391
39.723 47.49 38.6200 83.3 8.864 11.730 38.16 -0.0390
39.823 47.51 38.6500 83.2 8.863 11.715 38.19 -0.0377
39.923 47.53 38.6400 83.4 8.889 11.742 38.18 -0.0379
40.024 47.55 38.6400 83.6 8.909 11.760 38.19 -0.0377
40.122 47.57 38.6200 83.9 8.945 11.802 38.16 -0.0383
40.223 47.59 38.6300 84.0 8.955 11.806 38.18 -0.0376
40.325 47.61 38.6300 84.1 8.976 11.824 38.18 -0.0375
40.424 47.63 38.6300 84.3 9.000 11.849 38.18 -0.0374
40.524 47.65 38.6600 84.1 8.991 11.818 38.23 -0.0358
40.624 47.67 38.6300 84.6 9.040 11.885 38.18 -0.0371
40.725 47.69 38.6300 84.7 9.057 11.896 38.19 -0.0368
40.824 47.71 38.6400 84.8 9.066 11.897 38.21 -0.0360
40.923 47.73 38.6500 84.8 9.078 11.904 38.22 -0.0355
41.025 47.75 38.6500 85.0 9.103 11.929 38.22 -0.0355
41.123 47.77 38.6500 85.2 9.122 11.945 38.22 -0.0353
41.224 47.79 38.6500 85.2 9.136 11.953 38.24 -0.0348
41.325 47.81 38.6600 85.3 9.145 11.953 38.25 -0.0341
41.426 47.83 38.6700 85.3 9.154 11.954 38.27 -0.0334
41.525 47.85 38.7000 85.2 9.153 11.940 38.31 -0.0322
41.624 47.87 38.6900 85.4 9.181 11.969 38.30 -0.0324
41.726 47.89 38.6800 85.6 9.204 11.993 38.30 -0.0324
41.825 47.91 38.6900 85.7 9.215 11.996 38.31 -0.0317
41.925 47.93 38.7200 85.5 9.211 11.976 38.35 -0.0304
42.025 47.95 38.7100 85.7 9.234 12.000 38.35 -0.0304
42.125 47.97 38.7200 85.8 9.245 12.003 38.37 -0.0298
42.225 47.99 38.7100 86.0 9.277 12.040 38.35 -0.0303
42.325 48.01 38.7200 86.1 9.287 12.042 38.37 -0.0296
42.427 48.03 38.7500 85.8 9.274 12.008 38.42 -0.0278
42.527 48.05 38.7600 85.9 9.289 12.018 38.43 -0.0274
42.625 48.07 38.7800 85.8 9.285 11.998 38.47 -0.0261
42.726 48.09 38.7800 86.0 9.307 12.020 38.47 -0.0261
42.826 48.11 38.7600 86.4 9.346 12.068 38.44 -0.0269
42.927 48.13 38.8000 86.1 9.331 12.031 38.50 -0.0250
43.026 48.15 38.8000 86.2 9.349 12.046 38.50 -0.0247
43.125 48.17 38.8400 85.9 9.330 12.002 38.57 -0.0227
43.227 48.19 38.8600 85.8 9.332 11.992 38.60 -0.0217
43.326 48.21 38.8500 86.1 9.359 12.022 38.59 -0.0219
43.427 48.23 38.8700 86.0 9.362 12.013 38.62 -0.0209
43.528 48.25 38.8800 86.0 9.366 12.007 38.64 -0.0201
43.626 48.27 38.9000 86.0 9.369 11.998 38.67 -0.0191
43.727 48.29 38.9200 85.9 9.373 11.990 38.70 -0.0182
43.826 48.31 38.9400 85.7 9.364 11.964 38.74 -0.0167
43.928 48.33 38.9600 85.7 9.367 11.955 38.77 -0.0157
44.027 48.35 38.9800 85.7 9.372 11.950 38.80 -0.0149
44.126 48.37 39.0000 85.5 9.367 11.930 38.84 -0.0136
44.228 48.39 39.0000 85.6 9.384 11.944 38.84 -0.0133
44.327 48.41 39.0400 85.3 9.366 11.903 38.91 -0.0114
44.428 48.43 39.0600 85.3 9.373 11.901 38.93 -0.0107
44.528 48.45 39.0900 85.2 9.363 11.873 38.98 -0.0091
44.628 48.47 39.0800 85.3 9.384 11.893 38.98 -0.0091
44.728 48.49 39.1300 84.9 9.354 11.834 39.06 -0.0066
44.827 48.51 39.1600 84.8 9.352 11.818 39.09 -0.0055
44.929 48.53 39.1700 84.7 9.354 11.807 39.12 -0.0045
45.029 48.55 39.2000 84.6 9.349 11.789 39.16 -0.0033
45.127 48.57 39.2300 84.4 9.337 11.757 39.21 -0.0016
45.229 48.59 39.2700 84.1 9.319 11.716 39.27 0.0002
45.328 48.61 39.2700 84.3 9.343 11.743 39.27 0.0000
45.429 48.63 39.3000 84.0 9.326 11.703 39.33 0.0019
45.529 48.65 39.3400 83.7 9.304 11.656 39.39 0.0040
45.629 48.67 39.3700 83.5 9.295 11.630 39.44 0.0054
45.729 48.69 39.4000 83.3 9.289 11.608 39.48 0.0067
45.828 48.71 39.4200 83.3 9.293 11.603 39.51 0.0075
45.929 48.73 39.4600 83.0 9.270 11.555 39.57 0.0096
46.030 48.75 39.4900 82.7 9.256 11.522 39.63 0.0112
46.128 48.77 39.5300 82.5 9.241 11.485 39.68 0.0129
46.229 48.79 39.5600 82.2 9.226 11.451 39.74 0.0146
46.329 48.81 39.6100 81.9 9.202 11.401 39.81 0.0167
46.431 48.83 39.6400 81.7 9.191 11.372 39.86 0.0182
46.530 48.85 39.6900 81.2 9.157 11.307 39.94 0.0208
46.629 48.87 39.7100 81.1 9.155 11.293 39.98 0.0218
46.731 48.89 39.7400 81.0 9.151 11.275 40.01 0.0229
46.829 48.91 39.7900 80.5 9.116 11.210 40.10 0.0255
46.930 48.93 39.8200 80.3 9.106 11.184 40.15 0.0269
47.031 48.95 39.8600 80.0 9.087 11.142 40.21 0.0287
47.129 48.97 39.9000 79.8 9.071 11.106 40.26 0.0304
47.231 48.99 39.9400 79.4 9.048 11.059 40.33 0.0324
47.329 49.01 39.9800 79.1 9.025 11.013 40.40 0.0343
47.431 49.03 40.0200 78.9 9.013 10.983 40.45 0.0358
47.532 49.05 40.0700 78.4 8.979 10.920 40.53 0.0383
47.630 49.07 40.1100 78.1 8.957 10.875 40.59 0.0402
47.731 49.09 40.1500 77.8 8.942 10.840 40.65 0.0418
47.830 49.11 40.1900 77.5 8.918 10.792 40.72 0.0438
