# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred
1.452 35.81 35.6300 15.1 0.182 2.425
1.500 35.81 35.6300 15.4 0.189 2.484
1.551 35.82 35.6200 15.8 0.201 2.547
1.601 35.83 35.6300 15.9 0.192 2.563
1.651 35.83 35.6400 16.2 0.193 2.600
1.702 35.84 35.6300 16.6 0.205 2.660
1.750 35.84 35.6300 16.8 0.210 2.703
1.802 35.85 35.6000 17.6 0.247 2.830
1.852 35.86 35.6500 17.2 0.210 2.770
1.901 35.86 35.6200 17.9 0.245 2.875
1.951 35.87 35.6400 17.9 0.232 2.875
2.001 35.88 35.6000 18.7 0.272 2.999
2.051 35.88 35.1700 25.1 0.709 4.044
2.101 35.89 35.6100 19.1 0.281 3.066
2.151 35.90 35.6100 19.3 0.280 3.096
2.201 35.90 35.6200 19.5 0.286 3.124
2.250 35.91 35.6300 19.6 0.278 3.134
2.301 35.92 35.6200 20.0 0.297 3.197
2.351 35.92 35.6400 19.9 0.286 3.193
2.401 35.93 35.6200 20.4 0.307 3.263
2.451 35.94 35.6000 20.9 0.338 3.352
2.500 35.94 35.6400 20.7 0.309 3.305
2.551 35.95 35.6200 21.1 0.333 3.377
2.601 35.96 35.6400 21.1 0.319 3.365
2.651 35.97 35.6000 21.7 0.362 3.474
2.701 35.97 35.6200 21.7 0.350 3.466
2.750 35.98 35.6300 21.7 0.347 3.472
2.801 35.99 35.5900 22.6 0.400 3.612
2.851 36.00 35.6100 22.5 0.389 3.591
2.901 36.00 35.6100 22.7 0.398 3.625
2.951 36.01 35.6100 22.9 0.401 3.646
3.000 36.02 35.6100 23.1 0.415 3.693
3.051 36.03 35.6200 23.1 0.404 3.679
3.101 36.04 35.6000 23.6 0.437 3.762
3.151 36.04 35.5700 24.1 0.473 3.852
3.201 36.05 35.6100 23.8 0.445 3.798
3.251 36.06 35.6100 24.1 0.455 3.836
3.301 36.07 35.6100 24.2 0.463 3.859
3.351 36.08 35.5900 24.6 0.485 3.916
3.401 36.09 35.6100 24.6 0.480 3.916
3.451 36.09 35.5900 24.9 0.500 3.962
3.500 36.10 35.5900 25.1 0.508 3.989
3.551 36.11 35.6000 25.1 0.511 3.997
3.601 36.12 35.5700 25.7 0.546 4.088
3.651 36.13 35.5800 25.7 0.549 4.092
3.701 36.14 35.6100 25.5 0.526 4.050
3.751 36.14 35.5800 26.1 0.566 4.144
3.801 36.15 35.6000 25.9 0.556 4.122
3.851 36.16 35.5700 26.6 0.596 4.220
3.902 36.17 35.5800 26.5 0.588 4.206
3.951 36.18 35.5600 26.9 0.621 4.279
4.000 36.19 35.5800 26.7 0.604 4.234
4.051 36.20 35.5700 27.1 0.629 4.298
4.101 36.21 35.5900 26.9 0.616 4.270
4.151 36.21 35.5800 27.3 0.637 4.322
4.201 36.22 35.5900 27.1 0.629 4.301
4.250 36.23 35.5400 28.0 0.691 4.442
4.301 36.24 35.5800 27.6 0.661 4.368
4.351 36.25 35.5900 27.5 0.656 4.359
4.401 36.26 35.5800 27.9 0.682 4.417
4.451 36.27 35.5700 28.0 0.694 4.438
4.500 36.28 35.5500 28.6 0.727 4.519
4.551 36.29 35.5700 28.4 0.715 4.487
4.601 36.29 35.5600 28.6 0.734 4.528
4.651 36.30 35.5800 28.5 0.726 4.512
4.701 36.31 35.5500 29.0 0.760 4.581
4.750 36.32 36.3800 17.2 -0.056 2.677
4.801 36.33 35.5500 29.3 0.781 4.631
4.851 36.34 35.5100 30.0 0.831 4.743
4.901 36.35 35.5600 29.4 0.787 4.636
4.951 36.36 35.5500 29.6 0.805 4.672
5.000 36.37 35.5500 29.7 0.817 4.694
5.051 36.38 35.5700 29.6 0.811 4.677
5.101 36.39 35.5400 30.1 0.844 4.749
5.152 36.40 35.5400 30.3 0.858 4.776
5.201 36.40 35.5500 30.2 0.859 4.767
5.250 36.41 35.5300 30.5 0.880 4.811
5.302 36.42 35.5500 30.4 0.872 4.787
5.351 36.43 35.5300 30.8 0.901 4.848
5.401 36.44 35.5300 31.0 0.915 4.877
5.452 36.45 35.5200 31.3 0.937 4.922
5.500 36.46 35.5500 30.9 0.912 4.854
5.551 36.47 35.5400 31.0 0.926 4.879
5.602 36.48 35.5400 31.2 0.942 4.910
5.651 36.49 35.5400 31.3 0.950 4.925
5.701 36.50 35.5200 31.7 0.977 4.977
5.751 36.51 35.5000 32.1 1.009 5.043
5.801 36.52 35.5200 31.9 0.998 5.012
5.851 36.53 35.5300 31.8 0.997 4.999
5.902 36.54 35.5400 31.7 0.992 4.980
5.951 36.55 35.5200 32.2 1.027 5.057
6.000 36.56 35.5200 32.2 1.032 5.057
