# time_s  celsius  duty_pct
2.504 39.7800 20.1
3.005 39.8100 21.3
3.506 39.7300 25.2
4.006 39.8100 24.6
4.507 39.7500 27.7
5.008 39.7000 30.6
5.509 39.5900 34.7
6.010 39.6200 35.2
6.511 39.5700 37.8
7.011 39.5400 39.6
7.512 39.4900 42.1
8.013 39.6200 39.5
8.514 39.4600 44.8
9.015 39.3600 48.5
9.516 39.4900 45.8
10.016 38.8800 62.8
10.517 39.3800 49.7
11.018 39.3300 52.0
11.519 39.4100 50.6
12.020 39.3000 54.3
12.520 39.3000 55.1
13.021 39.2500 57.2
13.522 39.2800 57.2
14.023 39.2500 58.7
14.524 39.1400 62.2
15.025 39.2500 60.1
15.525 39.3600 58.0
16.026 39.2000 63.1
16.527 39.3000 61.1
17.028 39.2200 64.0
17.529 39.2800 63.4
18.030 39.3300 62.8
18.530 39.2800 65.2
19.031 39.3300 64.6
19.532 39.3000 66.2
20.033 39.3000 67.1
20.534 39.3600 66.6
21.034 39.4600 64.8
21.535 39.5100 64.5
22.036 39.4600 67.0
22.537 39.4600 68.1
23.038 39.5400 67.1
23.539 39.5100 68.9
24.040 39.5900 67.9
24.540 39.6200 68.4
25.041 39.6700 68.2
25.542 39.7000 68.8
26.043 39.7000 70.0
26.544 39.8300 67.8
27.045 39.8600 68.4
27.545 39.9700 67.0
28.045 39.9400 69.2
28.546 40.0200 68.5
29.047 40.1800 65.7
29.548 40.1800 67.3
30.049 40.2100 68.2
30.549 40.2900 67.7
31.050 40.4000 66.5
31.551 40.4800 66.0
32.052 40.4800 67.8
32.553 40.5600 67.4
33.053 40.6700 66.3
33.554 40.5600 71.0
34.055 40.8600 64.7
34.556 40.6400 72.5
35.057 41.0800 62.5
35.558 41.1300 63.2
36.059 41.1900 63.8
36.559 41.3200 62.3
37.060 41.3800 63.0
37.561 41.5200 61.5
38.062 41.5700 62.2
38.563 41.7400 60.1
39.063 41.7900 60.9
39.564 41.9300 59.5
40.065 42.0100 59.7
40.566 42.1500 58.4
41.067 42.1500 60.8
41.568 42.4000 56.5
42.068 42.4900 56.8
42.569 42.4300 60.9
43.070 42.6900 56.5
43.571 42.8300 55.4
44.072 42.9100 55.7
44.573 43.0500 54.6
45.074 43.2300 52.7
45.574 43.2800 54.0
46.075 43.4500 52.1
46.576 43.6000 51.1
47.077 43.7700 49.4
47.578 43.8300 50.8
48.079 43.9700 49.8
48.579 44.1500 48.0
49.080 44.2900 47.1
