# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred
6.500 26.34 26.0300 1.9 0.314 0.314
7.000 26.40 26.1600 1.5 0.247 0.247
7.500 26.47 26.2200 1.5 0.247 0.247
8.000 26.54 26.1600 2.4 0.378 0.378
8.501 26.60 26.2200 2.4 0.382 0.382
9.001 26.67 26.2200 2.8 0.453 0.453
9.501 26.75 26.2200 3.3 0.526 0.526
10.000 26.82 26.1600 4.2 0.664 0.664
10.500 26.90 26.2200 4.2 0.676 0.676
11.000 26.97 26.3500 3.9 0.625 0.625
11.501 27.05 26.0900 6.0 0.960 0.960
12.001 27.13 26.1600 6.1 0.976 0.976
12.501 27.21 25.9600 7.9 1.251 1.251
13.001 27.30 26.2200 6.8 1.076 1.076
13.500 27.38 26.1600 7.7 1.224 1.224
14.000 27.47 26.1600 8.3 1.308 1.308
14.500 27.55 26.1600 8.8 1.394 1.394
15.000 27.64 26.4100 7.8 1.224 1.224
15.501 27.72 26.5400 7.6 1.184 1.184
16.001 27.81 26.1600 10.5 1.656 1.656
16.501 27.90 26.1600 11.1 1.745 1.745
17.001 27.99 26.0300 12.5 1.963 1.963
17.500 28.08 26.3500 11.1 1.732 1.732
18.000 28.17 26.2200 12.5 1.951 1.951
18.500 28.26 26.4100 11.9 1.850 1.850
19.000 28.36 26.2900 13.3 2.070 2.070
19.500 28.45 26.3500 13.5 2.099 2.099
20.000 28.54 26.2200 14.9 2.320 2.320
20.501 28.63 26.0900 16.4 2.541 2.541
21.001 28.73 26.1600 16.6 2.571 2.571
21.501 28.82 26.2200 16.8 2.601 2.601
22.001 28.92 26.3500 16.7 2.567 2.567
22.501 29.01 26.2200 18.1 2.790 2.790
23.000 29.11 26.2200 18.7 2.885 2.885
23.500 29.20 26.2900 19.0 2.917 2.917
24.000 29.30 26.0900 20.8 3.205 3.205
24.500 29.39 25.9600 22.3 3.430 3.430
25.000 29.49 26.3500 20.6 3.141 3.141
25.501 29.59 26.1600 22.4 3.430 3.430
26.001 29.68 26.1600 23.1 3.527 3.527
26.501 29.78 26.2200 23.3 3.559 3.559
27.001 29.88 26.2200 24.0 3.656 3.656
27.501 29.97 26.0900 25.5 3.882 3.882
28.000 30.07 26.0300 26.6 4.044 4.044
28.500 30.17 25.9600 27.6 4.206 4.206
29.000 30.27 26.0900 27.5 4.175 4.175
29.500 30.37 26.2200 27.4 4.144 4.144
30.000 30.46 26.2200 28.1 4.242 4.242
30.501 30.56 26.1600 29.2 4.405 4.405
31.001 30.66 26.0300 30.7 4.632 4.632
31.501 30.76 26.0900 31.0 4.666 4.666
32.001 30.86 26.1600 31.3 4.700 4.700
32.501 30.96 26.0300 32.8 4.927 4.927
33.001 31.05 26.2200 32.3 4.833 4.833
33.500 31.15 26.1600 33.4 4.996 4.996
34.000 31.25 26.2200 33.7 5.031 5.031
34.500 31.35 26.1600 34.8 5.194 5.194
35.000 31.45 26.0300 36.4 5.422 5.422
35.500 31.55 26.2900 35.5 5.264 5.264
36.000 31.65 26.0900 37.4 5.555 5.555
36.501 31.75 26.1600 37.7 5.590 5.590
37.001 31.85 26.2200 38.0 5.625 5.625
37.501 31.95 26.3500 38.0 5.596 5.596
38.001 32.05 26.2200 39.5 5.824 5.824
38.501 32.14 26.0900 41.0 6.052 6.052
39.001 32.24 26.2200 41.0 6.022 6.022
39.501 32.34 26.1600 42.1 6.186 6.186
40.001 32.44 26.3500 41.6 6.093 6.093
40.500 32.54 25.9600 44.8 6.578 6.578
41.000 32.64 26.1600 44.3 6.485 6.485
41.500 32.74 26.3500 43.9 6.392 6.392
42.000 32.84 26.1600 45.8 6.684 6.684
42.500 32.94 26.4100 45.0 6.527 6.527
43.000 33.04 26.3500 46.1 6.691 6.691
43.501 33.14 26.1600 48.0 6.983 6.983
44.001 33.24 26.0300 49.6 7.211 7.211
44.501 33.34 26.1600 49.6 7.182 7.182
45.001 33.44 26.0300 51.1 7.410 7.410
45.501 33.54 26.0300 51.9 7.510 7.510
46.001 33.64 26.0900 52.2 7.546 7.546
46.500 33.74 26.1600 52.6 7.581 7.581
47.000 33.84 26.2200 53.0 7.616 7.616
47.500 33.94 26.0900 54.5 7.845 7.845
48.000 34.04 26.0900 55.3 7.945 7.945
48.500 34.14 26.1600 55.7 7.980 7.980
49.000 34.24 26.2200 56.1 8.016 8.016
49.501 34.34 26.0300 58.0 8.309 8.309
50.001 34.44 26.2200 57.6 8.215 8.215
50.501 34.54 26.1600 58.8 8.380 8.380
51.001 34.64 26.1600 59.6 8.479 8.479
51.501 34.74 26.2900 59.6 8.451 8.451
52.001 34.84 26.0300 62.0 8.808 8.808
52.500 34.94 26.0300 62.8 8.908 8.908
53.000 35.04 26.2900 62.0 8.751 8.751
53.500 35.14 26.0900 64.0 9.043 9.043
54.000 35.24 26.2200 64.0 9.014 9.014
