# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred
4.591 25.33 25.0200 7.6 0.314 2.461
4.597 25.33 25.0100 7.7 0.319 2.479
4.603 25.33 25.0300 7.5 0.304 2.434
4.609 25.34 25.0600 7.1 0.274 2.308
4.614 25.34 25.0100 7.8 0.328 2.523
4.619 25.34 25.0300 7.6 0.311 2.450
4.625 25.34 25.0100 7.8 0.328 2.530
4.631 25.34 25.0200 7.7 0.324 2.499
4.637 25.34 25.0100 7.8 0.328 2.523
4.643 25.34 25.0200 7.7 0.320 2.491
4.649 25.34 25.0800 7.0 0.265 2.269
4.655 25.34 25.0100 7.8 0.332 2.534
4.665 25.35 25.0300 7.7 0.316 2.480
4.675 25.35 25.0100 8.0 0.341 2.577
4.685 25.35 25.0100 7.9 0.335 2.553
4.695 25.35 25.0100 7.9 0.335 2.546
4.704 25.35 25.0100 8.0 0.344 2.581
4.715 25.35 25.0000 8.1 0.352 2.613
4.725 25.35 25.0100 8.0 0.345 2.577
4.735 25.35 25.0100 7.9 0.343 2.566
4.744 25.36 25.0100 7.9 0.344 2.565
4.755 25.36 25.0000 8.1 0.358 2.635
4.765 25.36 25.0200 7.9 0.340 2.560
4.775 25.36 25.0900 7.0 0.269 2.273
4.784 25.36 25.0200 7.9 0.343 2.564
4.795 25.36 25.0100 8.1 0.357 2.632
4.805 25.36 25.0100 8.0 0.351 2.590
4.815 25.36 25.0000 8.3 0.369 2.674
4.824 25.37 25.0300 7.9 0.340 2.558
4.835 25.37 25.0200 8.0 0.348 2.584
4.845 25.37 25.0000 8.2 0.370 2.669
4.855 25.37 25.0000 8.3 0.373 2.690
4.864 25.37 25.0100 8.1 0.357 2.628
4.875 25.37 25.0000 8.3 0.369 2.672
4.885 25.37 25.0100 8.2 0.368 2.663
4.896 25.37 25.0000 8.2 0.370 2.667
4.905 25.38 25.0100 8.2 0.371 2.666
4.915 25.38 25.0000 8.3 0.374 2.678
4.925 25.38 25.0000 8.3 0.381 2.698
4.935 25.38 25.0100 8.2 0.367 2.642
4.945 25.38 24.9700 8.7 0.414 2.823
4.954 25.38 25.0100 8.2 0.370 2.659
4.965 25.38 25.0100 8.2 0.372 2.665
4.975 25.38 25.0100 8.2 0.369 2.651
