# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred
1.515 31.74 31.7300 5.1 0.015 0.603
1.520 31.74 31.7700 4.2 -0.027 0.494
1.526 31.74 31.7400 5.1 0.008 0.602
1.531 31.74 31.7300 5.4 0.016 0.630
1.544 31.75 31.7300 5.5 0.019 0.640
1.565 31.75 31.7400 5.4 0.010 0.629
1.585 31.75 31.7200 5.8 0.029 0.683
1.606 31.75 31.7300 5.6 0.017 0.657
1.624 31.75 31.7300 5.8 0.021 0.674
1.645 31.75 31.7200 5.9 0.025 0.687
1.665 31.75 31.7100 6.3 0.041 0.745
1.686 31.75 31.7200 6.1 0.031 0.718
1.707 31.75 31.7300 6.0 0.024 0.704
1.725 31.75 31.7100 6.4 0.038 0.752
1.746 31.75 31.7000 6.9 0.054 0.807
1.764 31.75 31.7100 6.5 0.040 0.765
1.785 31.75 31.7200 6.6 0.039 0.769
1.805 31.76 31.7100 6.9 0.049 0.806
1.826 31.76 31.7100 6.8 0.046 0.802
1.844 31.76 31.7100 7.0 0.051 0.818
1.865 31.76 31.7100 7.0 0.047 0.820
1.884 31.76 31.7100 7.1 0.050 0.831
1.905 31.76 31.7100 7.1 0.047 0.829
1.924 31.76 31.7100 7.1 0.046 0.834
1.945 31.76 31.7200 7.0 0.041 0.818
1.964 31.76 31.6700 8.2 0.087 0.962
1.985 31.76 31.7500 6.5 0.015 0.760
2.004 31.76 31.7300 6.9 0.033 0.809
2.025 31.76 31.7000 7.9 0.068 0.924
2.044 31.77 31.7000 7.8 0.063 0.908
2.065 31.77 31.7200 7.3 0.044 0.861
2.084 31.77 31.7100 7.9 0.062 0.920
2.105 31.77 31.7200 7.5 0.049 0.883
2.124 31.77 31.7200 7.8 0.054 0.910
2.145 31.77 31.7200 7.8 0.055 0.915
2.165 31.77 31.7200 7.9 0.055 0.920
2.185 31.77 31.7200 7.8 0.049 0.910
2.205 31.77 31.7000 8.4 0.073 0.986
2.224 31.77 31.7100 8.3 0.068 0.972
2.245 31.78 31.8700 4.5 -0.091 0.525
2.264 31.78 31.7100 8.3 0.064 0.973
2.285 31.78 31.7100 8.5 0.070 0.991
2.304 31.78 31.7100 8.4 0.065 0.984
2.325 31.78 31.7000 8.8 0.078 1.025
2.344 31.78 31.7000 8.8 0.080 1.030
2.365 31.78 31.7000 8.8 0.077 1.036
2.384 31.78 31.7000 8.9 0.080 1.044
2.405 31.78 31.7000 9.1 0.086 1.061
2.424 31.78 31.7000 9.1 0.080 1.059
2.445 31.79 31.8600 5.3 -0.078 0.616
2.464 31.79 31.7000 9.3 0.087 1.084
2.485 31.79 31.7500 8.2 0.042 0.964
2.504 31.79 31.7100 9.2 0.080 1.072
2.525 31.79 31.6900 9.6 0.095 1.117
2.544 31.79 31.6900 9.7 0.096 1.129
2.565 31.79 31.7000 9.6 0.090 1.118
2.584 31.79 31.7000 9.6 0.090 1.120
2.605 31.79 31.7100 9.5 0.084 1.107
2.624 31.80 31.6900 9.9 0.100 1.160
2.645 31.80 31.7200 9.4 0.078 1.098
