# time_s  celsius  duty_pct
4.006 64.0200 5.2
4.507 63.9700 5.2
5.008 63.7800 7.6
5.509 63.7300 7.3
6.010 63.5900 8.8
6.511 63.4900 9.2
7.011 63.4000 9.7
7.512 63.4500 7.7
8.013 63.2100 10.6
8.514 63.2100 9.4
9.015 63.0700 10.6
9.516 63.1600 7.8
10.016 62.9800 9.9
10.517 62.9300 9.5
11.018 62.7900 10.6
11.519 62.8400 8.6
12.020 62.7400 9.0
12.521 62.6500 9.4
13.021 62.7000 7.5
13.522 62.5100 9.5
14.023 62.4200 9.9
14.524 62.1500 13.2
15.025 62.2800 9.5
15.526 62.1500 10.6
16.026 62.1000 10.1
16.527 62.1500 8.1
17.028 62.0500 8.6
17.529 62.0500 7.4
18.030 62.0100 7.1
18.531 61.8700 8.3
19.032 62.0100 4.9
19.532 61.8200 7.0
20.033 61.7800 6.7
20.534 61.5100 10.1
21.035 61.5100 8.8
21.536 61.6400 5.3
22.037 61.3800 8.8
22.537 61.3800 7.6
23.038 61.3300 7.2
23.539 61.4200 4.9
24.040 61.2900 6.5
24.541 61.2400 6.5
25.042 61.2900 5.0
25.543 61.1100 7.4
26.043 61.1500 5.9
26.544 61.0200 7.5
27.045 60.8900 8.9
27.545 60.8000 9.6
28.046 60.8400 8.0
28.547 60.7100 9.5
29.048 60.8400 6.5
29.548 60.3600 14.0
30.049 60.7500 6.4
30.550 60.7100 6.6
31.051 60.5800 8.3
31.552 60.5400 8.4
32.053 60.4100 10.0
32.553 60.4100 9.3
33.054 60.4100 8.6
33.555 60.2300 11.0
34.056 60.2300 10.2
34.557 59.8900 15.4
35.058 60.1900 9.3
35.559 60.1000 10.2
36.059 59.7600 15.4
36.560 59.9300 11.6
37.061 59.8400 12.4
37.562 59.6700 14.6
38.063 59.8000 11.7
38.564 59.6300 13.9
39.064 59.5000 15.4
39.566 59.5900 13.2
40.066 59.4600 14.7
40.567 59.3300 16.1
41.068 59.4200 13.9
41.569 59.2500 16.2
0.502 58.9100 7.0
1.003 59.0400 4.8
0.502 58.8300 0.8
1.003 58.7500 1.5
1.504 58.7100 1.9
2.004 58.6200 2.5
2.504 58.5800 2.9
3.005 58.5400 3.3
3.506 58.5400 3.4
4.007 58.4200 4.3
4.507 58.3700 4.6
5.008 58.2900 5.2
5.509 58.4200 4.6
6.010 58.3300 5.2
6.510 58.2100 6.1
7.011 58.1300 6.7
7.512 57.9700 7.7
8.013 58.1300 6.9
8.514 58.0500 7.5
9.014 58.0100 7.8
9.515 57.9700 8.2
10.016 57.9700 8.3
10.517 57.8800 8.9
11.018 57.8000 9.4
11.519 57.8000 9.6
12.020 57.8400 9.4
12.520 57.6800 10.5
13.021 57.6400 10.8
13.522 57.6800 10.7
14.023 57.6800 10.8
14.524 57.7200 10.7
15.024 57.5600 11.8
15.525 57.6000 11.7
16.026 57.4800 12.5
16.527 57.4400 12.8
17.028 57.4400 13.0
17.529 57.4000 13.3
18.030 57.1600 14.8
18.531 57.3200 14.0
19.031 57.2800 14.3
19.532 57.3200 14.2
20.033 57.2400 14.8
20.534 57.2400 15.0
21.035 57.1600 15.6
21.536 57.1200 15.9
22.037 57.1600 15.8
22.538 57.1600 16.0
23.039 57.1200 16.4
23.540 57.0400 17.0
24.041 57.0400 17.1
24.541 57.0000 17.5
25.042 56.8000 18.8
25.543 56.9200 18.2
26.044 56.8000 19.0
26.545 56.9200 18.5
27.045 56.8400 19.1
27.545 56.9200 18.8
28.046 56.7200 20.1
28.547 56.4500 21.8
29.047 56.6900 20.6
29.548 56.7200 20.5
30.049 56.6900 20.9
30.550 56.8400 20.1
31.051 56.7200 21.0
31.552 56.6900 21.4
32.053 56.6900 21.6
32.553 56.5700 22.5
33.054 56.6500 22.2
33.555 56.6500 22.4
34.056 56.5300 23.2
34.557 56.6500 22.7
35.058 56.4500 24.1
35.558 56.5700 23.6
36.059 56.5700 23.8
36.560 56.5300 24.2
37.061 56.6100 23.9
37.562 56.4900 24.8
38.062 56.4500 25.2
38.563 56.4500 25.4
39.064 56.4900 25.4
39.565 56.4100 26.1
40.065 56.3700 26.5
40.566 56.2500 27.4
41.067 56.4100 26.7
41.567 0.0000 0.0
42.068 0.0000 0.0
42.569 0.0000 0.0
43.069 0.0000 0.0
43.570 0.0000 0.0
44.070 0.0000 0.0
44.571 0.0000 0.0
45.072 198.6500 0.0
45.573 330.7100 0.0
46.074 301.1300 0.0
46.574 253.6000 0.0
47.075 0.0000 0.0
47.575 0.0000 0.0
48.076 0.0000 0.0
48.576 0.0000 0.0
49.077 0.0000 0.0
49.578 0.0000 0.0
50.078 56.1800 100.0
50.579 56.1800 100.0
51.080 56.1000 100.0
51.581 56.2900 100.0
52.082 56.2500 100.0
52.582 56.2900 100.0
53.083 56.3300 100.0
53.584 56.2500 100.0
54.085 56.2500 100.0
54.586 56.2200 100.0
55.087 56.2200 100.0
55.587 56.2200 100.0
