# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred
1.827 38.61 38.4700 5.5 0.140 0.895
1.910 38.61 38.5000 4.8 0.118 0.769
2.009 38.62 38.5000 4.9 0.124 0.784
2.110 38.63 38.4900 5.3 0.140 0.852
2.208 38.64 38.4800 5.8 0.157 0.925
2.310 38.64 38.4800 5.9 0.165 0.944
2.409 38.65 38.4800 5.8 0.169 0.940
2.509 38.66 38.4800 6.0 0.177 0.965
2.610 38.67 38.4800 6.3 0.193 1.019
2.709 38.68 38.4700 6.7 0.208 1.069
2.810 38.69 38.4700 6.7 0.214 1.074
2.909 38.70 38.4600 7.1 0.232 1.139
3.009 38.70 38.4600 7.2 0.240 1.152
3.110 38.71 38.4600 7.3 0.250 1.171
3.209 38.72 38.4500 7.8 0.273 1.256
3.310 38.73 38.4800 7.0 0.254 1.127
3.409 38.74 38.4400 8.4 0.303 1.345
3.509 38.75 38.4600 8.0 0.298 1.281
3.610 38.76 38.4500 8.3 0.315 1.334
3.709 38.78 38.4600 8.2 0.317 1.307
3.810 38.79 38.4300 9.1 0.355 1.460
3.909 38.80 38.4400 9.1 0.361 1.450
4.009 38.81 38.4300 9.4 0.381 1.508
4.110 38.82 38.4300 9.3 0.386 1.491
4.209 38.83 38.4300 9.7 0.405 1.545
4.310 38.84 38.4300 9.8 0.417 1.560
4.409 38.86 38.4100 10.4 0.446 1.659
4.510 38.87 38.4200 10.2 0.448 1.619
4.609 38.88 38.4100 10.5 0.468 1.674
4.709 38.89 38.4000 11.1 0.497 1.773
4.810 38.90 38.4000 11.1 0.507 1.770
4.908 38.92 38.4000 11.0 0.514 1.751
5.010 38.93 38.3900 11.6 0.542 1.840
5.110 38.94 38.4000 11.3 0.546 1.805
5.208 38.96 38.3800 12.1 0.579 1.921
5.310 38.97 38.3900 11.9 0.585 1.892
5.409 38.98 38.3800 12.3 0.607 1.951
5.509 39.00 38.3800 12.2 0.616 1.939
5.610 39.01 38.3600 12.8 0.647 2.035
5.708 39.02 38.3600 12.9 0.661 2.043
5.810 39.04 38.3700 12.7 0.667 2.017
5.909 39.05 38.3600 13.1 0.691 2.074
6.009 39.07 38.3600 13.0 0.701 2.069
6.110 39.08 38.3500 13.7 0.733 2.169
6.209 39.10 38.3600 13.4 0.736 2.117
6.309 39.11 38.3400 13.9 0.765 2.203
6.409 39.12 38.3400 14.1 0.783 2.227
6.509 39.14 38.3500 13.9 0.789 2.196
6.610 39.15 38.3300 14.4 0.820 2.288
6.709 39.17 38.3300 14.7 0.841 2.329
6.809 39.18 38.3300 14.6 0.851 2.312
6.909 39.20 38.3300 14.7 0.865 2.318
7.009 39.21 38.3300 14.9 0.886 2.358
7.110 39.23 38.3300 15.0 0.902 2.369
7.209 39.24 38.3300 15.0 0.914 2.362
7.309 39.26 38.3100 15.7 0.952 2.486
7.409 39.28 38.3200 15.4 0.956 2.437
7.509 39.29 38.3200 15.7 0.976 2.473
7.610 39.31 38.3100 16.0 1.002 2.530
7.709 39.32 38.3300 15.3 0.993 2.417
7.810 39.34 38.2500 18.0 1.090 2.838
7.909 39.36 38.3000 16.5 1.058 2.594
8.009 39.37 38.3200 16.0 1.055 2.511
8.110 39.39 38.3000 16.6 1.090 2.619
8.209 39.40 38.3000 16.8 1.108 2.639
8.309 39.42 38.3000 16.9 1.125 2.650
8.409 39.44 38.3000 16.9 1.140 2.656
8.510 39.45 38.2900 17.3 1.165 2.713
8.610 39.47 38.3000 17.1 1.173 2.679
8.708 39.49 38.3000 17.1 1.189 2.690
8.810 39.50 38.2800 17.6 1.218 2.766
8.909 39.52 38.2900 17.6 1.234 2.770
9.009 39.54 38.2900 17.6 1.244 2.752
9.110 39.55 38.2700 18.2 1.280 2.861
9.208 39.57 38.2500 19.1 1.321 2.991
9.310 39.59 38.2800 18.3 1.311 2.860
9.409 39.60 38.2700 18.6 1.337 2.919
9.509 39.62 38.2800 18.3 1.342 2.866
9.610 39.64 38.2800 18.4 1.358 2.876
9.709 39.66 38.2900 18.4 1.370 2.867
9.809 39.67 38.2800 18.7 1.395 2.919
9.909 39.69 38.2900 18.6 1.405 2.898
10.009 39.71 38.2700 19.1 1.437 2.989
10.110 39.73 38.2700 19.3 1.457 3.012
10.209 39.74 38.2800 18.9 1.459 2.950
10.309 39.76 38.2700 19.3 1.487 3.017
10.409 39.78 38.2900 19.0 1.490 2.961
10.509 39.80 38.2800 19.5 1.519 3.037
10.610 39.81 38.2700 19.7 1.539 3.065
10.709 39.83 38.3100 18.7 1.520 2.898
10.809 39.85 38.2900 19.6 1.563 3.044
10.909 39.87 38.2600 20.4 1.604 3.177
11.009 39.88 38.2700 20.2 1.610 3.136
11.110 39.90 38.2600 20.7 1.642 3.221
11.209 39.92 38.2800 20.4 1.645 3.162
11.309 39.94 38.2600 20.9 1.679 3.257
11.409 39.96 38.2800 20.5 1.679 3.180
11.509 39.97 38.2700 20.8 1.702 3.224
11.610 39.99 38.2800 20.6 1.712 3.203
11.709 40.01 38.2800 20.7 1.727 3.202
11.810 40.03 38.2800 20.9 1.749 3.243
11.909 40.05 38.2700 21.2 1.773 3.290
12.009 40.07 38.2800 21.2 1.786 3.284
12.110 40.08 38.2900 21.0 1.794 3.254
12.209 40.10 38.2900 21.2 1.813 3.277
12.309 40.12 38.3000 21.1 1.825 3.266
12.409 40.14 38.2800 21.7 1.857 3.354
12.510 40.16 38.3000 21.2 1.854 3.270
12.610 40.18 38.2900 21.7 1.883 3.347
12.708 40.19 38.2900 21.8 1.900 3.357
12.810 40.21 38.3000 21.7 1.912 3.346
12.909 40.23 38.3100 21.7 1.925 3.345
13.009 40.25 38.3100 21.7 1.940 3.349
13.110 40.27 38.3200 21.7 1.952 3.342
13.209 40.29 38.3100 22.1 1.978 3.404
13.309 40.31 38.3100 22.1 1.992 3.404
13.409 40.32 38.3200 22.1 2.006 3.407
13.509 40.34 38.3300 22.1 2.017 3.393
13.610 40.36 38.3200 22.6 2.045 3.469
13.709 40.38 38.3200 22.8 2.065 3.500
13.809 40.40 38.3200 22.6 2.075 3.478
13.909 40.42 38.3400 22.3 2.077 3.419
14.009 40.44 38.3400 22.4 2.094 3.440
14.110 40.46 38.3600 22.2 2.101 3.408
14.209 40.48 38.3600 22.3 2.115 3.412
14.309 40.49 38.3700 22.1 2.120 3.378
