# time_s  celsius  duty_pct
1.503 30.5700 4.1
2.004 30.5500 5.7
2.504 30.5200 7.2
3.005 30.5700 7.7
3.506 30.5500 9.0
4.006 30.5700 9.7
4.507 31.1300 3.1
5.008 30.5700 11.9
5.509 30.5700 12.8
6.010 30.6200 13.0
6.511 30.5900 14.1
7.011 30.6400 14.3
7.512 30.6200 15.4
8.013 30.6400 15.9
8.514 30.5700 17.6
9.015 30.6600 17.0
9.515 30.7500 16.5
10.016 30.6400 18.9
10.517 30.8700 16.4
11.018 30.5000 22.2
11.519 30.6600 20.7
12.019 30.6800 21.0
12.520 30.7100 21.4
13.021 30.7100 22.1
13.522 30.7300 22.4
14.023 30.7500 22.8
14.523 30.6400 25.1
15.024 30.7300 24.5
15.525 30.6200 26.7
16.026 30.8000 24.8
16.527 30.8000 25.5
17.028 30.8300 25.9
17.528 30.9000 25.6
18.029 30.9400 25.7
18.530 31.0300 25.2
19.031 30.9000 27.9
19.532 30.9400 28.0
20.032 30.9600 28.4
20.533 31.0100 28.5
21.034 30.9900 29.6
21.535 31.0800 29.1
22.035 31.0800 29.8
22.536 31.1000 30.3
23.037 31.1500 30.4
23.538 31.3400 28.7
24.039 31.2200 31.1
24.540 31.4300 29.1
25.040 31.3100 31.6
25.541 31.4300 30.8
26.042 31.4100 32.0
26.543 31.5700 30.6
27.043 31.5500 31.8
27.544 31.2700 36.5
28.045 31.7400 30.9
28.545 31.6900 32.5
29.046 31.8100 31.9
29.546 31.8500 32.2
30.047 31.9500 31.9
30.548 31.9700 32.6
31.049 32.0200 32.9
31.549 32.0400 33.6
32.050 32.0200 34.9
32.551 32.1800 33.6
33.052 32.2800 33.4
33.553 32.3300 33.8
34.054 32.3700 34.2
34.554 32.4900 33.6
35.055 32.5400 34.0
35.556 32.5900 34.5
36.057 32.7000 34.0
36.557 32.8000 33.8
37.058 32.8500 34.3
37.559 32.8700 35.1
38.060 32.9900 34.6
38.561 33.0400 35.1
39.061 33.1600 34.6
39.562 33.2300 34.8
40.063 33.2500 35.7
40.564 33.3000 36.2
41.065 33.4700 35.1
41.566 33.5200 35.6
42.066 33.6400 35.2
42.567 33.7100 35.5
43.068 33.8500 34.7
43.569 33.8800 35.7
44.070 34.0500 34.6
44.570 34.1000 35.3
45.071 34.0200 37.5
45.572 34.2900 35.1
46.073 34.3400 35.8
46.574 34.4400 35.8
47.075 34.5600 35.4
47.575 34.5800 36.4
48.076 34.7500 35.4
48.577 34.8300 35.7
49.078 34.9000 36.1
49.578 35.0000 36.1
50.079 35.1200 35.8
50.580 35.1700 36.5
51.081 35.1500 38.2
51.582 35.3500 36.8
52.083 35.4400 36.8
52.583 35.5400 36.9
53.084 35.6200 37.2
53.585 35.7200 37.2
54.086 35.7200 38.6
54.587 35.8900 37.6
55.087 35.9700 38.0
55.587 36.1200 37.3
56.088 36.3200 36.0
56.589 36.3200 37.5
57.090 36.4400 37.2
57.591 36.5400 37.2
58.091 36.5900 38.0
58.592 36.7200 37.7
59.093 36.7900 38.1
59.594 37.2800 33.0
60.095 37.0800 37.4
60.595 36.9000 41.3
61.096 37.3000 37.0
61.597 37.2500 39.2
62.098 37.4800 37.5
62.599 37.5900 37.6
63.099 37.7400 37.0
63.600 37.7900 37.8
64.101 37.8900 37.9
64.602 37.9500 38.7
65.103 38.0700 38.4
65.603 38.2600 37.5
66.104 38.4400 36.5
66.605 38.3600 39.1
67.106 38.5400 38.1
67.607 38.6700 37.9
68.107 38.7500 38.3
68.608 38.7000 40.6
69.109 38.9100 39.1
69.610 39.0400 38.9
70.111 39.2200 37.9
70.612 39.1700 40.1
71.112 39.3300 39.5
71.613 39.4100 39.9
72.114 39.5100 39.9
72.615 39.6500 39.6
73.115 39.7500 39.7
73.616 39.8900 39.4
74.117 39.9700 39.8
74.618 40.0800 39.9
75.119 40.2100 39.6
75.619 40.2400 40.8
76.120 40.4200 39.7
76.621 40.5600 39.4
77.122 40.7000 39.1
77.622 40.7800 39.6
78.123 40.8900 39.6
78.624 40.5900 45.2
79.125 41.0200 40.7
79.626 41.2100 39.6
80.126 41.3000 40.1
80.627 41.4600 39.4
81.128 41.4600 41.0
81.629 41.6300 40.2
82.129 41.7100 40.7
82.630 41.8200 40.7
83.130 41.9900 40.0
83.631 41.9900 41.6
84.132 42.0700 42.0
84.633 42.1500 42.4
85.133 42.3800 40.8
85.634 42.4600 41.2
86.135 42.6000 40.9
86.636 42.6900 41.3
87.137 42.8000 41.3
87.637 43.0000 40.2
88.138 43.0300 41.4
88.639 43.1400 41.4
89.140 43.2500 41.4
89.641 43.4000 41.0
90.141 43.4500 41.8
90.642 43.6000 41.4
91.143 43.6800 41.8
91.644 43.8900 40.6
92.145 44.1200 39.0
92.646 44.0600 41.5
93.146 44.1800 41.5
93.647 44.2700 41.9
94.148 44.4400 41.1
94.649 44.6500 39.9
95.150 44.5600 42.7
95.650 44.7300 41.8
96.151 44.9100 41.0
96.652 45.0300 41.0
97.153 45.0900 41.8
97.654 45.2700 40.9
98.155 45.3600 41.3
98.655 45.6000 39.7
99.156 45.5400 42.1
99.657 45.6900 41.7
100.158 45.8700 40.8
100.659 45.8400 42.8
101.160 46.0800 41.1
101.660 46.0800 42.7
102.161 46.0500 44.6
102.662 46.3200 42.4
103.163 46.5700 40.7
103.664 46.5100 43.1
104.165 46.6300 43.0
104.665 46.6900 43.7
105.166 46.8100 43.6
105.667 46.8400 44.7
106.168 47.0900 42.8
106.669 47.1200 44.0
107.169 47.2800 43.4
107.670 47.4000 43.2
108.170 47.4300 44.4
108.671 47.5600 44.2
109.172 47.8400 41.9
109.673 47.9100 42.6
110.173 48.0600 42.1
110.674 48.1300 42.8
111.175 48.2200 43.1
111.676 48.3200 43.4
112.177 48.3800 44.1
112.678 48.5700 43.0
113.178 48.6700 43.3
113.679 48.8000 43.1
114.180 48.9600 42.5
114.681 48.9600 44.1
115.182 49.1200 43.4
115.683 49.2200 43.7
116.183 49.3500 43.4
116.684 49.4500 43.7
117.185 49.6500 42.6
117.686 49.7800 42.4
118.187 49.9100 42.2
118.687 49.9800 42.9
119.188 49.9800 44.5
119.689 50.2100 42.9
120.190 50.1400 45.4
120.691 50.5100 41.9
121.192 50.5800 42.6
