# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred
1.195 32.18 32.1300 4.9 0.047 0.576
1.201 32.18 32.1300 5.0 0.045 0.588
1.206 32.18 32.1400 5.0 0.043 0.581
1.210 32.18 32.0800 6.4 0.100 0.756
1.225 32.18 32.1400 5.3 0.046 0.621
1.245 32.18 32.1400 5.3 0.045 0.622
1.264 32.18 32.2300 3.1 -0.048 0.359
1.285 32.18 32.1000 6.3 0.088 0.739
1.304 32.18 32.1700 4.7 0.017 0.555
1.325 32.18 32.1600 5.0 0.027 0.582
1.344 32.19 32.1300 5.7 0.050 0.665
1.365 32.19 32.2600 2.8 -0.072 0.321
1.384 32.19 32.0800 7.0 0.104 0.816
1.405 32.19 32.1200 6.1 0.063 0.713
1.424 32.19 32.1500 5.6 0.041 0.653
1.445 32.19 32.1400 5.8 0.046 0.684
1.464 32.19 32.0900 7.1 0.100 0.833
1.485 32.19 32.1300 6.2 0.056 0.728
1.504 32.19 32.1400 6.2 0.055 0.724
1.525 32.19 32.1500 5.9 0.039 0.694
1.544 32.19 32.1300 6.5 0.063 0.763
1.565 32.19 32.1300 6.5 0.061 0.757
1.584 32.19 32.1300 6.6 0.063 0.773
1.605 32.19 32.1300 6.5 0.060 0.766
1.625 32.19 32.1400 6.5 0.056 0.757
1.645 32.20 32.1400 6.6 0.057 0.774
1.665 32.20 32.1100 7.4 0.087 0.872
1.685 32.20 32.1200 7.1 0.073 0.836
1.705 32.20 32.1300 7.1 0.071 0.828
1.725 32.20 32.1300 7.0 0.066 0.814
1.745 32.20 32.0800 8.3 0.121 0.978
1.764 32.20 32.1400 7.0 0.062 0.818
1.785 32.20 32.1400 7.0 0.062 0.815
1.804 32.20 32.1200 7.5 0.080 0.881
1.826 32.20 32.1400 7.2 0.063 0.848
1.845 32.20 32.1300 7.5 0.073 0.878
1.865 32.20 32.1500 7.1 0.058 0.833
1.884 32.21 32.1100 8.0 0.096 0.938
1.905 32.21 32.1400 7.4 0.065 0.867
1.924 32.21 32.1200 8.0 0.092 0.941
1.945 32.21 32.1200 8.0 0.084 0.933
1.964 32.21 32.1300 7.7 0.074 0.904
1.985 32.21 32.1300 7.8 0.076 0.913
2.004 32.21 32.1400 7.8 0.073 0.917
2.025 32.21 32.1400 7.8 0.071 0.913
2.044 32.21 32.1300 8.1 0.086 0.952
2.065 32.21 32.1300 8.1 0.081 0.952
2.084 32.21 32.1200 8.4 0.093 0.985
2.105 32.21 32.1300 8.3 0.083 0.973
2.124 32.22 32.0700 9.9 0.149 1.155
2.145 32.22 32.1200 8.7 0.099 1.018
2.165 32.22 32.1200 8.8 0.099 1.030
2.184 32.22 32.1200 8.9 0.102 1.038
2.205 32.22 32.1300 8.6 0.091 1.007
2.224 32.22 32.1300 8.7 0.088 1.014
2.246 32.22 32.1100 9.1 0.109 1.070
2.264 32.22 32.1300 8.9 0.092 1.039
2.285 32.22 32.1300 8.9 0.094 1.041
2.304 32.22 32.1200 9.1 0.103 1.070
2.325 32.23 32.1200 9.3 0.104 1.083
2.344 32.23 32.1300 9.1 0.095 1.059
2.365 32.23 32.1300 9.0 0.094 1.056
2.384 32.23 32.1300 9.2 0.096 1.075
2.405 32.23 32.1200 9.4 0.106 1.100
2.424 32.23 32.1200 9.6 0.108 1.121
2.445 32.23 32.2600 6.2 -0.033 0.726
2.464 32.23 32.1200 9.7 0.110 1.128
2.485 32.23 32.1200 9.8 0.113 1.147
2.504 32.24 32.1300 9.7 0.109 1.137
2.525 32.24 32.1300 9.7 0.107 1.132
2.544 32.24 32.1300 9.7 0.103 1.131
2.565 32.24 32.1200 10.1 0.118 1.177
2.584 32.24 32.1200 10.0 0.116 1.165
2.605 32.24 32.1300 10.0 0.113 1.172
2.624 32.24 32.1200 10.3 0.120 1.209
2.645 32.24 32.1100 10.7 0.135 1.249
2.665 32.24 32.1300 10.2 0.116 1.196
2.685 32.25 32.1200 10.3 0.121 1.207
2.705 32.25 32.1100 10.7 0.133 1.253
2.724 32.25 32.1100 10.8 0.137 1.265
2.745 32.25 32.1200 10.7 0.130 1.245
2.764 32.25 32.1100 11.0 0.139 1.283
2.785 32.25 32.0800 11.6 0.167 1.360
2.805 32.25 32.1200 10.9 0.137 1.276
2.825 32.25 32.1200 10.9 0.132 1.274
2.844 32.25 32.1200 11.0 0.136 1.287
2.865 32.26 32.1000 11.5 0.159 1.348
2.884 32.26 32.1200 11.1 0.138 1.302
