# time_s  celsius  duty_pct
3.321 65.9500 0.0
3.331 65.8500 0.0
3.342 57.7200 42.4
3.353 74.5100 0.0
3.364 57.1600 45.9
3.374 77.0200 0.0
3.385 56.9200 47.4
3.396 76.7400 0.0
3.407 56.7600 48.4
3.417 76.2500 0.0
3.428 58.4200 38.2
3.439 71.7500 0.0
3.450 61.4600 19.4
3.460 67.9400 0.0
3.471 65.5400 0.0
3.482 59.5000 31.5
3.492 72.5400 0.0
3.503 57.8800 41.5
3.514 75.8400 0.0
3.525 57.3200 45.0
3.535 77.8100 0.0
3.546 57.0400 46.7
3.557 76.9500 0.0
3.568 57.7200 42.5
3.578 73.2300 0.0
3.589 60.2300 27.1
3.600 69.0300 0.0
3.611 64.4100 1.3
3.621 66.3100 0.0
3.632 68.5900 0.0
3.643 57.7200 42.6
3.654 75.3700 0.0
3.664 57.4000 44.6
3.675 76.6700 0.0
3.686 56.9200 47.6
3.697 76.9500 0.0
3.707 57.0000 47.1
3.718 74.7700 0.0
3.729 59.2900 33.0
3.740 70.4500 0.0
3.750 62.8400 11.1
3.761 66.0000 0.0
3.771 66.7200 0.0
3.783 58.2100 39.7
3.792 74.1200 0.0
3.803 57.9200 41.5
3.814 77.2400 0.0
3.825 56.9200 47.7
3.835 76.8100 0.0
3.846 56.8800 47.9
3.857 77.0900 0.0
3.867 57.8800 41.8
3.878 72.3000 0.0
3.889 61.7800 17.7
3.900 68.2600 0.0
3.910 65.7000 0.0
3.921 59.4600 32.1
3.932 73.8000 0.0
3.943 57.7600 42.6
3.953 77.3100 0.0
3.964 56.4100 50.9
3.975 77.2400 0.0
3.986 55.7500 55.0
3.996 77.0900 0.0
4.007 56.6100 49.7
4.018 72.9100 0.0
4.029 60.7500 24.1
4.039 68.1000 0.0
4.050 64.5000 1.0
4.061 64.6500 0.1
4.072 78.2400 0.0
4.082 58.8300 36.1
4.093 78.6900 0.0
4.104 57.0800 46.9
4.115 78.1700 0.0
4.125 56.4500 50.8
4.136 77.5200 0.0
4.147 57.0400 47.2
4.158 73.7300 0.0
4.168 60.1900 27.7
4.179 70.8000 0.0
4.190 63.4900 7.3
4.201 66.1500 0.0
4.211 66.8200 0.0
4.222 57.9200 41.8
4.233 74.8400 0.0
4.243 57.0000 47.5
4.254 77.0900 0.0
4.265 56.7200 49.2
4.276 76.9500 0.0
4.286 56.7600 49.0
4.297 75.5700 0.0
4.308 58.7500 36.8
4.319 71.8100 0.0
4.329 62.1000 16.1
4.340 67.1900 0.0
4.351 66.2000 0.0
4.362 59.0000 35.2
4.372 74.2500 0.0
4.383 57.3200 45.6
4.394 77.3100 0.0
4.405 57.2800 45.9
4.415 77.2400 0.0
4.426 57.0000 47.6
4.437 75.7700 0.0
4.448 58.2900 39.7
4.458 72.3000 0.0
4.469 60.7500 24.5
4.480 68.3200 0.0
4.491 65.1500 0.0
4.501 59.2900 33.5
4.512 73.1000 0.0
4.523 57.6400 43.7
4.534 76.1800 0.0
4.544 56.8800 48.4
4.555 77.0200 0.0
4.566 56.5700 50.4
4.576 75.6400 0.0
4.587 57.4400 45.0
4.598 73.4800 0.0
4.609 60.4100 26.7
4.619 69.0900 0.0
4.630 64.4100 2.0
4.641 65.7500 0.0
4.652 68.7000 0.0
4.662 57.2400 46.3
4.673 74.9000 0.0
4.684 56.8800 48.5
4.695 76.8800 0.0
4.705 56.8000 49.1
4.716 77.4500 0.0
4.727 56.9600 48.1
4.738 74.7700 0.0
4.748 59.6300 31.6
4.759 69.6500 0.0
4.770 63.0700 10.4
4.781 66.5600 0.0
4.791 66.9300 0.0
4.802 58.1300 41.0
4.813 73.2900 0.0
4.824 57.2000 46.7
