# time_s  celsius  duty_pct  target_c  disturb_c
10.04 28.7315 30.000 60.00 0.0000
20.11 28.8667 30.000 60.00 -6.5967
30.14 30.4240 30.000 60.00 -5.1694
40.18 33.5240 30.000 60.00 -3.5672
50.23 37.8242 30.000 60.00 -2.2485
60.30 42.8998 30.000 60.00 -1.3087
70.38 48.4164 30.000 60.00 -0.6737
80.46 54.2574 29.028 60.00 -0.1385
90.54 60.6025 0.579 60.00 0.8078
100.57 66.3348 3.952 60.00 6.8423
110.60 71.1825 5.256 60.00 5.4173
120.62 74.2317 5.309 60.00 3.5105
