# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred  predicted_c  rate_c_s
0.804 57.94 58.1300 0.0 -0.191 0.084 58.25 0.0103
0.902 57.94 58.1500 0.0 -0.204 0.103 58.28 0.0110
1.004 57.95 58.1800 0.0 -0.231 0.098 58.33 0.0125
1.104 57.95 58.1900 0.0 -0.239 0.121 58.35 0.0131
1.203 57.96 58.2100 0.0 -0.249 0.140 58.37 0.0137
1.303 57.96 58.2300 0.0 -0.273 0.137 58.42 0.0151
1.403 57.97 58.2700 0.0 -0.305 0.119 58.47 0.0169
1.504 57.97 58.2900 0.0 -0.316 0.135 58.50 0.0176
1.603 57.98 58.3200 0.0 -0.338 0.133 58.54 0.0189
1.704 57.98 58.3500 0.0 -0.361 0.128 58.59 0.0203
1.804 57.99 58.3600 0.0 -0.370 0.143 58.61 0.0210
1.903 58.00 58.3800 0.0 -0.382 0.155 58.64 0.0218
2.004 58.00 58.4000 0.0 -0.400 0.155 58.68 0.0229
2.103 58.01 58.4200 0.0 -0.406 0.173 58.70 0.0235
2.202 58.02 58.4500 0.0 -0.435 0.154 58.76 0.0252
2.304 58.03 58.4700 0.0 -0.439 0.176 58.77 0.0256
2.403 58.03 58.4900 0.0 -0.458 0.172 58.82 0.0269
2.503 58.04 58.5000 0.0 -0.462 0.192 58.83 0.0273
2.603 58.05 58.5300 0.0 -0.483 0.182 58.88 0.0287
2.703 58.06 58.5600 0.0 -0.498 0.183 58.91 0.0297
2.803 58.07 58.5600 0.0 -0.490 0.218 58.91 0.0296
2.902 58.08 58.6000 0.0 -0.522 0.191 58.98 0.0315
3.004 58.09 58.6200 0.0 -0.530 0.200 59.00 0.0322
3.104 58.10 58.6200 0.0 -0.528 0.226 59.01 0.0324
3.203 58.11 58.6600 0.0 -0.551 0.212 59.06 0.0339
3.303 58.12 58.6700 0.0 -0.556 0.224 59.09 0.0345
3.403 58.13 58.7000 0.0 -0.575 0.212 59.13 0.0358
3.503 58.14 58.7200 0.0 -0.579 0.225 59.15 0.0363
3.603 58.15 58.7300 0.0 -0.584 0.238 59.17 0.0369
3.703 58.16 58.7600 0.0 -0.598 0.234 59.21 0.0379
3.804 58.17 58.7700 0.0 -0.600 0.247 59.23 0.0384
3.902 58.18 58.7900 0.0 -0.611 0.247 59.26 0.0393
4.003 58.19 58.8100 0.0 -0.617 0.254 59.29 0.0400
4.104 58.20 58.8200 0.0 -0.622 0.263 59.31 0.0406
4.203 58.21 58.8600 0.0 -0.645 0.244 59.36 0.0421
4.303 58.23 58.8800 0.0 -0.656 0.241 59.40 0.0431
4.402 58.24 58.8900 0.0 -0.653 0.261 59.41 0.0433
4.504 58.25 58.9000 0.0 -0.654 0.275 59.43 0.0437
4.603 58.26 58.9300 0.0 -0.665 0.271 59.46 0.0447
4.702 58.27 58.9500 0.0 -0.675 0.268 59.50 0.0456
4.804 58.29 58.9700 0.0 -0.683 0.268 59.53 0.0463
4.903 58.30 58.9900 0.0 -0.688 0.273 59.55 0.0470
5.003 58.31 59.0100 0.0 -0.699 0.268 59.59 0.0480
5.103 58.33 59.0200 0.0 -0.693 0.290 59.60 0.0481
5.203 58.34 59.0400 0.0 -0.705 0.283 59.63 0.0491
5.304 58.35 59.0700 0.0 -0.713 0.281 59.66 0.0499
5.402 58.37 59.0700 0.0 -0.706 0.305 59.67 0.0500
5.503 58.38 59.1000 0.0 -0.717 0.297 59.71 0.0510
5.604 58.39 59.1100 0.0 -0.720 0.302 59.73 0.0516
5.703 58.41 59.1300 0.0 -0.726 0.302 59.76 0.0523
5.803 58.42 59.1500 0.0 -0.725 0.313 59.78 0.0527
5.903 58.43 59.1600 0.0 -0.729 0.316 59.80 0.0533
6.004 58.45 59.1800 0.0 -0.735 0.316 59.83 0.0540
6.103 58.46 59.2000 0.0 -0.738 0.320 59.86 0.0546
6.202 58.48 59.2300 0.0 -0.749 0.311 59.89 0.0557
6.304 58.49 59.2400 0.0 -0.748 0.320 59.91 0.0561
6.402 58.51 59.2600 0.0 -0.753 0.320 59.94 0.0567
6.503 58.52 59.2800 0.0 -0.758 0.320 59.97 0.0574
6.604 58.54 59.3000 0.0 -0.766 0.315 60.00 0.0583
6.703 58.55 59.3100 0.0 -0.758 0.334 60.01 0.0583
6.803 58.57 59.3300 0.0 -0.763 0.333 60.04 0.0590
6.903 58.58 59.3500 0.0 -0.769 0.329 60.07 0.0598
7.004 58.60 59.3700 0.0 -0.772 0.331 60.09 0.0604
7.103 58.61 59.3700 0.0 -0.762 0.353 60.10 0.0604
7.202 58.63 59.4000 0.0 -0.770 0.345 60.13 0.0613
7.304 58.64 59.4200 0.0 -0.773 0.348 60.16 0.0619
7.402 58.66 59.4300 0.0 -0.772 0.353 60.18 0.0623
7.503 58.67 59.4500 0.0 -0.778 0.349 60.21 0.0631
7.604 58.69 59.4600 0.0 -0.775 0.357 60.23 0.0634
7.703 58.71 59.4700 0.0 -0.769 0.370 60.24 0.0636
7.803 58.72 59.4900 0.0 -0.767 0.379 60.26 0.0640
7.902 58.74 59.5100 0.0 -0.773 0.373 60.29 0.0648
8.004 58.75 59.5200 0.0 -0.770 0.382 60.31 0.0651
8.103 58.77 59.5500 0.0 -0.775 0.376 60.34 0.0658
8.202 58.79 59.5600 0.0 -0.774 0.381 60.36 0.0663
8.304 58.80 59.5700 0.0 -0.768 0.395 60.37 0.0664
8.403 58.82 59.5800 0.0 -0.764 0.405 60.38 0.0667
8.503 58.84 59.6100 0.0 -0.773 0.392 60.42 0.0677
8.603 58.85 59.6300 0.0 -0.773 0.394 60.44 0.0682
8.703 58.87 59.6300 0.0 -0.765 0.411 60.45 0.0682
8.803 58.89 59.6500 0.0 -0.766 0.411 60.48 0.0688
8.902 58.90 59.6600 0.0 -0.761 0.421 60.49 0.0690
9.004 58.92 59.6700 0.0 -0.749 0.442 60.50 0.0689
9.104 58.94 59.6900 0.0 -0.757 0.431 60.53 0.0698
9.203 58.95 59.7100 0.0 -0.757 0.432 60.55 0.0703
9.303 58.97 59.7200 0.0 -0.750 0.446 60.56 0.0705
9.403 58.99 59.7400 0.0 -0.752 0.444 60.59 0.0711
9.504 59.00 59.7500 0.0 -0.743 0.460 60.60 0.0711
9.603 59.02 59.7700 0.0 -0.747 0.453 60.63 0.0718
9.702 59.04 59.7800 0.0 -0.739 0.468 60.64 0.0719
9.805 59.06 59.7900 0.0 -0.733 0.476 60.66 0.0722
9.903 59.07 59.8000 0.0 -0.725 0.491 60.66 0.0722
10.003 59.09 59.8100 0.0 -0.720 0.498 60.68 0.0725
10.103 59.11 59.8300 0.0 -0.725 0.491 60.71 0.0733
10.202 59.13 59.8500 0.0 -0.724 0.491 60.73 0.0737
10.304 59.14 59.8600 0.0 -0.719 0.500 60.75 0.0740
10.402 59.16 59.8700 0.0 -0.710 0.514 60.76 0.0740
10.503 59.18 59.8800 0.0 -0.701 0.529 60.77 0.0741
10.604 59.20 59.8900 0.0 -0.694 0.539 60.78 0.0742
10.703 59.21 59.9000 0.0 -0.691 0.542 60.80 0.0746
10.803 59.23 59.9200 0.0 -0.687 0.550 60.82 0.0749
10.902 59.25 59.9300 0.0 -0.676 0.564 60.82 0.0749
11.004 59.27 59.9400 0.0 -0.670 0.574 60.84 0.0751
11.104 59.29 59.9400 0.0 -0.660 0.589 60.85 0.0751
11.203 59.30 59.9700 0.0 -0.664 0.581 60.88 0.0759
11.303 59.32 59.9800 0.0 -0.657 0.591 60.89 0.0761
11.403 59.34 59.9900 0.0 -0.655 0.594 60.91 0.0764
