# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred
2.122 32.44 32.2400 23.4 0.209 2.909
2.154 32.45 32.2400 23.8 0.213 2.951
2.205 32.46 32.2800 23.3 0.180 2.888
2.254 32.47 32.2600 23.9 0.202 2.970
2.305 32.47 32.2900 23.8 0.185 2.948
2.355 32.48 32.2400 24.9 0.239 3.094
2.404 32.49 32.2400 25.3 0.247 3.136
2.455 32.49 32.2300 25.7 0.263 3.190
2.504 32.50 32.2400 25.8 0.257 3.199
2.555 32.51 32.2400 26.0 0.264 3.230
2.605 32.52 32.2500 26.3 0.269 3.262
2.654 32.52 32.2400 26.7 0.288 3.315
2.705 32.53 32.2300 27.2 0.303 3.370
2.753 32.54 32.2400 27.3 0.301 3.380
2.805 32.55 32.2300 27.6 0.313 3.421
2.855 32.55 32.2300 27.8 0.322 3.451
2.905 32.56 32.2300 28.1 0.329 3.480
2.955 32.57 32.2300 28.4 0.340 3.518
3.003 32.58 32.2200 28.8 0.353 3.563
3.055 32.58 32.2200 29.0 0.362 3.597
3.104 32.59 32.2200 29.3 0.371 3.625
3.155 32.60 32.2200 29.5 0.381 3.653
3.205 32.61 32.1700 30.6 0.436 3.794
3.254 32.62 32.2300 29.9 0.389 3.698
3.305 32.63 32.2200 30.3 0.409 3.749
3.354 32.63 32.2300 30.3 0.405 3.747
3.405 32.64 32.2100 30.8 0.428 3.811
3.455 32.65 32.2100 31.1 0.441 3.842
3.504 32.66 32.2000 31.5 0.461 3.897
3.555 32.67 32.3100 29.5 0.355 3.651
3.604 32.68 32.2000 31.8 0.471 3.932
3.655 32.68 32.2000 32.0 0.483 3.959
3.704 32.69 32.2000 32.2 0.488 3.981
3.754 32.70 32.2100 32.3 0.492 3.990
3.805 32.71 32.1800 33.0 0.528 4.075
3.855 32.72 32.2000 32.8 0.513 4.046
3.905 32.73 32.1500 34.0 0.575 4.195
3.955 32.74 32.2000 33.1 0.532 4.092
4.004 32.74 32.2000 33.4 0.545 4.119
4.054 32.75 32.2800 32.0 0.469 3.944
4.105 32.76 32.1900 33.9 0.568 4.180
4.154 32.77 32.2000 33.9 0.570 4.188
4.205 32.78 32.2000 34.2 0.584 4.217
4.254 32.79 32.2100 34.0 0.577 4.197
4.305 32.80 32.1900 34.6 0.609 4.269
4.355 32.81 32.1900 34.7 0.614 4.283
4.404 32.81 32.1800 35.1 0.637 4.333
4.455 32.82 32.1900 35.0 0.633 4.319
4.503 32.83 32.1900 35.3 0.645 4.349
4.555 32.84 32.1900 35.5 0.656 4.374
4.605 32.85 32.1500 36.4 0.704 4.481
4.655 32.86 32.1900 35.7 0.665 4.392
4.705 32.87 32.2100 35.4 0.657 4.364
4.753 32.88 32.1900 36.0 0.688 4.437
4.805 32.89 32.1900 36.2 0.697 4.455
4.854 32.90 32.1900 36.3 0.706 4.471
4.905 32.91 32.1900 36.5 0.719 4.499
4.955 32.92 32.1800 36.8 0.733 4.526
5.004 32.92 32.1700 37.0 0.749 4.559
5.055 32.93 32.1800 37.1 0.754 4.567
5.104 32.94 32.1700 37.4 0.772 4.602
5.155 32.95 32.1600 37.8 0.796 4.653
5.204 32.96 32.1800 37.5 0.784 4.614
5.254 32.97 32.1300 38.5 0.839 4.738
5.305 32.98 32.1700 37.9 0.808 4.659
5.355 32.99 32.1800 38.0 0.811 4.662
5.405 33.00 32.1900 38.0 0.814 4.662
5.454 33.01 32.1800 38.2 0.830 4.696
5.504 33.02 32.1700 38.6 0.851 4.735
5.554 33.03 32.1800 38.5 0.848 4.722
5.605 33.04 32.1800 38.6 0.857 4.735
5.655 33.05 32.1800 38.7 0.863 4.746
5.705 33.06 32.1800 38.9 0.877 4.767
5.754 33.06 32.1900 38.8 0.874 4.753
5.804 33.07 32.1800 39.2 0.899 4.806
5.855 33.08 32.1800 39.2 0.905 4.810
5.904 33.09 32.1600 39.7 0.932 4.867
5.955 33.10 32.1500 40.0 0.952 4.909
6.004 33.11 32.1800 39.7 0.937 4.862
6.055 33.12 32.1600 40.1 0.961 4.911
6.105 33.13 32.1600 40.1 0.970 4.919
6.154 33.14 32.1700 40.2 0.974 4.923
6.205 33.15 32.1800 40.1 0.972 4.906
6.254 33.16 32.1700 40.4 0.992 4.947
6.305 33.17 32.1700 40.5 1.003 4.961
6.355 33.18 32.1400 41.2 1.041 5.043
6.404 33.19 32.1600 40.8 1.025 4.994
6.455 33.20 32.1500 41.2 1.051 5.049
6.503 33.21 32.1600 41.1 1.048 5.028
6.555 33.22 32.1500 41.4 1.064 5.059
6.605 33.23 32.1600 41.4 1.069 5.059
6.655 33.24 32.1700 41.3 1.068 5.050
6.705 33.25 32.1200 42.3 1.128 5.178
6.753 33.26 32.1700 41.5 1.086 5.067
6.805 33.27 32.1600 41.8 1.111 5.111
6.854 33.28 32.1600 41.9 1.116 5.117
6.905 33.29 32.1800 41.7 1.109 5.089
6.955 33.30 32.1600 42.0 1.131 5.133
7.004 33.31 32.1500 42.4 1.154 5.174
7.055 33.32 32.1600 42.2 1.152 5.158
7.104 33.32 32.1500 42.6 1.176 5.205
7.155 33.33 32.1600 42.6 1.178 5.199
7.205 33.34 32.1500 42.8 1.192 5.218
7.254 33.35 32.1700 42.6 1.185 5.195
7.305 33.36 32.1600 42.9 1.209 5.238
7.354 33.37 32.1700 42.8 1.207 5.222
7.405 33.38 32.1500 43.3 1.235 5.280
7.455 33.39 32.1300 43.8 1.268 5.344
7.504 33.40 32.1500 43.4 1.250 5.290
7.555 33.41 32.1600 43.4 1.250 5.283
7.604 33.42 32.1600 43.5 1.266 5.300
7.655 33.43 32.1600 43.6 1.273 5.310
