# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred
2.501 25.95 26.2200 0.0 -0.269 -0.269
3.001 25.99 26.2900 0.0 -0.296 -0.296
3.500 26.03 26.1600 0.0 -0.128 -0.128
4.000 26.07 26.0900 0.0 -0.019 -0.019
4.500 26.12 26.1600 0.0 -0.036 -0.036
5.001 26.17 26.0300 0.9 0.144 0.144
5.501 26.23 26.0300 1.2 0.197 0.197
6.001 26.28 26.0900 1.2 0.190 0.190
6.501 26.34 26.0300 1.9 0.314 0.314
7.001 26.40 25.9600 2.7 0.440 0.440
7.500 26.47 26.0300 2.7 0.440 0.440
8.000 26.54 25.9600 3.6 0.571 0.571
8.500 26.60 26.1600 2.8 0.447 0.447
9.001 26.67 26.0900 3.6 0.582 0.582
9.501 26.75 26.0300 4.5 0.719 0.719
10.001 26.82 26.0900 4.6 0.728 0.728
10.501 26.90 25.9600 5.9 0.933 0.933
11.001 26.97 25.9000 6.8 1.075 1.075
11.500 27.05 26.0900 6.1 0.960 0.960
12.000 27.13 26.1600 6.2 0.976 0.976
12.500 27.21 26.0900 7.1 1.122 1.122
13.000 27.30 25.9000 8.8 1.398 1.398
13.500 27.38 26.0900 8.2 1.288 1.288
14.000 27.47 26.0900 8.7 1.372 1.372
14.501 27.55 25.9600 10.1 1.587 1.587
15.001 27.64 26.2200 9.1 1.416 1.416
15.501 27.72 26.0300 10.8 1.696 1.696
16.001 27.81 26.0300 11.4 1.784 1.784
16.501 27.90 25.9600 12.4 1.938 1.938
17.000 27.99 25.8300 13.8 2.157 2.157
17.500 28.08 25.7000 15.2 2.377 2.377
18.000 28.17 25.9600 14.2 2.208 2.208
18.500 28.26 26.0900 14.0 2.171 2.171
19.001 28.36 26.0900 14.6 2.263 2.263
19.501 28.45 25.9600 16.0 2.484 2.484
20.001 28.54 26.0900 15.8 2.448 2.448
20.501 28.63 25.9000 17.7 2.735 2.735
21.001 28.73 26.0300 17.5 2.700 2.700
21.500 28.82 26.1600 17.3 2.665 2.665
22.000 28.92 26.0900 18.4 2.824 2.824
22.500 29.01 26.1600 18.6 2.854 2.854
23.001 29.11 26.2200 18.9 2.885 2.885
23.501 29.20 26.4100 18.3 2.789 2.789
24.001 29.30 26.0300 21.4 3.270 3.270
24.501 29.39 26.0300 22.0 3.366 3.366
25.001 29.49 26.2200 21.5 3.269 3.269
25.501 29.59 26.0900 22.9 3.494 3.494
26.001 29.68 26.3500 22.0 3.334 3.334
26.501 29.78 26.2900 23.1 3.495 3.495
27.000 29.88 26.4100 23.0 3.465 3.465
27.500 29.97 26.3500 24.0 3.626 3.626
28.000 30.07 26.4100 24.3 3.659 3.659
28.500 30.17 26.4100 25.0 3.757 3.757
29.000 30.27 26.5400 24.9 3.727 3.727
29.500 30.37 26.3500 26.7 4.017 4.017
30.001 30.46 26.4800 26.6 3.987 3.987
30.501 30.56 27.1100 23.4 3.454 3.454
31.001 30.66 26.6000 27.2 4.056 4.056
31.501 30.76 26.6000 27.9 4.155 4.155
32.000 30.86 26.8600 27.0 4.000 4.000
32.500 30.96 26.6700 28.9 4.288 4.288
33.000 31.05 26.7300 29.2 4.324 4.324
33.500 31.15 26.8600 29.1 4.296 4.296
34.000 31.25 26.6700 31.0 4.585 4.585
34.500 31.35 27.2900 27.8 4.056 4.056
35.001 31.45 27.1100 29.6 4.342 4.342
35.501 31.55 27.0500 30.7 4.504 4.504
36.001 31.65 27.1700 30.7 4.478 4.478
36.501 31.75 27.2300 31.0 4.515 4.515
37.001 31.85 27.2900 31.3 4.552 4.552
37.501 31.95 27.2300 32.4 4.713 4.713
38.001 32.05 27.3600 32.3 4.688 4.688
38.500 32.14 27.2300 33.8 4.912 4.912
39.000 32.24 27.5400 32.6 4.701 4.701
39.500 32.34 27.5400 33.3 4.800 4.800
40.000 32.44 27.6700 33.2 4.777 4.777
40.500 32.54 27.6000 34.3 4.937 4.937
41.000 32.64 27.8500 33.5 4.791 4.791
41.500 32.74 27.7300 35.0 5.014 5.014
42.000 32.84 27.9700 34.2 4.868 4.868
42.501 32.94 27.9700 34.9 4.968 4.968
43.001 33.04 28.0300 35.3 5.007 5.007
43.501 33.14 28.1600 35.2 4.984 4.984
44.001 33.24 28.2800 35.2 4.963 4.963
44.501 33.34 28.4600 34.8 4.882 4.882
45.001 33.44 28.6400 34.4 4.801 4.801
45.500 33.54 28.5200 35.8 5.021 5.021
46.000 33.64 28.6400 35.8 5.001 5.001
46.500 33.74 28.4600 37.6 5.281 5.281
47.000 33.84 29.0500 34.7 4.783 4.783
47.500 33.94 29.0500 35.4 4.883 4.883
48.000 34.04 29.1100 35.7 4.924 4.924
48.501 34.14 29.1100 36.5 5.023 5.023
49.001 34.24 29.2900 36.1 4.946 4.946
49.501 34.34 29.4700 35.7 4.870 4.870
50.001 34.44 29.5300 36.1 4.911 4.911
50.501 34.54 29.5800 36.4 4.953 4.953
51.000 34.64 29.7600 36.0 4.878 4.878
51.500 34.74 29.9300 35.7 4.804 4.804
52.000 34.84 29.9900 36.0 4.846 4.846
52.500 34.94 30.1600 35.7 4.773 4.773
53.000 35.04 30.2800 35.7 4.758 4.758
53.500 35.14 30.3300 36.0 4.801 4.801
54.000 35.24 30.5100 35.7 4.730 4.730
54.501 35.34 30.5600 36.1 4.773 4.773
55.001 35.44 30.6800 36.1 4.759 4.759
55.501 35.54 30.9600 35.0 4.577 4.577
56.001 35.64 30.9000 36.1 4.733 4.733
56.501 35.74 31.1300 35.4 4.608 4.608
57.000 35.84 31.2900 35.1 4.540 4.540
57.500 35.94 31.4600 34.8 4.473 4.473
58.000 36.04 31.5200 35.1 4.518 4.518
58.500 36.14 31.6800 34.8 4.452 4.452
59.000 36.24 31.9000 34.2 4.331 4.331
59.500 36.34 32.0100 34.2 4.322 4.322
60.000 36.44 32.2900 33.2 4.149 4.149
60.500 36.54 32.5600 32.2 3.978 3.978
61.000 36.64 32.7200 31.9 3.916 3.916
61.501 36.73 32.7200 32.6 4.016 4.016
62.001 36.83 32.8300 32.7 4.009 4.009
62.501 36.93 32.9300 32.7 4.002 4.002
63.001 37.03 33.1500 32.1 3.888 3.888
63.501 37.13 33.4700 30.8 3.667 3.667
64.000 37.23 33.5700 30.9 3.662 3.662
64.500 37.33 33.8400 29.9 3.500 3.500
65.000 37.43 33.7800 30.9 3.652 3.652
65.500 37.53 34.1000 29.7 3.439 3.439
66.000 37.63 34.1000 30.4 3.539 3.539
66.500 37.73 34.3000 29.8 3.432 3.432
67.000 37.83 34.5600 28.9 3.274 3.274
67.501 37.93 34.5600 29.6 3.374 3.374
68.001 38.03 34.8700 28.4 3.167 3.167
68.501 38.13 35.1200 27.5 3.013 3.013
69.001 38.23 35.1200 28.1 3.113 3.113
69.501 38.33 35.3200 27.6 3.010 3.010
70.000 38.43 35.5800 26.7 2.859 2.859
70.500 38.53 35.7300 26.4 2.809 2.809
71.000 38.63 35.6300 27.7 3.009 3.009
71.500 38.73 36.0700 25.6 2.661 2.661
72.000 38.83 36.2200 25.4 2.612 2.612
72.500 38.93 36.4200 24.9 2.515 2.515
73.000 39.03 36.6200 24.3 2.419 2.419
73.501 39.13 36.8100 23.8 2.324 2.324
74.001 39.23 37.0100 23.2 2.229 2.229
74.501 39.33 37.1500 23.0 2.184 2.184
75.001 39.43 37.5400 21.3 1.899 1.899
75.501 39.53 37.5800 21.6 1.951 1.951
76.000 39.63 37.6800 21.7 1.956 1.956
76.500 39.73 37.8700 21.2 1.865 1.865
77.000 39.83 38.0600 20.7 1.775 1.775
77.500 39.93 38.3000 19.9 1.639 1.639
78.000 40.03 38.3900 19.9 1.645 1.645
78.500 40.13 38.6200 19.1 1.511 1.511
79.000 40.23 38.8600 18.3 1.377 1.377
79.500 40.33 38.9500 18.4 1.384 1.384
80.001 40.43 39.0900 18.2 1.345 1.345
80.501 40.53 39.4600 16.6 1.076 1.076
81.001 40.63 39.4600 17.2 1.176 1.176
81.501 40.73 39.7800 15.9 0.956 0.956
82.000 40.83 39.9100 15.7 0.919 0.919
82.500 40.93 40.0500 15.4 0.883 0.883
83.000 41.03 40.2800 14.7 0.757 0.757
83.500 41.13 40.4600 14.2 0.677 0.677
84.000 41.23 40.6400 13.7 0.597 0.597
84.500 41.33 40.7700 13.5 0.563 0.563
85.000 41.43 41.1700 11.7 0.263 0.263
85.501 41.53 41.0800 12.9 0.451 0.451
86.001 41.63 41.3500 11.8 0.286 0.286
86.501 41.73 41.2600 13.0 0.474 0.474
87.000 41.83 41.6100 11.5 0.222 0.222
87.500 41.93 41.7900 11.0 0.146 0.146
88.000 42.03 41.7900 11.6 0.246 0.246
88.500 42.13 42.0900 10.4 0.041 0.041
89.000 42.23 42.3100 9.6 -0.076 -0.076
89.500 42.33 42.7000 7.9 -0.364 -0.364
90.000 42.43 42.6600 8.7 -0.221 -0.221
90.501 42.53 42.7000 9.1 -0.164 -0.164
91.001 42.63 42.9100 8.4 -0.279 -0.279
91.501 42.73 43.0000 8.5 -0.264 -0.264
92.000 42.83 43.1700 8.0 -0.335 -0.335
92.500 42.93 43.3800 7.3 -0.448 -0.448
93.000 43.03 43.5100 7.1 -0.475 -0.475
93.500 43.13 43.7200 6.4 -0.586 -0.586
94.000 43.23 43.8900 6.0 -0.654 -0.654
94.500 43.33 44.0100 5.8 -0.680 -0.680
