# time_s  celsius  duty_pct
4.512 25.4100 2.2
5.014 25.4100 2.4
5.515 25.3400 3.1
6.017 25.4100 2.7
6.518 25.3600 3.3
7.020 25.3900 3.3
7.521 25.4300 3.1
8.022 25.4100 3.5
8.524 25.5200 2.9
9.025 25.3900 4.2
9.527 25.2500 5.6
10.027 25.3600 4.8
10.528 25.3900 4.9
11.030 25.4700 4.5
11.531 25.3900 5.5
12.033 25.3900 5.8
12.534 25.3900 6.0
13.035 25.3600 6.5
13.537 25.3000 7.4
14.038 25.3400 7.3
14.540 25.3400 7.6
15.041 25.3900 7.5
15.542 25.4100 7.7
16.044 25.4100 8.0
16.545 25.3000 9.3
17.047 25.4100 8.7
17.549 25.3200 9.8
18.050 25.2800 10.5
18.552 25.3200 10.4
19.053 25.2500 11.3
19.555 25.3000 11.3
20.056 25.2800 11.8
20.558 25.3000 12.0
21.059 25.3600 11.8
21.560 25.3400 12.4
22.062 25.3900 12.4
22.563 25.3200 13.4
23.065 25.2800 14.2
23.566 25.3400 14.0
24.067 25.3600 14.2
24.569 25.3400 14.8
25.069 25.5400 13.6
25.571 25.3900 15.4
26.072 25.1200 18.1
26.573 25.3200 16.8
27.075 25.3400 17.0
27.576 25.3400 17.5
28.078 25.3200 18.1
28.579 25.3900 18.0
29.081 25.3600 18.7
29.582 25.3900 18.9
30.083 25.2800 20.4
30.585 25.4100 19.7
31.086 25.3400 20.7
31.587 25.4300 20.5
32.089 25.4700 20.6
32.590 25.3900 21.9
33.092 25.4300 22.0
33.594 25.4300 22.6
34.095 25.5200 22.3
34.597 25.5800 22.3
35.098 25.5600 23.1
35.599 25.4700 24.4
36.101 25.5200 24.6
36.602 25.5400 24.9
37.104 25.5600 25.3
37.605 25.5000 26.4
38.107 25.5800 26.2
38.608 25.6700 26.1
39.109 25.6300 27.0
39.611 25.6900 27.1
40.111 25.5600 28.8
40.613 25.7800 27.5
41.114 25.8700 27.4
41.615 25.6100 30.3
42.117 25.8500 28.8
42.618 25.8700 29.2
43.119 25.8300 30.3
43.621 25.8700 30.5
44.122 25.9200 30.8
44.624 25.9600 31.1
45.125 25.9400 31.9
45.627 26.0000 32.0
46.128 26.0300 32.5
46.629 26.1400 32.3
47.131 26.1100 33.1
47.632 26.0700 34.2
48.134 26.2000 33.8
48.635 26.1800 34.6
49.137 26.2300 35.0
49.638 26.3800 34.4
50.140 26.3400 35.5
50.642 26.4500 35.3
51.143 26.5400 35.3
51.645 26.4900 36.4
52.146 26.6500 35.9
52.648 27.0700 33.1
53.149 26.7400 36.8
53.650 26.6300 38.5
54.152 26.7100 38.5
54.652 26.8500 38.1
55.154 26.8500 38.9
55.655 27.0000 38.4
56.156 26.9600 39.5
56.658 26.9600 40.3
57.159 27.0300 40.5
57.661 27.0500 41.1
58.162 27.1800 40.8
58.664 27.1400 41.9
59.165 27.1800 42.3
59.666 27.2900 42.2
60.168 27.4500 41.7
60.669 27.5600 41.6
61.171 27.6100 42.1
61.672 27.6100 43.0
62.174 27.6500 43.4
62.675 27.8100 43.0
63.176 27.8300 43.6
63.678 27.8300 44.5
64.179 27.9000 44.8
64.681 28.0800 44.1
65.182 28.0100 45.6
65.684 28.2400 44.6
66.185 28.2200 45.7
66.687 28.2200 46.5
67.188 28.4200 45.7
67.690 28.3500 47.2
68.191 28.5600 46.4
68.693 28.6200 46.7
69.194 28.6500 47.4
69.694 28.6900 48.0
70.196 28.8700 47.4
70.697 28.9600 47.5
71.199 29.0500 47.7
71.700 29.1200 48.1
72.202 29.2100 48.3
72.703 29.2600 48.9
73.204 29.3500 49.0
73.706 29.4900 48.9
74.207 29.5600 49.2
74.709 29.6000 49.8
75.210 29.6500 50.4
75.712 29.6500 51.4
76.213 29.9900 49.4
76.714 29.9900 50.4
77.216 30.0800 50.6
77.717 30.2200 50.5
78.219 30.2700 51.1
78.720 30.1800 52.9
79.222 30.3800 52.0
79.723 30.5200 51.9
80.224 30.7300 51.1
80.726 30.7100 52.4
81.227 30.8300 52.4
81.729 31.0800 51.2
82.230 31.0800 52.3
82.732 31.1700 52.6
83.233 31.2900 52.6
83.735 31.4300 52.5
84.236 31.5000 53.0
84.737 31.5700 53.4
85.238 31.7100 53.3
85.740 31.8500 53.1
86.241 31.9700 53.2
86.743 31.9900 54.1
87.244 32.2500 52.9
87.746 32.2300 54.2
88.247 32.3700 54.1
88.748 32.5600 53.6
89.250 32.7500 53.1
89.751 32.6300 55.2
90.253 32.8700 54.2
90.754 32.9200 54.9
91.255 32.9400 55.8
91.757 33.1300 55.2
92.258 33.3700 54.2
92.760 33.5200 54.1
93.261 33.3000 57.1
93.762 33.7300 54.5
94.264 33.7600 55.4
94.765 33.9300 55.0
95.267 34.0700 54.9
95.768 34.1700 55.2
96.270 34.3200 55.1
96.771 34.3600 55.8
97.273 34.5300 55.5
97.774 34.5800 56.2
98.275 34.8500 55.0
98.777 34.8800 56.0
99.278 35.0700 55.4
99.779 35.1000 56.3
100.281 35.3500 55.4
100.782 35.5900 54.4
101.284 35.5200 56.2
101.785 35.7400 55.5
102.287 35.8200 56.0
102.788 35.8900 56.5
103.290 36.0900 55.9
103.791 36.2200 56.0
104.293 36.3400 56.1
104.794 36.4400 56.3
105.296 36.4900 57.0
105.797 36.7200 56.2
106.299 36.7900 56.7
106.800 36.9200 56.8
107.302 37.2000 55.5
107.803 37.3000 55.8
108.305 37.3800 56.3
108.806 37.5300 56.2
109.308 37.6400 56.5
109.810 37.7900 56.3
110.311 37.9500 56.1
110.813 38.1500 55.5
111.314 38.1800 56.5
111.816 38.3900 55.9
112.317 38.5200 55.9
112.819 38.6200 56.2
113.319 38.7800 56.0
113.821 38.9900 55.4
114.322 39.2200 54.6
114.824 39.2800 55.4
115.326 39.3000 56.3
115.827 39.5700 55.2
116.329 39.6700 55.5
116.830 39.8900 54.8
117.331 39.9100 55.8
117.833 39.9400 56.7
118.334 40.1300 56.2
118.836 40.3400 55.5
119.338 40.4500 55.8
119.839 40.5900 55.8
120.341 40.7800 55.3
120.842 40.8600 55.8
121.344 41.0800 55.1
121.845 41.1900 55.3
122.347 41.2700 55.8
122.848 41.4900 55.0
123.350 41.5400 55.7
123.851 41.7900 54.7
124.353 41.9000 55.0
124.854 42.0100 55.2
125.356 42.1300 55.4
125.857 42.2600 55.3
126.359 42.6300 53.4
126.860 42.4600 56.0
127.361 42.6900 55.2
127.863 42.9700 53.9
128.364 43.1100 53.9
128.866 43.1700 54.6
129.367 43.2500 55.0
129.868 43.5700 53.5
130.370 43.6600 53.9
130.871 43.8300 53.6
131.373 43.9200 54.0
131.875 44.0000 54.4
132.376 44.2400 53.5
132.878 44.3200 53.9
133.379 44.4100 54.3
133.881 44.6500 53.5
134.382 44.6800 54.3
134.884 44.9100 53.4
135.385 45.0300 53.6
135.886 45.2700 52.7
136.388 45.3300 53.3
136.889 45.4800 53.2
137.391 45.6300 53.0
137.892 45.7800 52.9
138.394 45.9300 52.8
138.895 45.9900 53.4
139.396 46.1700 52.9
139.898 46.3800 52.2
140.399 46.5400 52.1
140.900 46.3800 54.5
141.402 46.7200 52.6
141.902 46.8700 52.5
142.404 47.0900 51.7
142.905 47.1800 52.1
143.407 47.4000 51.3
143.908 47.5900 50.9
144.409 47.6900 51.2
144.911 47.8100 51.3
145.412 48.0000 50.8
145.914 48.0600 51.4
146.415 48.3500 50.1
146.916 48.5400 49.6
147.418 48.5100 51.0
147.920 48.6700 50.7
148.421 48.8000 50.7
148.923 48.9300 50.7
149.424 49.0900 50.5
149.925 49.2500 50.2
150.427 49.3500 50.4
150.928 49.6100 49.3
151.430 49.8100 48.7
151.931 49.9800 48.5
152.432 50.1400 48.2
152.934 50.2800 48.2
153.435 50.4100 48.2
153.937 50.4100 49.3
154.438 50.7200 47.8
154.940 50.7200 48.9
155.441 50.8800 48.5
155.943 51.0900 47.9
156.444 51.3300 47.0
156.945 51.2300 48.9
157.446 51.5000 47.6
157.948 51.5700 48.1
158.450 51.8100 47.1
158.951 51.9900 46.7
159.453 52.0600 47.2
159.954 52.3700 45.6
160.455 52.4400 46.1
160.957 52.5800 46.0
161.458 52.7600 45.6
161.960 52.9800 44.9
162.461 53.0800 45.1
162.962 53.1900 45.3
163.464 53.3300 45.1
163.966 53.3700 45.9
164.467 53.6200 44.8
164.969 53.6600 45.5
165.470 53.6200 46.9
165.971 53.9900 44.8
166.473 54.0600 45.2
166.974 54.1400 45.6
167.476 54.2500 45.6
167.977 54.5400 44.1
168.478 54.6200 44.5
168.980 54.8400 43.7
169.481 54.7700 45.3
169.983 55.1100 43.5
