# time_s  celsius  duty_pct
5.537 24.9700 2.5
6.039 24.9000 3.2
6.540 24.8600 3.8
7.041 24.8100 4.3
7.543 24.7200 5.2
8.044 24.8600 4.3
8.546 24.7900 5.0
9.047 24.7900 5.2
9.549 24.6600 6.6
10.050 24.6800 6.5
10.552 24.6400 7.1
11.053 24.7500 6.4
11.555 24.6400 7.6
12.056 24.6600 7.6
12.557 24.6600 7.8
13.059 24.5900 8.7
13.560 24.4600 10.0
14.062 24.6400 8.7
14.563 24.6400 9.0
15.065 24.6200 9.5
15.566 24.5900 10.0
16.067 24.5900 10.3
16.569 24.5500 11.0
17.069 24.5700 11.1
17.571 24.5500 11.6
18.072 24.5700 11.8
18.574 24.5100 12.6
19.075 24.6200 12.1
19.577 24.6200 12.4
20.078 24.5700 13.2
20.580 24.6400 13.0
21.081 24.5900 13.8
21.582 24.6200 14.0
22.084 24.6800 13.8
22.585 24.5700 15.2
23.087 24.6600 14.8
23.588 24.6800 15.1
24.089 24.7700 14.8
24.591 24.6600 16.2
25.092 24.7000 16.3
25.594 24.7000 16.7
26.095 24.7900 16.4
26.597 24.8100 16.8
27.098 24.8100 17.2
27.599 24.8800 17.2
28.101 24.8800 17.7
28.602 24.9200 17.9
29.104 24.9700 18.0
29.605 24.9900 18.4
30.107 24.9900 18.9
30.608 25.0600 18.9
31.110 25.1400 18.8
31.611 25.3200 17.9
32.111 25.1900 19.6
32.613 25.3000 19.3
33.114 25.3400 19.6
33.616 25.3600 20.0
34.117 25.4700 19.7
34.619 25.5200 20.0
35.120 25.5800 20.1
35.622 25.6500 20.2
36.123 25.6900 20.5
36.625 25.7400 20.8
37.126 25.8300 20.8
37.627 25.8700 21.1
38.129 25.9400 21.2
38.630 26.0000 21.4
39.132 26.1100 21.2
39.633 26.2000 21.2
40.134 26.2300 21.7
40.636 26.3100 21.7
41.137 26.4300 21.5
41.639 26.4900 21.8
42.140 26.4500 22.9
42.642 26.6700 21.8
43.143 26.8300 21.3
43.645 27.0300 20.4
44.146 27.0000 21.5
44.648 27.0000 22.3
45.149 27.1800 21.6
45.651 27.2700 21.7
46.152 27.3600 21.8
46.653 27.5000 21.5
47.154 27.5400 22.0
47.655 27.6500 21.9
48.157 27.8100 21.5
48.658 27.9000 21.6
49.160 27.9700 21.9
49.661 28.0400 22.2
50.163 28.2200 21.6
50.665 28.3100 21.8
51.166 28.5800 20.4
51.667 28.5600 21.6
52.169 28.6700 21.5
52.670 28.7800 21.5
53.172 28.9200 21.3
53.673 29.0500 21.1
54.174 29.1900 20.9
54.676 29.3500 20.5
55.177 29.4600 20.5
55.679 29.5600 20.7
56.180 29.7400 20.1
56.682 29.8500 20.2
57.183 29.9500 20.4
57.685 30.1300 19.8
58.186 30.2500 19.9
58.687 30.4100 19.5
59.189 30.3600 20.9
59.690 30.7300 18.8
60.192 30.7500 19.6
60.693 30.9400 19.0
61.194 31.0800 18.9
61.695 31.2200 18.7
62.196 31.4500 17.8
62.698 31.5200 18.3
63.199 31.6900 17.9
63.701 31.8500 17.6
64.202 31.9900 17.5
64.703 32.0900 17.7
65.205 32.2800 17.2
65.706 32.4200 17.1
66.208 32.4400 17.9
66.710 32.7300 16.5
67.211 32.8900 16.2
67.713 33.0600 15.8
68.214 33.1600 16.1
68.715 33.3000 16.0
69.217 33.4900 15.4
69.718 33.5900 15.7
70.220 33.7800 15.1
70.721 33.9500 14.8
71.222 34.0500 15.0
71.724 34.3200 13.8
72.225 34.3400 14.7
72.727 34.5300 14.1
73.228 34.6800 14.0
73.730 34.8500 13.6
74.231 35.2000 11.8
74.732 35.0500 14.1
75.234 35.3000 13.1
75.735 35.4700 12.7
76.236 35.7400 11.5
76.737 35.7700 12.4
77.239 35.8700 12.6
77.740 36.0200 12.4
78.242 36.1400 12.4
78.743 36.3900 11.3
79.245 36.4400 11.9
79.746 36.6200 11.5
80.248 36.7200 11.7
80.749 36.9200 11.0
81.251 37.1800 9.9
81.752 37.4600 8.6
82.254 37.4100 10.1
82.756 37.5100 10.3
83.257 37.6900 9.8
83.759 37.9200 8.9
84.260 37.9500 9.8
84.762 38.2300 8.4
85.263 38.1500 10.1
85.764 38.4900 8.2
86.266 38.5200 9.0
86.767 38.6200 9.2
87.269 38.7500 9.1
87.770 38.9100 8.7
88.272 39.0100 8.8
88.773 39.1700 8.5
89.275 39.3800 7.7
89.776 39.4100 8.4
90.277 39.5400 8.3
90.778 39.7000 7.9
91.279 39.6500 9.3
91.781 39.9700 7.5
92.282 40.3400 5.4
92.784 40.1800 7.8
93.285 40.2400 8.2
93.787 40.4800 7.1
94.288 40.5900 7.2
94.789 40.6100 7.9
95.291 40.7800 7.4
95.792 40.8900 7.4
96.294 41.0200 7.2
96.795 41.1000 7.4
97.297 41.1300 8.1
97.798 41.3000 7.6
98.299 41.4600 7.1
98.801 41.6000 6.8
99.303 41.7100 6.8
99.804 41.7600 7.2
100.306 41.8500 7.4
100.807 41.9300 7.6
101.309 42.1500 6.6
101.810 42.1300 7.7
102.312 42.1500 8.3
102.813 42.4000 7.0
103.315 42.3500 8.3
103.816 42.5700 7.3
104.318 42.6000 7.9
104.819 42.7400 7.5
105.320 42.8300 7.7
105.821 42.9700 7.3
106.323 43.0000 7.9
106.824 43.1100 7.8
107.326 43.2000 7.9
107.827 43.2800 8.0
108.329 43.4000 7.8
108.830 43.4000 8.7
109.332 43.5100 8.5
109.833 43.6000 8.5
110.334 43.6800 8.6
110.836 43.8600 8.0
111.337 43.8000 9.2
111.839 43.8600 9.5
112.340 43.9700 9.3
112.841 44.0600 9.3
113.343 44.1800 9.1
113.845 44.2700 9.2
114.346 44.3800 9.0
114.848 44.4400 9.3
115.350 44.4700 9.8
115.851 44.6500 9.1
116.352 44.5300 10.9
116.854 45.0000 7.7
117.355 44.8200 10.0
117.857 44.8800 10.3
118.358 44.9100 10.8
118.860 45.0300 10.5
119.361 45.1200 10.5
119.862 45.0000 12.3
120.363 45.2400 11.0
120.865 45.2700 11.5
121.366 45.3900 11.2
121.867 45.6600 9.7
122.369 45.5700 11.3
122.870 45.6000 11.8
123.372 45.6300 12.2
123.873 45.5400 13.7
124.375 45.6600 13.4
124.876 45.8400 12.6
125.378 45.9300 12.6
125.879 45.9600 13.0
126.381 46.0800 12.8
126.882 46.1400 13.0
127.384 46.1700 13.5
127.885 46.2600 13.4
128.387 46.3800 13.2
128.888 46.3500 14.2
129.390 46.4800 13.9
129.891 46.5400 14.1
130.393 46.6000 14.3
130.894 46.7500 13.8
131.396 46.7200 14.8
131.898 46.8700 14.2
132.399 46.9400 14.5
132.901 46.9400 15.2
133.402 47.0600 14.9
133.903 47.1500 14.9
134.404 47.1800 15.4
134.906 47.2800 15.4
135.407 47.3700 15.4
135.908 47.3400 16.4
136.410 47.6200 14.8
136.911 47.5300 16.4
137.413 47.5600 16.8
137.914 47.6900 16.5
138.416 47.8700 15.7
138.917 47.7800 17.3
139.418 47.5300 20.1
139.920 48.0000 16.8
140.421 48.0600 17.0
140.923 48.3500 15.4
141.424 48.2500 17.1
141.925 48.1600 18.6
142.427 48.3200 18.0
142.928 48.4100 18.0
143.430 48.3800 19.0
143.931 48.5700 18.1
144.433 48.6700 18.1
144.934 48.8000 17.8
145.435 48.7700 18.9
145.937 48.8600 18.9
146.438 48.9900 18.6
146.940 48.9900 19.4
147.441 49.0600 19.6
147.943 49.1200 19.8
148.444 49.2500 19.5
148.945 49.3200 19.8
149.446 49.6100 18.1
149.947 49.4200 20.6
150.449 49.4800 20.8
150.950 49.7100 19.6
151.452 49.7100 20.5
151.953 49.7800 20.7
152.455 49.8800 20.7
152.956 49.9100 21.2
153.458 50.0400 20.9
153.959 50.1400 20.8
154.461 50.1400 21.6
154.962 50.4100 20.2
155.463 50.3800 21.3
155.965 50.4800 21.3
156.466 50.4100 22.7
156.968 50.7200 20.9
157.469 50.7200 21.8
157.970 50.8800 21.2
158.472 50.7200 23.4
158.973 51.0500 21.4
159.475 51.0500 22.2
159.976 51.1900 21.9
160.478 51.4700 20.5
160.979 51.5000 21.1
161.480 51.5000 22.0
161.982 51.5000 22.8
162.483 51.6700 22.2
162.985 51.7800 22.2
163.486 51.9500 21.6
163.987 52.0200 21.9
164.488 52.0900 22.2
164.990 52.2300 21.9
165.491 52.4400 21.0
165.992 52.4800 21.7
166.494 52.5500 22.0
166.995 52.5100 23.2
167.497 52.7300 22.2
167.998 52.8700 21.9
168.499 53.0100 21.6
169.001 53.0800 21.9
169.502 53.1900 21.9
170.004 53.3700 21.4
170.505 53.4400 21.7
171.007 53.5500 21.7
171.508 53.5200 22.9
172.010 53.7300 22.0
172.511 53.8800 21.7
173.012 53.8800 22.6
173.514 54.1400 21.3
174.015 54.2100 21.6
174.517 54.4700 20.4
175.018 54.5400 20.8
175.519 54.5400 21.7
176.021 54.5800 22.3
176.522 54.6900 22.3
177.024 54.9500 21.0
177.525 55.0700 21.0
178.026 55.1100 21.7
178.527 55.0700 22.9
179.028 55.4100 20.9
179.530 55.6000 20.3
180.031 55.7900 19.7
180.533 55.6400 21.9
181.035 55.9800 20.0
181.536 56.1000 20.0
182.038 56.1400 20.6
182.539 56.5300 18.3
183.040 56.3700 20.7
183.542 56.2900 22.3
184.043 56.4900 21.5
184.544 55.3700 31.8
185.046 57.0000 18.6
185.547 57.0800 19.0
186.049 57.1600 19.4
186.550 57.3200 19.0
187.052 57.4400 19.0
187.553 57.5200 19.4
188.055 57.6800 19.0
188.556 57.5600 21.0
189.058 58.1300 17.2
189.559 58.0100 19.3
190.061 58.0100 20.2
190.562 58.2900 18.8
191.063 58.4600 18.4
191.565 58.6200 18.0
192.066 58.7500 18.0
192.568 58.7900 18.6
193.069 58.9600 18.2
193.569 59.0800 18.1
194.071 59.1200 18.7
194.572 59.3300 17.9
195.074 59.5900 16.8
195.575 59.8000 16.0
196.076 59.8400 16.7
196.578 59.9700 16.6
197.080 60.1000 16.5
197.581 60.0600 17.9
198.082 60.2300 17.4
198.584 60.3600 17.2
199.085 60.4500 17.5
199.587 60.5400 17.7
200.088 60.6700 17.5
200.590 60.9800 15.8
201.091 60.9300 17.2
201.592 61.0600 17.0
202.094 61.1100 17.6
202.595 61.1100 18.5
203.097 61.4600 16.4
203.598 61.5100 16.9
204.100 61.6000 17.1
204.601 61.8700 15.8
205.102 61.8700 16.7
205.604 61.9200 17.2
206.105 62.0100 17.4
206.607 62.1900 16.7
207.108 62.4200 15.7
207.609 62.4700 16.3
208.111 62.6500 15.7
208.611 62.7900 15.4
209.113 62.5600 18.3
209.614 62.8800 16.4
210.115 63.1600 15.0
210.617 63.0700 16.7
211.118 63.2100 16.4
211.620 63.3500 16.1
212.121 63.4500 16.2
212.623 63.5900 15.9
213.124 63.6400 16.4
213.626 63.9200 14.9
214.127 63.8800 16.2
214.629 63.9200 16.7
215.130 64.1700 15.5
215.631 64.4600 14.0
216.133 64.2600 16.6
216.634 64.4600 15.8
217.136 64.4600 16.7
217.637 64.6500 15.9
218.139 64.7500 16.0
