# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred  predicted_c  rate_c_s
1.336 30.23 30.2300 2.8 -0.004 0.524 30.29 0.0052
1.409 30.23 30.2200 3.4 0.012 0.593 30.27 0.0038
1.510 30.24 30.2400 3.2 0.001 0.595 30.31 0.0058
1.609 30.24 30.2300 3.6 0.013 0.652 30.29 0.0049
1.711 30.25 30.2600 3.2 -0.007 0.626 30.36 0.0082
1.810 30.26 30.2400 4.0 0.022 0.723 30.30 0.0053
1.909 30.26 30.2600 3.7 0.003 0.702 30.36 0.0083
2.010 30.27 30.2600 3.8 0.007 0.734 30.37 0.0086
2.109 30.28 30.2500 4.5 0.029 0.809 30.33 0.0067
2.209 30.28 30.2700 4.1 0.013 0.791 30.39 0.0095
2.310 30.29 30.2600 4.6 0.028 0.848 30.37 0.0085
2.409 30.30 30.3000 3.9 -0.001 0.794 30.46 0.0130
2.510 30.31 30.2800 4.8 0.033 0.899 30.39 0.0096
2.609 30.32 30.2700 5.2 0.049 0.955 30.37 0.0085
2.710 30.33 30.2800 5.3 0.050 0.974 30.39 0.0094
2.810 30.33 30.2800 5.5 0.060 1.013 30.39 0.0092
2.908 30.34 30.2700 5.8 0.071 1.056 30.38 0.0088
3.010 30.35 30.2600 6.4 0.093 1.125 30.34 0.0071
3.108 30.36 30.3300 4.9 0.036 0.995 30.51 0.0153
3.210 30.37 30.2900 6.1 0.081 1.120 30.42 0.0107
3.310 30.38 30.2900 6.4 0.096 1.168 30.41 0.0100
3.409 30.39 30.2900 6.4 0.098 1.184 30.43 0.0109
3.510 30.40 30.2900 6.8 0.115 1.236 30.41 0.0099
3.608 30.41 30.3000 6.7 0.111 1.235 30.44 0.0116
3.710 30.42 30.3000 7.0 0.122 1.272 30.44 0.0114
3.809 30.43 30.2900 7.5 0.144 1.334 30.41 0.0098
3.909 30.45 30.3200 6.9 0.123 1.289 30.49 0.0137
4.010 30.46 30.3100 7.5 0.152 1.366 30.44 0.0114
4.108 30.47 30.3000 7.8 0.165 1.405 30.44 0.0110
4.210 30.48 30.3100 7.8 0.166 1.413 30.46 0.0122
4.309 30.49 30.3100 8.1 0.181 1.455 30.45 0.0116
4.409 30.50 30.3200 8.1 0.187 1.472 30.46 0.0123
4.509 30.52 30.3200 8.2 0.193 1.489 30.48 0.0129
4.609 30.53 30.3300 8.4 0.203 1.519 30.48 0.0130
4.710 30.54 30.3100 8.9 0.228 1.583 30.45 0.0113
4.810 30.55 30.3400 8.5 0.218 1.559 30.50 0.0140
4.909 30.57 30.3200 9.1 0.246 1.630 30.46 0.0118
5.009 30.58 30.3300 9.0 0.246 1.629 30.49 0.0133
5.109 30.59 30.3300 9.2 0.257 1.656 30.50 0.0134
5.209 30.61 30.3400 9.4 0.269 1.686 30.50 0.0133
5.310 30.62 30.3300 9.8 0.289 1.736 30.48 0.0123
5.408 30.63 30.3400 9.6 0.288 1.731 30.51 0.0139
5.510 30.65 30.3400 9.9 0.308 1.777 30.49 0.0130
5.608 30.66 30.3400 10.1 0.321 1.806 30.49 0.0130
5.710 30.67 30.3500 9.9 0.318 1.795 30.53 0.0149
5.810 30.69 30.3500 10.4 0.341 1.850 30.51 0.0135
5.908 30.70 30.3600 10.1 0.336 1.833 30.55 0.0157
6.010 30.71 30.3700 10.2 0.346 1.854 30.56 0.0160
6.108 30.73 30.3500 10.9 0.382 1.938 30.51 0.0132
6.210 30.74 30.3600 10.7 0.380 1.928 30.54 0.0151
6.309 30.76 30.3600 11.1 0.400 1.971 30.53 0.0142
6.409 30.77 30.3700 11.1 0.407 1.982 30.54 0.0149
6.509 30.79 30.3800 11.0 0.411 1.986 30.57 0.0161
6.609 30.80 30.3700 11.3 0.430 2.025 30.56 0.0154
6.710 30.82 30.3800 11.3 0.437 2.035 30.57 0.0162
6.810 30.83 30.3900 11.3 0.446 2.048 30.59 0.0168
6.909 30.85 30.3800 11.8 0.471 2.103 30.56 0.0153
7.009 30.86 30.3800 12.0 0.486 2.130 30.56 0.0152
7.109 30.88 30.3800 12.0 0.495 2.146 30.57 0.0157
7.209 30.89 30.3900 12.1 0.505 2.160 30.58 0.0163
7.310 30.91 30.3800 12.6 0.533 2.220 30.55 0.0145
7.408 30.92 30.3900 12.5 0.537 2.220 30.58 0.0158
7.510 30.94 30.3700 13.2 0.572 2.299 30.52 0.0131
7.609 30.96 30.4000 12.6 0.558 2.252 30.60 0.0167
7.710 30.97 30.4100 12.6 0.567 2.261 30.61 0.0174
7.810 30.99 30.4000 13.0 0.589 2.307 30.59 0.0163
7.908 31.00 30.4100 13.0 0.597 2.314 30.61 0.0172
8.010 31.02 30.4100 13.2 0.612 2.341 30.61 0.0170
8.108 31.04 30.4300 12.8 0.609 2.319 30.66 0.0193
8.210 31.05 30.4000 13.8 0.654 2.421 30.58 0.0154
8.309 31.07 30.4300 13.2 0.642 2.376 30.65 0.0188
8.409 31.09 30.4300 13.3 0.655 2.395 30.66 0.0190
8.510 31.10 30.4200 13.7 0.677 2.438 30.64 0.0180
8.609 31.12 30.4400 13.6 0.681 2.435 30.67 0.0194
8.710 31.13 30.4300 13.8 0.701 2.471 30.66 0.0187
8.809 31.15 30.4300 14.1 0.719 2.501 30.65 0.0183
8.909 31.17 30.4300 14.4 0.742 2.546 30.63 0.0173
9.009 31.18 30.4400 14.3 0.749 2.547 30.66 0.0183
9.109 31.20 30.4500 14.1 0.749 2.532 30.70 0.0202
9.210 31.22 30.4400 14.5 0.775 2.581 30.67 0.0189
9.310 31.24 30.4400 14.7 0.792 2.609 30.67 0.0186
9.409 31.25 30.4700 14.3 0.785 2.576 30.72 0.0213
9.509 31.27 30.4500 15.0 0.820 2.649 30.68 0.0188
9.609 31.29 30.4600 14.9 0.830 2.657 30.69 0.0196
9.709 31.30 30.4500 15.3 0.852 2.697 30.68 0.0187
9.811 31.32 30.4600 15.3 0.864 2.710 30.69 0.0191
9.909 31.34 30.4600 15.4 0.879 2.731 30.69 0.0191
10.010 31.36 30.4700 15.4 0.889 2.738 30.71 0.0199
10.108 31.37 30.4800 15.2 0.890 2.725 30.74 0.0216
10.210 31.39 30.4800 15.5 0.910 2.756 30.73 0.0211
10.309 31.41 30.4800 15.8 0.931 2.793 30.72 0.0204
10.409 31.43 30.4900 15.7 0.941 2.799 30.74 0.0211
10.509 31.44 30.5000 15.7 0.948 2.800 30.76 0.0222
10.609 31.46 30.5000 15.6 0.957 2.806 30.78 0.0230
10.710 31.48 30.4700 16.8 1.012 2.924 30.68 0.0181
10.810 31.50 30.5000 16.1 0.996 2.868 30.76 0.0220
10.909 31.52 30.5100 16.1 1.005 2.871 30.78 0.0228
11.010 31.53 30.5200 16.0 1.014 2.874 30.80 0.0237
11.109 31.55 30.5100 16.4 1.039 2.918 30.78 0.0225
11.209 31.57 30.5200 16.5 1.053 2.936 30.79 0.0227
11.310 31.59 30.5300 16.4 1.058 2.930 30.82 0.0240
11.408 31.61 30.5300 16.5 1.074 2.951 30.82 0.0240
11.510 31.62 30.5300 16.8 1.097 2.991 30.80 0.0230
11.609 31.64 30.5300 16.8 1.108 2.997 30.82 0.0237
11.710 31.66 30.5400 16.7 1.115 2.997 30.84 0.0247
11.810 31.68 30.5500 16.8 1.128 3.011 30.85 0.0251
11.908 31.70 30.5500 17.0 1.147 3.037 30.85 0.0247
12.010 31.71 30.5400 17.3 1.171 3.079 30.83 0.0237
12.108 31.73 30.5500 17.3 1.181 3.084 30.84 0.0244
12.210 31.75 30.5600 17.4 1.195 3.098 30.85 0.0247
12.309 31.77 30.5600 17.4 1.207 3.110 30.86 0.0251
12.409 31.79 30.5700 17.5 1.220 3.122 30.87 0.0255
12.510 31.81 30.5800 17.3 1.223 3.110 30.91 0.0271
12.609 31.82 30.6000 17.1 1.229 3.105 30.93 0.0283
12.710 31.84 30.5900 17.5 1.255 3.150 30.91 0.0270
12.809 31.86 30.6000 17.3 1.256 3.133 30.95 0.0288
12.909 31.88 30.5900 17.9 1.293 3.205 30.90 0.0262
