# time_s  celsius  duty_pct
6.511 28.6700 2.3
7.012 28.6500 2.7
7.513 28.7100 2.3
8.013 28.6700 2.9
8.514 28.6700 3.2
9.015 28.6700 3.4
9.516 28.6200 4.0
10.017 28.6700 3.9
10.517 28.6200 4.5
11.018 28.6500 4.6
11.519 28.6200 5.1
12.020 28.6200 5.3
12.521 28.6000 5.8
13.022 28.5100 6.8
13.522 28.6500 6.0
14.023 28.6700 6.1
14.524 28.6200 6.8
15.025 28.5800 7.5
15.526 28.5800 7.8
16.027 28.6500 7.5
16.527 28.6200 8.1
17.028 28.6200 8.4
17.529 28.6500 8.6
18.030 28.6900 8.5
18.531 28.7100 8.7
19.032 28.7600 8.7
19.533 28.6900 9.7
20.033 28.7100 9.9
20.534 28.7100 10.3
21.035 28.7600 10.3
21.536 28.6500 11.7
22.037 28.7800 10.9
22.537 28.8000 11.2
23.038 28.8300 11.4
23.538 28.7800 12.3
24.039 28.7800 12.7
24.540 28.8500 12.6
25.041 28.8700 12.8
25.541 28.9200 12.9
26.042 28.9200 13.4
26.543 28.9200 13.9
27.044 28.9600 14.0
27.545 29.0300 13.9
28.046 29.0500 14.2
28.547 29.1000 14.4
29.048 29.1000 14.9
29.548 29.0800 15.7
30.049 29.1900 15.2
30.550 29.1700 16.0
31.051 29.3100 15.4
31.552 29.2800 16.1
32.053 29.3700 15.9
32.553 29.3700 16.5
33.054 29.4600 16.4
33.555 29.5300 16.4
34.056 29.5100 17.2
34.557 29.6500 16.7
35.058 29.6900 16.9
35.559 29.7600 17.0
36.059 29.8100 17.3
36.560 29.9000 17.2
37.061 29.9200 17.7
37.562 30.0200 17.6
38.063 30.0400 18.1
38.563 30.0800 18.4
39.064 30.2200 17.9
39.565 30.2900 18.0
40.066 30.4100 17.8
40.567 30.3800 18.7
41.068 30.5700 17.9
41.568 30.6400 18.1
42.069 30.6600 18.7
42.570 30.7800 18.4
43.071 30.9200 18.0
43.572 30.9600 18.4
44.072 31.0800 18.3
44.573 31.2000 18.1
45.074 31.2700 18.3
45.575 31.3800 18.2
46.076 31.5000 18.0
46.577 31.6200 17.9
47.077 31.6400 18.5
47.578 31.8300 17.8
48.079 31.9000 18.1
48.580 32.2100 16.4
49.080 32.1400 17.9
49.580 32.2300 18.0
50.081 32.3700 17.7
50.582 32.5100 17.4
51.083 32.6100 17.5
51.584 32.7300 17.4
52.085 32.8200 17.5
52.585 33.0100 16.9
53.086 33.2500 15.8
53.587 33.2500 16.8
54.088 33.4200 16.3
54.589 33.5400 16.3
55.089 33.6400 16.4
55.590 33.7800 16.2
56.091 33.9500 15.7
56.592 34.1000 15.5
57.093 34.2400 15.2
57.593 34.3200 15.6
58.094 34.4600 15.4
58.595 34.6100 15.1
59.096 34.7100 15.3
59.597 34.9300 14.4
60.098 35.0000 14.8
60.598 35.2500 13.8
61.099 35.3700 13.8
61.600 35.5400 13.3
62.101 35.6400 13.5
62.602 35.7700 13.5
63.103 35.8900 13.5
63.604 36.0200 13.5
64.104 36.2700 12.4
64.605 36.3900 12.4
65.106 36.5400 12.2
65.607 36.7400 11.5
66.108 36.8500 11.7
66.608 37.0200 11.3
67.109 37.2300 10.6
67.610 37.3600 10.6
68.111 37.5100 10.4
68.612 37.6900 9.9
69.112 37.8900 9.3
69.613 37.9500 9.9
70.114 38.1300 9.5
70.615 38.2600 9.4
71.116 38.4400 9.0
71.617 38.5400 9.2
72.117 38.7000 8.9
72.618 38.8800 8.4
73.119 39.0100 8.3
73.620 39.1200 8.5
74.121 39.3000 8.0
74.621 39.4100 8.1
75.122 39.5900 7.6
75.622 39.7300 7.5
76.123 39.8900 7.2
76.624 40.0500 6.9
77.124 40.1800 6.8
77.625 40.2600 7.1
78.126 40.4000 7.0
78.627 40.5900 6.4
79.128 40.7500 6.1
79.629 40.8900 5.9
80.129 40.9900 6.0
80.630 41.2400 5.0
81.131 41.2700 5.8
81.632 41.4300 5.4
82.133 41.6000 5.0
82.634 41.6800 5.3
83.135 41.8700 4.6
83.635 41.9900 4.7
84.136 41.9900 5.7
84.637 42.1300 5.4
85.138 42.1000 6.6
85.639 42.4900 4.2
86.140 42.5500 4.7
86.640 42.7100 4.2
87.141 42.8300 4.2
87.642 42.9400 4.2
88.143 43.1400 3.5
88.644 43.1700 4.2
89.145 43.2500 4.5
89.645 43.3400 4.6
90.146 43.5100 4.1
90.647 43.7700 2.8
91.148 43.8000 3.5
91.649 43.8900 3.7
92.149 43.9200 4.4
92.650 44.0300 4.3
93.151 44.1800 3.9
93.652 44.2900 3.8
94.153 44.3800 4.0
94.654 44.5000 3.9
95.154 44.6500 3.5
95.655 44.6800 4.2
96.156 44.7300 4.5
96.657 44.8200 4.6
97.158 44.9700 4.2
97.658 44.9400 5.3
98.159 45.1800 4.1
98.660 45.2700 4.2
99.161 45.4500 3.5
99.662 45.4800 4.1
100.163 45.5700 4.2
100.663 45.5700 5.0
101.163 45.6600 5.1
101.664 45.7800 4.8
102.165 45.8700 4.9
102.666 45.9600 4.9
103.167 46.0500 5.0
103.667 46.0800 5.5
104.168 46.2300 5.0
104.669 46.3500 4.8
105.170 46.4100 5.1
105.671 46.4100 5.9
106.172 46.5400 5.6
106.673 46.4100 7.4
107.174 46.6600 6.0
107.674 46.7500 6.0
108.175 46.7500 6.8
108.676 46.8400 6.8
109.177 47.0000 6.2
109.678 47.0000 7.0
110.179 47.0600 7.2
110.679 47.1200 7.4
111.180 47.2800 6.8
111.681 47.3100 7.3
112.182 47.0900 9.9
112.683 47.5300 6.9
113.184 47.5000 7.9
113.684 47.5600 8.2
114.185 47.6200 8.4
114.686 47.5600 9.6
115.187 47.7800 8.5
115.688 47.7500 9.5
116.188 47.9100 8.8
116.689 48.0300 8.5
117.190 48.0300 9.3
117.691 48.1000 9.5
118.192 48.1300 9.9
118.693 48.1900 10.1
119.193 48.2200 10.6
119.694 48.3200 10.5
120.195 48.4500 10.1
120.696 48.4500 10.9
121.197 48.6100 10.2
121.698 48.6100 11.0
122.198 48.6400 11.4
122.699 48.7700 11.1
123.200 48.8000 11.6
123.701 48.8600 11.7
124.202 48.9000 12.2
124.702 48.8600 13.2
125.203 49.0300 12.5
125.704 49.0600 12.9
126.205 49.1900 12.6
126.705 49.2200 13.0
127.206 49.2500 13.5
127.706 49.2500 14.2
128.207 49.4800 13.0
128.708 49.4200 14.3
129.209 49.5200 14.2
129.710 49.6100 14.1
130.211 49.6500 14.5
130.712 49.7500 14.4
131.212 49.8100 14.6
131.713 49.8800 14.8
132.214 49.9500 15.0
132.715 50.0400 14.9
133.216 50.1400 14.8
133.717 50.1400 15.6
134.218 50.2800 15.2
134.719 50.3800 15.2
135.220 50.4500 15.4
135.721 50.4800 15.9
136.221 50.5800 15.8
136.722 50.7200 15.4
137.223 50.7800 15.7
137.724 50.8200 16.2
138.225 50.9500 15.8
138.726 50.9200 16.9
139.226 50.9900 17.1
139.727 51.1200 16.8
140.228 51.2300 16.7
140.729 51.2300 17.5
141.230 51.3300 17.4
141.731 51.4700 17.0
142.231 51.5000 17.6
142.732 51.6000 17.5
143.233 51.7100 17.4
143.734 51.8500 17.1
144.235 51.9500 17.0
144.736 51.9200 18.2
145.236 52.0900 17.5
145.737 52.2300 17.1
146.238 52.2000 18.3
146.739 52.4800 16.8
147.240 52.5500 17.0
147.740 52.5500 17.9
148.241 52.6900 17.6
148.742 52.7300 18.1
149.243 52.9000 17.5
149.744 53.0100 17.4
150.245 53.1900 16.8
150.746 53.2300 17.4
151.246 53.3700 17.1
151.747 53.3700 18.0
152.247 53.5500 17.4
152.748 53.6600 17.3
153.249 53.7300 17.6
153.750 53.8100 17.9
154.250 53.9500 17.6
154.751 54.0300 17.8
155.252 54.3200 16.2
155.753 54.3200 17.2
156.254 54.4300 17.2
156.754 54.6200 16.5
157.255 54.7700 16.2
157.756 54.8400 16.6
158.257 54.9200 16.9
158.758 54.9900 17.1
159.259 55.1400 16.8
159.759 55.2900 16.5
160.260 55.4500 16.1
160.761 55.5200 16.4
161.262 55.5600 17.1
161.763 55.7100 16.7
162.264 55.7900 17.0
162.764 55.9800 16.3
163.265 56.1000 16.2
163.766 56.1800 16.5
164.267 56.3300 16.1
164.768 56.4900 15.8
165.268 56.5300 16.4
165.769 56.7200 15.7
166.270 56.8400 15.7
166.771 57.0000 15.3
167.272 57.2000 14.6
167.773 57.2400 15.2
168.273 57.2800 15.9
168.774 58.0900 10.1
169.275 57.6800 14.6
169.776 57.6800 15.6
170.277 57.8800 14.8
170.777 57.9700 15.1
171.278 58.0900 15.0
171.779 58.2500 14.5
172.280 58.3300 14.8
172.781 58.5400 14.0
173.281 58.5800 14.6
173.782 58.7500 14.2
174.283 58.8700 14.1
174.784 59.0800 13.3
175.285 59.2100 13.2
175.786 59.3300 13.1
176.286 59.4200 13.4
176.787 59.5000 13.7
177.288 59.6300 13.5
177.788 59.6700 14.1
178.289 59.8900 13.2
178.790 60.1000 12.4
179.290 60.2300 12.3
179.791 60.4100 11.8
180.292 51.9500 83.4
180.793 60.5800 9.3
181.294 60.7500 9.1
181.794 60.8000 10.0
182.295 60.9800 9.7
182.796 61.0200 10.6
183.297 61.2000 10.2
183.798 61.2900 10.6
184.299 61.2900 11.7
184.799 61.6400 9.8
185.300 61.6400 10.9
185.801 61.7300 11.2
186.302 61.9200 10.7
186.803 62.1000 10.2
187.304 62.1900 10.5
