# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred
0.015 26.92 26.9200 0.0 -0.003 0.006
0.025 26.92 26.9200 0.0 -0.001 0.015
0.035 26.92 26.9300 0.0 -0.011 -0.024
0.044 26.92 26.9200 0.1 0.001 0.040
0.055 26.92 26.9200 0.1 -0.001 0.033
0.064 26.92 26.9200 0.2 0.002 0.064
0.076 26.92 26.9300 0.1 -0.009 0.018
0.085 26.92 26.9300 0.1 -0.008 0.041
0.096 26.92 26.9300 0.2 -0.004 0.055
0.106 26.92 26.9200 0.2 0.000 0.076
0.116 26.92 26.9100 0.4 0.008 0.121
0.125 26.92 26.9200 0.3 -0.001 0.086
0.136 26.92 26.9300 0.2 -0.003 0.078
0.146 26.92 26.9300 0.2 -0.006 0.083
0.155 26.92 26.9100 0.5 0.013 0.159
0.164 26.92 26.9100 0.6 0.015 0.184
0.175 26.92 26.9100 0.5 0.008 0.157
0.185 26.92 26.9400 0.2 -0.017 0.060
0.195 26.92 26.9100 0.6 0.012 0.189
0.204 26.92 26.9200 0.4 -0.002 0.139
0.215 26.92 26.9100 0.6 0.010 0.185
0.225 26.92 26.9200 0.5 -0.002 0.154
0.235 26.92 26.9300 0.4 -0.004 0.147
0.244 26.92 26.9300 0.5 -0.005 0.160
0.255 26.92 26.9200 0.6 0.001 0.183
0.265 26.92 26.9100 0.7 0.009 0.216
0.275 26.92 26.9100 0.7 0.008 0.227
0.285 26.92 26.9200 0.6 0.004 0.213
0.295 26.92 26.9100 0.7 0.009 0.232
0.305 26.92 26.9200 0.7 0.005 0.235
0.315 26.92 26.9200 0.7 0.005 0.234
0.325 26.92 26.9200 0.8 0.006 0.255
0.335 26.92 26.9200 0.8 0.007 0.256
0.346 26.92 26.9100 0.8 0.011 0.279
0.356 26.92 26.9200 0.8 0.005 0.264
0.366 26.92 26.9200 0.8 0.002 0.256
0.375 26.92 26.9100 0.9 0.010 0.288
0.386 26.92 26.9200 0.8 0.002 0.272
0.396 26.92 26.9200 0.9 0.007 0.295
0.406 26.92 26.9100 1.0 0.014 0.339
0.415 26.92 26.9100 1.0 0.016 0.343
0.425 26.93 26.9200 0.9 0.003 0.296
0.435 26.93 26.9100 1.1 0.015 0.356
0.445 26.93 26.9100 1.1 0.015 0.358
0.454 26.93 26.9200 0.9 0.002 0.308
0.465 26.93 26.9100 1.1 0.018 0.370
0.476 26.93 26.9200 1.1 0.008 0.349
0.486 26.93 26.9200 1.1 0.009 0.352
0.495 26.93 26.9200 1.1 0.009 0.368
0.506 26.93 26.9200 1.1 0.006 0.354
0.516 26.93 26.9200 1.1 0.008 0.367
0.526 26.93 26.9100 1.2 0.012 0.396
0.535 26.93 26.9100 1.3 0.019 0.426
0.546 26.93 26.9100 1.3 0.021 0.431
0.556 26.93 26.9100 1.3 0.018 0.434
0.566 26.93 26.9200 1.2 0.010 0.409
0.576 26.93 26.9100 1.3 0.016 0.429
0.585 26.93 26.9100 1.4 0.019 0.455
0.596 26.93 26.9000 1.5 0.027 0.505
0.606 26.93 26.9200 1.3 0.010 0.440
0.616 26.93 26.9000 1.5 0.025 0.497
0.625 26.93 26.9200 1.4 0.012 0.447
