# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred
1.343 57.91 57.8200 4.2 0.090 0.676
1.409 57.91 57.8200 4.4 0.096 0.712
1.509 57.92 57.8100 4.8 0.112 0.776
1.610 57.92 57.8100 5.0 0.116 0.804
1.709 57.93 57.7900 5.5 0.137 0.880
1.811 57.94 57.7900 5.6 0.143 0.908
1.909 57.94 57.7500 6.6 0.190 1.062
2.009 57.95 57.7800 6.2 0.165 0.997
2.110 57.96 57.7800 6.5 0.180 1.050
2.208 57.96 57.7700 6.8 0.192 1.094
2.310 57.97 57.7700 7.0 0.203 1.133
2.409 57.98 57.7600 7.5 0.223 1.200
2.509 57.99 57.7600 7.7 0.232 1.232
2.610 58.00 57.7500 8.0 0.246 1.276
2.709 58.01 57.7400 8.3 0.263 1.328
2.810 58.01 57.7500 8.4 0.269 1.346
2.909 58.02 57.7300 8.9 0.297 1.430
3.009 58.03 57.7200 9.2 0.311 1.471
3.110 58.04 57.7200 9.4 0.323 1.505
3.209 58.05 57.7100 9.7 0.337 1.546
3.310 58.06 57.7100 9.8 0.348 1.575
3.409 58.07 57.7000 10.2 0.369 1.631
3.509 58.08 57.7000 10.5 0.385 1.676
3.610 58.09 57.6900 10.8 0.404 1.726
3.709 58.10 57.6900 11.0 0.418 1.760
3.809 58.11 57.7000 10.9 0.415 1.742
3.909 58.13 57.6900 11.3 0.440 1.809
4.009 58.14 57.6800 11.6 0.461 1.861
4.110 58.15 57.6600 12.1 0.487 1.927
4.209 58.16 57.6600 12.3 0.501 1.958
4.309 58.17 57.6600 12.5 0.515 1.989
4.409 58.18 57.6500 12.7 0.533 2.028
4.511 58.20 57.6500 12.8 0.541 2.038
4.610 58.21 57.6500 13.1 0.562 2.085
4.708 58.22 57.6300 13.6 0.594 2.165
4.810 58.23 57.6400 13.5 0.597 2.157
4.908 58.25 57.6000 14.3 0.641 2.274
5.010 58.26 57.6100 14.2 0.645 2.269
5.110 58.27 57.6100 14.4 0.662 2.300
5.208 58.28 57.6100 14.6 0.673 2.315
5.310 58.30 57.6000 14.9 0.699 2.373
5.408 58.31 57.5900 15.2 0.722 2.424
5.510 58.32 57.5900 15.4 0.736 2.443
5.610 58.34 57.5900 15.6 0.753 2.471
5.708 58.35 57.5700 16.0 0.784 2.542
5.810 58.37 57.5700 16.2 0.801 2.570
5.908 58.38 57.5700 16.2 0.808 2.568
6.010 58.39 57.5700 16.3 0.820 2.580
6.110 58.41 57.5600 16.7 0.851 2.650
6.208 58.42 57.5500 17.0 0.873 2.693
6.310 58.44 57.5400 17.3 0.897 2.739
6.408 58.45 57.5400 17.3 0.907 2.742
6.510 58.47 57.5300 17.7 0.935 2.799
6.610 58.48 57.5200 18.1 0.966 2.866
6.708 58.50 57.5200 18.1 0.973 2.858
6.810 58.51 57.5200 18.2 0.988 2.876
6.909 58.53 57.5100 18.5 1.014 2.927
7.009 58.54 57.5000 18.8 1.040 2.976
7.110 58.56 57.4900 19.2 1.068 3.029
7.208 58.57 57.5000 19.1 1.076 3.023
7.310 58.59 57.4700 19.8 1.121 3.131
7.409 58.60 57.4800 19.7 1.128 3.118
7.509 58.62 57.4600 20.1 1.155 3.169
7.610 58.64 57.4800 20.0 1.160 3.151
7.709 58.65 57.4500 20.5 1.200 3.239
7.810 58.67 57.4500 20.6 1.216 3.256
7.909 58.68 57.4200 21.3 1.259 3.352
8.009 58.70 57.4400 21.1 1.262 3.326
8.110 58.72 57.4300 21.3 1.283 3.357
8.209 58.73 57.4300 21.4 1.297 3.365
8.309 58.75 57.4200 21.8 1.329 3.425
8.409 58.76 57.4200 21.9 1.344 3.438
8.511 58.78 57.4100 22.1 1.369 3.475
8.610 58.80 57.4100 22.2 1.385 3.489
8.708 58.81 57.4100 22.4 1.406 3.517
8.810 58.83 57.4000 22.6 1.429 3.550
8.908 58.85 57.4000 22.8 1.450 3.577
9.010 58.86 57.4100 22.7 1.457 3.563
9.110 58.88 57.3900 23.1 1.487 3.616
9.208 58.90 57.3900 23.2 1.507 3.640
9.310 58.92 57.3900 23.3 1.525 3.657
9.408 58.93 57.3800 23.6 1.552 3.700
9.510 58.95 57.3800 23.8 1.574 3.731
9.610 58.97 57.3800 23.9 1.591 3.742
9.708 58.98 57.3700 24.1 1.611 3.768
9.810 59.00 57.3700 24.2 1.631 3.789
9.909 59.02 57.3600 24.4 1.655 3.823
10.009 59.04 57.3700 24.4 1.667 3.820
10.110 59.05 57.3600 24.8 1.697 3.872
10.208 59.07 57.3600 24.8 1.710 3.873
10.310 59.09 57.3600 24.9 1.727 3.887
10.409 59.11 57.3600 25.1 1.751 3.918
10.509 59.12 57.3400 25.5 1.781 3.973
10.610 59.14 57.3400 25.4 1.799 3.968
10.709 59.16 57.3300 25.5 1.824 3.966
10.810 59.18 57.3400 25.3 1.840 3.936
10.909 59.19 57.3300 25.3 1.863 3.932
11.009 59.21 57.3300 25.1 1.876 3.896
11.110 59.22 57.3300 25.0 1.893 3.877
11.209 59.24 57.3200 25.1 1.923 3.896
11.309 59.25 57.3100 25.0 1.942 3.881
11.409 59.27 57.3200 24.8 1.953 3.846
11.509 59.28 57.3200 24.7 1.968 3.824
11.609 59.30 57.3200 24.5 1.980 3.795
11.709 59.31 57.3100 24.5 1.999 3.787
11.809 59.33 57.3100 24.5 2.021 3.790
11.909 59.34 57.3000 24.4 2.035 3.771
12.010 59.35 57.3000 24.4 2.052 3.759
12.109 59.37 57.3000 24.2 2.062 3.728
12.209 59.38 57.3000 24.1 2.077 3.715
12.310 59.39 57.2900 24.2 2.099 3.725
12.408 59.40 57.2900 24.1 2.110 3.698
12.510 59.42 57.3000 23.9 2.117 3.667
12.609 59.43 57.2800 24.0 2.142 3.687
12.709 59.44 57.3200 23.3 2.119 3.562
12.809 59.45 57.2900 23.7 2.161 3.637
12.909 59.46 57.3000 23.5 2.165 3.596
13.010 59.47 57.2900 23.5 2.179 3.589
13.110 59.48 57.2800 23.6 2.202 3.611
13.208 59.49 57.3100 22.9 2.181 3.498
13.310 59.50 57.2900 23.2 2.212 3.543
13.408 59.51 57.2800 23.2 2.228 3.544
13.510 59.52 57.2900 23.0 2.229 3.501
13.610 59.53 57.3000 22.9 2.236 3.479
13.708 59.54 57.3000 22.8 2.243 3.455
13.810 59.55 57.2900 22.8 2.257 3.454
13.908 59.56 57.2900 22.7 2.268 3.447
14.010 59.57 57.2900 22.7 2.279 3.438
14.110 59.58 57.2900 22.6 2.286 3.420
14.208 59.58 57.2900 22.5 2.295 3.407
14.310 59.59 57.2900 22.5 2.305 3.398
14.409 59.60 57.3400 21.4 2.261 3.227
14.509 59.61 57.2900 22.3 2.318 3.364
14.610 59.62 57.2900 22.3 2.328 3.359
14.709 59.62 57.3000 22.0 2.325 3.312
14.809 59.63 57.3400 21.3 2.296 3.192
14.909 59.64 57.3000 21.9 2.339 3.287
15.009 59.65 57.3000 21.8 2.346 3.274
15.110 59.65 57.3100 21.6 2.345 3.240
15.209 59.66 57.3200 21.4 2.343 3.200
15.309 59.67 57.3100 21.5 2.358 3.214
15.408 59.67 57.3000 21.5 2.370 3.220
15.510 59.68 57.3100 21.5 2.375 3.207
15.610 59.69 57.3300 21.0 2.362 3.137
15.708 59.69 57.3200 21.1 2.372 3.138
15.810 59.70 57.3300 20.9 2.374 3.117
15.908 59.71 57.3300 20.9 2.377 3.103
16.010 59.71 57.3300 20.8 2.381 3.084
16.110 59.72 57.3400 20.6 2.382 3.063
16.208 59.72 57.3400 20.5 2.382 3.039
16.310 59.73 57.3500 20.3 2.379 3.005
16.409 59.73 57.3500 20.3 2.384 2.997
16.510 59.74 57.3600 20.0 2.378 2.958
16.609 59.74 57.3600 20.1 2.388 2.965
16.709 59.75 57.3600 20.0 2.390 2.948
16.810 59.75 57.3600 19.9 2.393 2.937
16.908 59.76 57.3800 19.7 2.384 2.888
17.010 59.76 57.3700 19.6 2.389 2.884
17.110 59.77 57.3800 19.6 2.390 2.868
17.208 59.77 57.3800 19.4 2.390 2.849
17.310 59.78 57.3900 19.5 2.384 2.853
17.409 59.78 57.4000 19.6 2.384 2.871
17.510 59.79 57.4000 19.8 2.386 2.897
17.609 59.80 57.4200 19.8 2.379 2.893
17.709 59.80 57.4100 20.2 2.394 2.955
17.810 59.81 57.4200 20.1 2.387 2.949
17.908 59.81 57.4300 20.2 2.384 2.958
18.010 59.82 57.4400 20.2 2.379 2.958
18.110 59.83 57.4500 20.4 2.383 2.982
