# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred  predicted_c  rate_c_s
66.618 60.00 58.7700 17.1 1.225 2.738 57.26 -0.1260
66.716 60.00 58.7500 17.6 1.247 2.814 57.19 -0.1305
66.818 60.00 58.7400 17.5 1.257 2.807 57.19 -0.1291
66.918 60.00 58.7400 17.2 1.262 2.761 57.24 -0.1250
67.016 60.00 58.7200 17.5 1.279 2.807 57.19 -0.1273
67.118 60.00 58.7000 17.8 1.297 2.854 57.15 -0.1298
67.216 60.00 58.6900 18.0 1.312 2.882 57.12 -0.1308
67.318 60.00 58.6800 18.0 1.323 2.882 57.12 -0.1299
67.417 60.00 58.6700 17.9 1.331 2.860 57.14 -0.1274
67.517 60.00 58.6500 18.1 1.348 2.902 57.10 -0.1295
67.618 60.00 58.6300 18.4 1.365 2.943 57.06 -0.1315
67.717 60.00 58.6300 18.3 1.374 2.924 57.08 -0.1292
67.818 60.00 58.6200 18.1 1.381 2.898 57.10 -0.1264
67.918 60.00 58.6000 18.4 1.398 2.939 57.06 -0.1285
68.017 60.00 58.5800 18.8 1.417 2.998 57.00 -0.1318
68.118 60.00 58.5700 18.8 1.429 3.004 56.99 -0.1313
68.217 60.00 58.5600 19.0 1.444 3.029 56.97 -0.1321
68.317 60.00 58.5500 18.7 1.449 2.983 57.02 -0.1279
68.418 60.00 58.5400 18.7 1.459 2.976 57.02 -0.1264
68.516 60.00 58.5300 18.9 1.474 3.007 56.99 -0.1278
68.618 60.00 58.5000 19.3 1.495 3.077 56.92 -0.1319
68.716 60.00 58.4900 19.3 1.506 3.075 56.92 -0.1307
68.818 60.00 58.4800 19.3 1.517 3.076 56.92 -0.1299
68.917 60.00 58.4700 19.4 1.530 3.083 56.92 -0.1295
69.017 60.00 58.4500 19.7 1.548 3.132 56.87 -0.1321
69.117 60.00 58.4400 19.7 1.558 3.126 56.87 -0.1307
69.217 60.00 58.4300 19.9 1.574 3.162 56.84 -0.1323
69.317 60.00 58.4100 20.1 1.590 3.194 56.81 -0.1336
69.418 60.00 58.4000 20.1 1.603 3.200 56.80 -0.1331
