# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred  predicted_c  rate_c_s
2.604 30.43 30.2300 8.9 0.207 1.260 30.18 -0.0038
2.703 30.44 30.2200 9.4 0.225 1.311 30.17 -0.0042
2.804 30.45 30.2200 9.6 0.233 1.348 30.17 -0.0042
2.903 30.46 30.2200 9.7 0.237 1.375 30.18 -0.0039
3.003 30.47 30.2300 9.6 0.236 1.394 30.19 -0.0034
3.103 30.48 30.2000 10.6 0.275 1.475 30.15 -0.0048
3.203 30.49 30.2000 10.9 0.292 1.522 30.14 -0.0051
3.303 30.50 30.2000 11.0 0.297 1.548 30.14 -0.0049
3.402 30.51 30.2000 11.2 0.304 1.578 30.15 -0.0047
3.504 30.52 30.1900 11.7 0.327 1.631 30.13 -0.0053
3.604 30.53 30.2100 11.5 0.323 1.640 30.15 -0.0045
3.703 30.54 30.1900 12.2 0.354 1.706 30.12 -0.0055
3.803 30.55 30.1900 12.4 0.366 1.740 30.12 -0.0056
3.903 30.56 30.1700 12.9 0.387 1.790 30.10 -0.0060
4.003 30.57 30.1700 13.3 0.408 1.838 30.09 -0.0065
4.103 30.58 30.1700 13.3 0.410 1.855 30.10 -0.0060
4.203 30.60 30.1700 13.5 0.422 1.886 30.10 -0.0060
4.303 30.61 30.1500 14.2 0.456 1.954 30.07 -0.0071
4.402 30.62 30.1500 14.5 0.470 1.988 30.06 -0.0071
4.504 30.63 30.1500 14.6 0.479 2.015 30.07 -0.0070
4.604 30.64 30.1600 14.6 0.485 2.036 30.08 -0.0066
4.703 30.66 30.1200 15.8 0.537 2.129 30.02 -0.0085
4.803 30.67 30.1300 15.6 0.535 2.138 30.04 -0.0078
4.903 30.68 30.1400 15.6 0.543 2.159 30.05 -0.0075
5.003 30.70 30.1200 16.3 0.577 2.223 30.02 -0.0085
5.103 30.71 30.1300 16.2 0.576 2.230 30.04 -0.0078
5.203 30.72 30.1200 16.6 0.599 2.275 30.02 -0.0082
5.304 30.73 30.1200 16.7 0.610 2.301 30.03 -0.0081
5.402 30.75 30.1100 17.1 0.633 2.346 30.01 -0.0085
5.503 30.76 30.1200 17.2 0.644 2.370 30.02 -0.0083
5.604 30.78 30.0900 17.9 0.680 2.435 29.98 -0.0094
5.703 30.79 30.1100 17.6 0.675 2.432 30.01 -0.0084
5.803 30.80 30.1100 18.0 0.696 2.472 30.00 -0.0087
5.903 30.82 30.1000 18.4 0.719 2.515 29.99 -0.0092
6.003 30.83 30.0800 18.9 0.750 2.570 29.96 -0.0100
6.103 30.85 30.1000 18.6 0.743 2.563 30.00 -0.0088
6.203 30.86 30.1000 18.9 0.765 2.603 29.99 -0.0091
6.304 30.87 30.1000 19.0 0.775 2.622 29.99 -0.0089
6.402 30.89 30.0800 19.6 0.810 2.683 29.96 -0.0099
6.503 30.90 30.0700 19.9 0.831 2.719 29.95 -0.0101
6.604 30.92 30.0700 20.1 0.848 2.750 29.95 -0.0102
6.703 30.93 30.0600 20.6 0.877 2.799 29.93 -0.0108
6.803 30.95 30.0800 20.3 0.873 2.795 29.96 -0.0098
6.903 30.96 30.0900 20.2 0.875 2.800 29.98 -0.0091
7.004 30.98 30.0700 20.8 0.909 2.857 29.95 -0.0100
7.103 30.99 30.0600 21.2 0.933 2.897 29.94 -0.0104
7.202 31.01 30.0500 21.7 0.964 2.948 29.91 -0.0111
7.304 31.03 30.0600 21.6 0.968 2.955 29.93 -0.0105
7.402 31.04 30.0700 21.4 0.970 2.959 29.95 -0.0097
7.503 31.06 30.0600 21.8 0.999 3.007 29.93 -0.0104
7.603 31.07 30.0500 22.1 1.018 3.037 29.93 -0.0105
7.703 31.09 30.0500 22.2 1.034 3.062 29.93 -0.0104
7.803 31.10 30.0300 22.9 1.069 3.119 29.90 -0.0113
7.902 31.12 30.0300 23.2 1.093 3.156 29.89 -0.0117
8.004 31.14 30.0500 22.7 1.085 3.143 29.93 -0.0104
8.104 31.15 30.0400 23.3 1.117 3.193 29.90 -0.0112
8.203 31.17 30.0500 23.1 1.120 3.196 29.92 -0.0104
8.303 31.18 30.0400 23.4 1.145 3.235 29.91 -0.0108
8.403 31.20 30.0300 23.7 1.168 3.270 29.90 -0.0111
8.503 31.22 30.0500 23.4 1.166 3.264 29.93 -0.0101
8.603 31.23 30.0300 24.0 1.202 3.320 29.90 -0.0110
8.702 31.25 30.0300 24.2 1.221 3.349 29.90 -0.0111
8.804 31.27 30.0300 24.4 1.238 3.372 29.90 -0.0110
8.902 31.28 30.0300 24.6 1.259 3.404 29.89 -0.0112
9.003 31.30 30.0400 24.4 1.262 3.405 29.91 -0.0105
9.104 31.32 30.0400 24.6 1.280 3.431 29.91 -0.0105
9.203 31.34 30.0200 25.1 1.311 3.477 29.89 -0.0111
9.303 31.35 30.0300 25.0 1.319 3.486 29.91 -0.0106
9.403 31.37 30.0300 25.3 1.342 3.519 29.90 -0.0108
9.504 31.39 30.0300 25.3 1.353 3.534 29.91 -0.0105
9.603 31.40 30.0300 25.4 1.371 3.558 29.91 -0.0105
9.702 31.42 30.0400 25.5 1.385 3.578 29.91 -0.0103
9.804 31.44 30.0400 25.5 1.398 3.593 29.92 -0.0100
9.903 31.46 30.0300 25.8 1.423 3.628 29.91 -0.0103
10.004 31.47 30.0300 26.1 1.444 3.657 29.90 -0.0105
10.103 31.49 30.0300 26.2 1.463 3.684 29.90 -0.0105
10.202 31.51 30.0200 26.5 1.485 3.712 29.90 -0.0106
10.304 31.53 30.0300 26.3 1.490 3.718 29.91 -0.0100
10.403 31.54 30.0300 26.6 1.513 3.747 29.91 -0.0102
10.503 31.56 30.0300 26.7 1.530 3.770 29.91 -0.0101
10.603 31.58 30.0400 26.5 1.536 3.774 29.93 -0.0095
10.703 31.60 30.0600 26.3 1.541 3.775 29.95 -0.0088
10.803 31.61 30.0500 26.7 1.567 3.813 29.94 -0.0092
10.902 31.63 30.0400 26.9 1.590 3.843 29.93 -0.0094
11.003 31.65 30.0300 27.4 1.619 3.883 29.91 -0.0099
11.104 31.67 30.0500 27.0 1.618 3.874 29.94 -0.0089
11.203 31.69 30.0500 27.2 1.637 3.900 29.94 -0.0089
11.303 31.70 30.0500 27.3 1.654 3.919 29.94 -0.0088
11.403 31.72 30.0500 27.3 1.666 3.932 29.95 -0.0085
11.504 31.74 30.0600 27.3 1.680 3.949 29.96 -0.0082
11.603 31.76 30.0600 27.4 1.695 3.966 29.97 -0.0080
11.703 31.78 30.0700 27.3 1.705 3.975 29.98 -0.0076
11.804 31.79 30.0700 27.5 1.727 4.003 29.97 -0.0077
11.902 31.81 30.1000 26.8 1.710 3.969 30.03 -0.0059
12.003 31.83 30.0700 27.8 1.762 4.045 29.98 -0.0076
12.104 31.85 30.0900 27.5 1.763 4.039 30.01 -0.0067
12.203 31.87 30.0900 27.6 1.780 4.058 30.01 -0.0066
12.303 31.89 30.1100 27.2 1.780 4.051 30.04 -0.0056
12.402 31.90 30.0900 27.7 1.810 4.092 30.02 -0.0062
12.504 31.92 30.1100 27.3 1.808 4.082 30.05 -0.0051
12.603 31.94 30.1200 27.3 1.820 4.094 30.06 -0.0048
12.702 31.96 30.1000 27.8 1.854 4.140 30.04 -0.0056
12.804 31.98 30.1100 27.7 1.863 4.146 30.05 -0.0050
12.903 32.00 30.1000 28.1 1.893 4.187 30.04 -0.0056
13.003 32.01 30.1200 27.8 1.892 4.176 30.07 -0.0046
13.103 32.03 30.1300 27.7 1.902 4.185 30.08 -0.0041
13.203 32.05 30.1500 27.3 1.901 4.174 30.11 -0.0031
13.303 32.07 30.1600 27.3 1.914 4.186 30.12 -0.0028
13.402 32.09 30.1600 27.3 1.925 4.197 30.14 -0.0024
13.504 32.11 30.1400 28.1 1.971 4.262 30.09 -0.0038
13.604 32.13 30.1900 26.8 1.932 4.192 30.18 -0.0009
13.703 32.15 30.1900 27.1 1.956 4.223 30.18 -0.0011
13.803 32.16 30.1900 27.2 1.973 4.242 30.18 -0.0010
13.903 32.18 30.2300 26.4 1.956 4.204 30.24 0.0008
14.003 32.20 30.2100 27.1 1.995 4.259 30.20 -0.0002
14.103 32.22 30.2100 27.1 2.009 4.273 30.21 -0.0000
14.203 32.24 30.2400 26.6 2.004 4.255 30.25 0.0012
14.304 32.26 30.2300 27.0 2.030 4.290 30.24 0.0008
14.402 32.28 30.2500 26.7 2.031 4.281 30.27 0.0017
14.503 32.30 30.2100 27.7 2.084 4.359 30.21 0.0000
14.604 32.32 30.2600 26.6 2.055 4.301 30.29 0.0024
14.703 32.33 30.2600 26.9 2.077 4.330 30.29 0.0023
14.803 32.35 30.2600 26.9 2.093 4.344 30.29 0.0024
14.903 32.37 30.2500 27.2 2.118 4.378 30.28 0.0021
15.004 32.39 30.2400 27.8 2.156 4.429 30.25 0.0011
15.103 32.41 30.3000 26.3 2.108 4.341 30.36 0.0045
15.202 32.43 30.3200 26.0 2.110 4.337 30.38 0.0053
15.304 32.45 30.3200 26.1 2.125 4.352 30.39 0.0055
15.402 32.47 30.3300 26.0 2.135 4.358 30.40 0.0059
