# time_s  celsius  duty_pct
1.504 30.6400 0.0
2.006 30.5900 0.0
2.508 30.5500 0.4
3.009 30.5000 0.9
3.510 30.5200 0.9
4.012 30.4800 1.5
4.513 30.5200 1.3
5.015 30.5700 1.1
5.516 30.5200 1.7
6.017 30.4800 2.2
6.519 30.4300 2.8
7.020 30.4800 2.6
7.522 30.4500 3.0
8.023 30.4300 3.4
8.524 30.4300 3.6
9.026 30.4100 4.1
9.527 30.3600 4.7
10.028 30.4100 4.5
10.529 30.4300 4.5
11.030 30.4100 5.0
11.532 30.3800 5.4
12.033 30.3600 5.9
12.535 30.3600 6.1
13.036 30.4300 5.8
13.537 30.3600 6.7
14.039 30.3600 7.0
14.540 30.3800 7.0
15.042 30.3400 7.7
15.543 30.3800 7.6
16.044 30.3600 8.1
16.546 30.3600 8.4
17.047 30.3600 8.8
17.549 30.3800 8.9
18.051 30.2900 10.0
18.552 30.3400 9.9
19.053 30.2700 10.8
19.555 30.3600 10.4
20.056 30.3100 11.1
20.558 30.3800 10.9
21.059 30.3400 11.6
21.560 30.4100 11.4
22.062 30.3800 12.0
22.563 30.4100 12.2
23.065 30.4300 12.4
23.566 30.4100 13.0
24.067 30.3800 13.6
24.569 30.4800 13.2
25.069 30.4100 14.2
25.571 30.4800 14.1
26.072 30.4500 14.7
26.574 30.4800 14.9
27.075 30.4800 15.4
27.577 30.5200 15.4
28.078 30.5700 15.5
28.580 30.6400 15.4
29.081 30.5700 16.5
29.583 30.6600 16.2
30.084 30.6400 16.9
30.586 30.7100 16.8
31.087 30.7300 17.1
31.589 30.7800 17.3
32.090 30.8000 17.6
32.592 30.8500 17.8
33.093 30.9000 17.9
33.595 30.9600 17.9
34.096 30.9400 18.7
34.598 31.0100 18.6
35.099 31.0800 18.6
35.601 31.1000 19.0
36.102 31.2000 18.8
36.603 31.2700 18.9
37.105 31.3800 18.5
37.606 31.3100 19.8
38.108 31.4300 19.4
38.609 31.4800 19.7
39.111 31.4800 20.3
39.611 31.5200 20.6
40.112 31.6700 20.1
40.614 31.7400 20.1
41.115 31.7800 20.4
41.617 31.8800 20.4
42.118 31.9700 20.3
42.619 32.0200 20.6
43.121 32.0900 20.7
43.622 32.2100 20.5
44.124 32.2500 20.8
44.625 32.4000 20.4
45.127 32.4400 20.8
45.628 32.5900 20.3
46.129 32.7000 20.1
46.631 32.8000 20.1
47.132 32.8000 21.0
47.634 32.9700 20.4
48.135 33.0400 20.6
48.637 33.1100 20.8
49.138 33.2500 20.4
49.639 33.3700 20.2
50.141 33.4900 20.1
50.643 33.5900 20.2
51.144 33.7300 19.8
51.646 33.9300 19.1
52.147 33.9500 19.8
52.648 34.1500 19.1
53.150 34.2400 19.2
53.651 34.3600 19.1
54.152 34.4100 19.6
54.653 34.5800 19.1
55.155 34.7500 18.6
55.656 34.8800 18.5
56.158 35.0500 18.0
56.659 35.2000 17.8
57.160 35.1700 19.0
57.662 35.4700 17.4
58.163 35.5400 17.8
58.665 35.7400 17.1
59.166 35.8200 17.5
59.667 35.9400 17.4
60.169 36.0700 17.4
60.670 36.2900 16.5
61.172 36.4400 16.2
61.673 36.6400 15.6
62.174 36.6900 16.2
62.676 36.9200 15.3
63.177 37.1000 14.8
63.679 37.2000 15.1
64.180 37.3600 14.8
64.682 37.5300 14.4
65.183 37.7100 13.9
65.685 37.8200 14.2
66.187 38.0000 13.7
66.688 38.1000 13.9
67.190 38.3600 12.8
67.691 38.4100 13.4
68.193 38.6200 12.7
68.694 38.8300 12.1
69.195 38.9600 12.1
69.696 39.0700 12.2
70.198 39.3000 11.3
70.699 39.3800 11.8
71.201 39.5100 11.7
71.702 39.7300 11.0
72.204 39.8900 10.7
72.705 40.0200 10.7
73.207 40.1800 10.4
73.708 40.3400 10.1
74.210 40.4800 10.1
74.711 40.6700 9.6
75.212 40.8000 9.5
75.714 40.8900 9.9
76.215 41.1300 8.9
76.717 41.1000 10.2
77.218 41.4100 8.6
77.719 41.6000 8.1
78.221 41.7100 8.2
78.722 41.9000 7.7
79.224 42.0100 7.8
79.725 42.2100 7.2
80.226 42.4900 6.0
80.728 42.4600 7.3
81.229 42.5200 7.9
81.731 42.8300 6.3
82.232 42.8600 7.1
82.734 43.0500 6.5
83.235 43.2000 6.3
83.736 43.3400 6.2
84.237 43.5400 5.5
84.739 43.5700 6.3
85.240 43.8300 5.1
85.742 44.0000 4.7
86.243 44.0600 5.3
86.744 44.1200 5.8
87.246 44.3800 4.6
87.748 44.5000 4.6
88.249 44.7300 3.7
88.751 44.7600 4.5
89.252 44.7300 5.7
89.753 45.0300 4.2
90.255 45.0600 4.9
90.756 45.2400 4.3
91.258 45.3900 4.1
91.759 45.4800 4.3
92.261 45.7500 3.0
92.762 45.7500 4.0
93.263 45.8400 4.2
93.765 45.9900 3.8
94.266 46.1400 3.5
94.768 46.2300 3.7
95.269 46.4400 2.8
95.770 46.4400 3.8
96.272 46.5400 3.9
96.773 46.6300 4.1
97.275 46.7800 3.7
97.776 46.9100 3.5
98.277 46.9700 3.9
98.779 47.1200 3.5
