# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred
2.110 30.67 30.6400 4.0 0.030 0.651
2.209 30.68 30.6400 4.5 0.041 0.729
2.309 30.69 30.6100 6.0 0.077 0.977
2.409 30.69 30.6300 5.4 0.064 0.869
2.509 30.70 30.6500 4.7 0.051 0.765
2.610 30.71 30.6500 5.1 0.062 0.832
2.709 30.72 30.6700 4.7 0.053 0.753
2.810 30.73 30.6600 5.2 0.068 0.850
2.909 30.74 30.6500 5.9 0.084 0.948
3.009 30.75 30.6600 5.8 0.084 0.933
3.110 30.76 30.6700 5.8 0.088 0.943
3.209 30.77 30.7100 4.3 0.056 0.700
3.309 30.78 30.6600 6.8 0.115 1.103
3.409 30.79 30.6700 6.6 0.114 1.069
3.509 30.80 30.6700 7.2 0.131 1.166
3.610 30.81 30.7000 6.0 0.109 0.978
3.709 30.82 30.6900 6.5 0.123 1.059
3.809 30.83 30.6700 7.9 0.158 1.272
3.909 30.84 30.6700 8.1 0.167 1.304
4.009 30.85 30.7000 7.0 0.148 1.135
4.110 30.86 30.6800 8.3 0.181 1.336
4.209 30.87 30.6900 8.2 0.186 1.335
4.309 30.89 30.6900 8.4 0.194 1.352
4.409 30.90 30.6900 8.5 0.203 1.375
4.510 30.91 30.6900 9.2 0.225 1.487
4.610 30.92 30.6900 9.1 0.229 1.469
4.708 30.93 30.7000 8.9 0.230 1.435
4.810 30.95 30.7100 9.0 0.239 1.453
4.908 30.96 30.7100 9.4 0.255 1.519
5.010 30.97 30.7100 9.3 0.260 1.506
5.110 30.99 30.7300 9.1 0.261 1.470
5.208 31.00 30.7100 9.9 0.286 1.600
5.310 31.01 30.7200 9.8 0.291 1.586
5.409 31.03 30.6800 12.1 0.351 1.956
5.509 31.04 30.7100 10.7 0.328 1.732
5.610 31.05 30.7200 10.4 0.329 1.683
5.709 31.07 30.7100 11.2 0.355 1.807
5.809 31.08 30.7600 9.6 0.325 1.544
5.909 31.09 30.7100 11.7 0.381 1.887
6.009 31.11 30.7300 11.4 0.382 1.834
6.110 31.12 30.7400 11.2 0.387 1.809
6.209 31.14 30.7400 11.3 0.397 1.818
6.309 31.15 30.7400 11.5 0.411 1.857
6.409 31.17 30.7200 12.8 0.448 2.061
6.509 31.18 30.7500 11.7 0.432 1.880
6.610 31.20 30.7500 11.9 0.446 1.916
6.709 31.21 30.7500 12.0 0.458 1.938
6.809 31.23 30.7600 12.2 0.471 1.966
6.909 31.24 30.7500 12.7 0.492 2.051
7.009 31.26 30.7500 12.9 0.505 2.077
7.110 31.27 30.7500 13.3 0.523 2.136
7.209 31.29 30.7600 12.9 0.525 2.079
7.309 31.30 30.7600 13.2 0.541 2.120
7.409 31.32 30.7600 13.6 0.560 2.188
7.509 31.33 30.7700 13.3 0.564 2.143
7.610 31.35 30.7700 13.8 0.585 2.217
7.709 31.37 30.7400 15.3 0.630 2.463
7.810 31.38 30.8600 10.1 0.522 1.624
7.909 31.40 30.7800 14.1 0.620 2.267
8.009 31.41 30.7700 14.6 0.641 2.342
8.110 31.43 30.7800 14.3 0.646 2.299
8.209 31.45 30.7900 14.4 0.659 2.316
8.309 31.46 30.7800 14.9 0.681 2.395
8.409 31.48 30.7900 14.9 0.692 2.392
8.510 31.50 30.7900 14.9 0.704 2.402
8.610 31.51 30.8000 15.0 0.717 2.415
8.708 31.53 30.8000 15.0 0.728 2.413
8.810 31.55 30.7900 15.9 0.758 2.548
8.908 31.56 30.8000 15.6 0.764 2.511
9.009 31.58 30.8000 15.6 0.775 2.509
9.110 31.60 30.8000 15.9 0.794 2.561
9.208 31.61 30.8200 15.3 0.791 2.454
9.310 31.63 30.8300 15.2 0.799 2.434
9.409 31.65 30.8300 15.3 0.813 2.458
9.509 31.66 30.8200 16.1 0.841 2.580
9.610 31.68 30.8400 15.8 0.846 2.537
9.709 31.70 30.8200 16.7 0.878 2.679
