# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred
9.600 23.00 22.2800 30.2 0.719 3.619
9.650 23.01 22.3500 28.4 0.656 3.397
9.701 23.02 22.3500 28.5 0.664 3.412
9.750 23.02 22.3500 28.7 0.673 3.429
9.800 23.03 22.4200 26.9 0.609 3.211
9.850 23.04 22.5700 23.2 0.475 2.759
9.901 23.05 22.3500 29.1 0.699 3.480
9.951 23.06 22.3500 29.2 0.707 3.495
10.000 23.07 22.2800 31.3 0.788 3.744
10.050 23.08 22.2800 31.4 0.797 3.761
10.101 23.08 22.2800 31.5 0.806 3.774
10.151 23.09 22.4200 27.8 0.670 3.320
10.200 23.10 22.2800 31.8 0.823 3.806
10.250 23.11 22.3500 30.0 0.760 3.586
10.301 23.12 22.4200 28.2 0.696 3.366
10.351 23.13 22.2800 32.2 0.849 3.850
10.401 23.14 22.1300 36.2 1.003 4.336
10.450 23.15 22.6400 22.9 0.508 2.711
10.500 23.15 22.2800 32.6 0.876 3.898
10.551 23.16 22.0600 38.5 1.102 4.620
10.601 23.17 22.3500 30.9 0.821 3.687
10.650 23.18 22.4900 27.2 0.686 3.236
10.700 23.19 22.1300 37.0 1.056 4.425
10.750 23.20 22.1300 37.0 1.064 4.436
10.801 23.21 22.2800 33.3 0.929 3.978
10.850 23.22 22.1300 37.3 1.082 4.461
10.901 23.23 22.2800 33.5 0.947 4.003
10.951 23.23 22.3500 31.8 0.883 3.785
11.000 23.24 22.4200 29.9 0.820 3.563
11.050 23.25 22.3500 32.0 0.901 3.815
11.101 23.26 22.4200 30.2 0.838 3.593
11.151 23.27 22.2100 36.1 1.063 4.314
11.201 23.28 22.4200 30.4 0.856 3.621
11.250 23.29 22.4200 30.6 0.865 3.639
11.300 23.30 22.3500 32.6 0.946 3.886
11.351 23.31 21.9900 42.4 1.317 5.080
11.401 23.31 22.4900 29.1 0.820 3.445
11.451 23.32 21.9900 42.6 1.335 5.106
11.500 23.33 22.2100 36.9 1.126 4.404
11.550 23.34 22.2800 35.1 1.063 4.182
11.601 23.35 22.5700 27.6 0.784 3.260
11.651 23.36 22.2100 37.3 1.153 4.451
11.701 23.37 22.6400 25.9 0.731 3.058
11.750 23.38 22.2800 35.6 1.099 4.244
11.801 23.39 22.2800 35.8 1.108 4.261
11.851 23.40 22.2800 35.9 1.117 4.271
11.901 23.41 22.3500 34.1 1.054 4.050
11.950 23.41 22.2800 36.1 1.136 4.299
12.000 23.42 22.3500 34.3 1.073 4.078
12.051 23.43 22.4200 32.5 1.010 3.858
12.101 23.44 22.4200 32.7 1.019 3.874
12.151 23.45 22.2800 36.6 1.172 4.355
12.200 23.46 22.1300 40.6 1.326 4.838
12.250 23.47 22.2100 38.7 1.263 4.614
12.301 23.48 21.8400 48.5 1.636 5.809
12.351 23.49 22.2800 37.0 1.209 4.399
12.400 23.50 22.1300 41.0 1.363 4.883
12.450 23.51 22.1300 41.0 1.372 4.891
12.500 23.52 22.4900 31.6 1.020 3.730
12.551 23.52 22.2800 37.5 1.246 4.448
12.600 23.53 22.2800 37.6 1.255 4.462
12.650 23.54 21.8400 49.2 1.700 5.890
12.701 23.55 22.1300 41.6 1.418 4.949
12.750 23.56 22.2800 37.8 1.283 4.492
12.800 23.57 22.0600 43.7 1.509 5.210
12.850 23.58 22.1300 41.9 1.446 4.982
12.901 23.59 22.4200 34.3 1.166 4.055
12.951 23.60 22.0600 44.0 1.537 5.245
13.000 23.61 22.2100 40.3 1.401 4.784
13.050 23.62 22.0600 44.2 1.555 5.266
13.101 23.63 22.1300 42.4 1.492 5.039
13.151 23.64 22.3500 36.7 1.284 4.346
13.201 23.64 22.3500 36.9 1.294 4.361
13.250 23.65 22.4200 35.0 1.231 4.139
13.301 23.66 21.9200 48.7 1.748 5.802
13.350 23.67 22.2800 39.1 1.394 4.631
13.400 23.68 21.9900 46.9 1.693 5.584
13.451 23.69 22.2800 39.3 1.413 4.651
13.500 23.70 22.0600 45.2 1.639 5.371
13.551 23.71 22.2100 41.4 1.503 4.907
13.600 23.72 22.2100 41.5 1.513 4.919
13.650 23.73 22.2100 41.6 1.522 4.932
13.701 23.74 22.0600 45.6 1.677 5.413
13.750 23.75 22.2800 39.9 1.469 4.714
13.800 23.76 22.1300 43.8 1.623 5.197
13.850 23.77 22.0600 45.9 1.705 5.445
13.901 23.78 22.0600 46.0 1.714 5.456
13.951 23.79 22.2800 40.2 1.506 4.757
14.000 23.79 22.1300 44.2 1.660 5.238
14.050 23.80 22.4200 36.6 1.381 4.311
14.101 23.81 22.1300 44.4 1.679 5.265
14.151 23.82 22.3500 38.8 1.472 4.572
14.201 23.83 22.2100 42.7 1.626 5.053
14.250 23.84 22.3500 39.0 1.491 4.594
14.300 23.85 22.1300 44.9 1.717 5.312
14.351 23.86 22.2800 41.1 1.582 4.854
14.401 23.87 22.3500 39.3 1.519 4.630
14.451 23.88 22.1300 45.2 1.745 5.350
14.500 23.89 22.0600 47.2 1.827 5.594
14.550 23.90 22.2100 43.4 1.692 5.133
14.601 23.91 22.3500 39.7 1.557 4.674
14.651 23.92 21.9200 51.4 2.001 6.102
14.701 23.93 22.1300 45.6 1.793 5.398
14.750 23.94 22.2800 41.9 1.657 4.940
14.800 23.95 22.2800 42.0 1.667 4.954
14.851 23.96 22.4200 38.3 1.532 4.493
14.901 23.96 22.3500 40.3 1.614 4.742
14.950 23.97 22.2800 42.4 1.695 4.991
15.000 23.98 22.2100 44.4 1.777 5.237
15.050 23.99 22.2800 42.6 1.715 5.015
15.101 24.00 22.0600 48.5 1.941 5.732
15.151 24.01 22.1300 46.6 1.878 5.506
15.200 24.02 22.0600 48.6 1.960 5.751
15.250 24.03 22.4200 39.1 1.608 4.587
15.301 24.04 22.2800 43.1 1.762 5.068
15.351 24.05 22.2100 45.1 1.844 5.313
15.401 24.06 22.2800 43.3 1.781 5.091
15.450 24.07 22.2800 43.4 1.791 5.102
15.500 24.08 22.4200 39.7 1.656 4.647
15.551 24.09 22.2800 43.6 1.810 5.129
15.601 24.10 22.4200 39.9 1.675 4.673
15.651 24.11 22.2100 45.8 1.901 5.389
15.700 24.12 22.2100 45.9 1.911 5.399
15.750 24.13 22.2800 44.0 1.848 5.177
15.801 24.14 22.3500 42.2 1.786 4.952
15.851 24.15 22.2800 44.3 1.867 5.202
15.900 24.16 22.1300 48.2 2.022 5.682
15.950 24.17 22.1300 48.3 2.031 5.691
16.000 24.18 22.4200 40.7 1.752 4.764
16.051 24.18 22.2800 44.7 1.906 5.245
16.101 24.19 22.4200 41.0 1.771 4.791
16.150 24.20 22.6400 35.4 1.566 4.104
16.200 24.21 21.9900 52.8 2.225 6.233
16.250 24.22 22.2100 47.0 2.016 5.531
16.301 24.23 22.2100 47.1 2.026 5.541
16.350 24.24 22.1300 49.2 2.108 5.788
16.400 24.25 22.2100 47.3 2.045 5.562
16.451 24.26 22.2800 45.5 1.983 5.337
16.500 24.27 22.2100 47.5 2.065 5.582
16.551 24.28 22.2800 45.7 2.002 5.360
16.600 24.29 22.2100 47.7 2.084 5.605
16.651 24.30 22.1300 49.8 2.166 5.853
16.701 24.31 22.3500 44.1 1.959 5.157
16.750 24.32 22.2100 48.0 2.113 5.638
16.800 24.33 22.2100 48.1 2.122 5.650
16.850 24.34 22.2800 46.3 2.060 5.426
16.901 24.35 22.2800 46.4 2.070 5.436
16.951 24.36 22.4900 40.8 1.863 4.747
17.000 24.37 22.2100 48.6 2.161 5.699
17.050 24.38 21.9200 56.4 2.462 6.652
17.101 24.39 22.4200 43.0 1.964 5.013
17.151 24.40 22.5700 39.3 1.830 4.559
17.201 24.41 22.2100 49.0 2.200 5.743
17.250 24.42 22.4900 41.4 1.921 4.819
17.300 24.43 22.2100 49.2 2.219 5.770
17.351 24.44 22.2800 47.4 2.157 5.544
17.401 24.45 22.2800 47.5 2.167 5.558
17.451 24.46 22.3500 45.7 2.104 5.334
17.500 24.46 22.4200 43.9 2.042 5.112
17.550 24.47 22.4900 42.1 1.980 4.890
17.601 24.48 22.4900 42.2 1.989 4.907
17.651 24.49 22.2100 50.0 2.287 5.857
17.701 24.50 22.3500 46.3 2.153 5.398
17.750 24.51 22.0600 54.1 2.452 6.353
17.800 24.52 22.4200 44.6 2.100 5.186
17.851 24.53 22.3500 46.6 2.182 5.432
17.901 24.54 22.4200 44.8 2.120 5.212
17.951 24.55 22.1300 52.6 2.418 6.163
18.000 24.56 22.4200 45.0 2.139 5.233
18.050 24.57 22.2800 48.9 2.293 5.715
18.101 24.58 22.3500 47.1 2.230 5.490
18.151 24.59 22.5700 41.5 2.025 4.804
18.201 24.60 22.4200 45.5 2.178 5.285
18.250 24.61 22.4200 45.6 2.188 5.298
18.300 24.62 22.2100 51.5 2.414 6.016
18.351 24.63 22.2100 51.5 2.424 6.022
18.401 24.64 22.2800 49.7 2.361 5.800
18.451 24.65 22.4200 46.0 2.227 5.342
18.500 24.66 22.4900 44.2 2.165 5.121
18.550 24.67 22.1300 53.9 2.535 6.309
18.601 24.68 22.2100 52.1 2.472 6.082
18.651 24.69 22.9900 31.3 1.696 3.536
18.701 24.70 22.4900 44.7 2.204 5.175
18.750 24.71 22.4900 44.8 2.213 5.188
18.800 24.72 22.4900 44.9 2.223 5.205
18.851 24.73 22.4200 47.0 2.305 5.451
18.901 24.74 22.2100 52.8 2.531 6.167
18.951 24.75 22.5700 43.4 2.181 5.010
19.000 24.76 22.3500 49.2 2.406 5.721
19.050 24.77 22.2800 51.2 2.488 5.970
19.101 24.78 22.3500 49.4 2.426 5.746
19.151 24.79 22.5700 43.8 2.220 5.056
19.201 24.80 21.9200 61.2 2.881 7.188
19.250 24.81 22.3500 49.7 2.455 5.779
19.300 24.82 22.5700 44.1 2.249 5.090
19.351 24.83 22.4900 46.1 2.331 5.338
19.401 24.84 22.4200 48.2 2.413 5.584
19.451 24.85 23.2700 25.6 1.571 2.828
19.500 24.86 22.4200 48.5 2.432 5.623
19.550 24.86 22.4200 48.6 2.442 5.635
19.601 24.87 22.5700 44.9 2.308 5.181
19.651 24.88 22.7100 41.2 2.175 4.730
19.701 24.89 22.1300 56.7 2.760 6.619
19.750 24.90 22.4200 49.1 2.481 5.689
19.800 24.91 22.3500 51.1 2.563 5.934
19.851 24.92 22.5700 45.5 2.357 5.245
19.901 24.93 22.4900 47.5 2.439 5.494
19.951 24.94 22.3500 51.5 2.592 5.975
20.000 24.95 22.2800 53.5 2.674 6.221
20.050 24.96 22.7100 42.2 2.254 4.832
20.101 24.97 22.1300 57.6 2.839 6.716
20.151 24.98 22.5700 46.2 2.416 5.319
20.201 24.99 22.3500 52.0 2.642 6.034
20.250 25.00 22.3500 52.1 2.651 6.044
20.300 25.01 22.4900 48.4 2.517 5.587
20.351 25.02 22.5700 46.6 2.456 5.370
20.401 25.03 22.4200 50.6 2.609 5.851
20.451 25.04 22.4200 50.7 2.619 5.863
20.500 25.05 22.5700 47.0 2.485 5.408
20.550 25.06 22.4200 50.9 2.638 5.891
20.601 25.07 22.3500 52.9 2.720 6.134
20.651 25.08 22.4900 49.2 2.586 5.680
20.701 25.09 22.4900 49.4 2.596 5.693
20.750 25.10 22.9900 36.2 2.108 4.087
20.800 25.11 22.3500 53.5 2.760 6.193
20.851 25.12 22.7800 42.2 2.340 4.811
20.901 25.13 22.7100 44.2 2.421 5.059
20.950 25.14 22.6400 46.2 2.502 5.307
21.000 25.15 22.8500 40.7 2.299 4.627
21.051 25.16 22.9200 39.0 2.238 4.414
21.101 25.17 22.6400 46.7 2.532 5.357
21.151 25.18 22.4900 50.6 2.685 5.837
21.200 25.19 22.7100 45.0 2.480 5.152
21.250 25.20 22.7800 43.3 2.419 4.936
21.301 25.21 22.7100 45.3 2.500 5.184
21.351 25.22 22.7100 45.5 2.510 5.202
21.401 25.23 22.5700 49.4 2.662 5.682
21.451 25.24 22.5700 49.5 2.672 5.695
21.500 25.25 22.6400 47.8 2.611 5.476
21.550 25.26 22.8500 42.2 2.407 4.796
21.601 25.27 22.4900 51.8 2.774 5.973
21.651 25.28 22.7800 44.4 2.498 5.060
21.701 25.29 22.4200 54.0 2.865 6.235
21.750 25.30 22.4900 52.2 2.803 6.015
21.800 25.31 22.7800 44.7 2.528 5.100
21.851 25.32 22.8500 43.0 2.466 4.884
21.901 25.33 22.6400 48.8 2.690 5.595
21.950 25.34 22.7100 47.0 2.628 5.378
22.000 25.35 22.6400 49.1 2.709 5.624
22.051 25.36 24.3800 3.0 0.981 -0.008
22.101 25.37 22.5700 51.4 2.801 5.912
22.150 25.38 22.8500 44.0 2.526 4.999
22.200 25.39 22.8500 44.1 2.535 5.015
22.250 25.40 22.7100 48.0 2.688 5.494
22.301 25.41 22.8500 44.4 2.555 5.046
22.351 25.42 22.9200 42.7 2.494 4.833
22.400 25.43 22.9900 40.9 2.433 4.621
22.450 25.44 22.9900 41.1 2.443 4.639
22.500 25.45 22.6400 50.7 2.808 5.811
22.551 25.46 22.7100 48.9 2.747 5.593
22.600 25.47 22.9900 41.5 2.473 4.685
22.650 25.48 22.8500 45.5 2.624 5.167
22.701 25.49 22.5700 53.2 2.919 6.109
22.750 25.50 22.7800 47.6 2.715 5.427
22.801 25.51 22.9900 42.1 2.513 4.751
22.850 25.52 22.8500 46.0 2.664 5.229
22.901 25.53 22.9200 44.3 2.603 5.015
22.951 25.54 23.0600 40.7 2.472 4.573
23.000 25.55 23.1300 39.0 2.411 4.366
23.050 25.56 22.7800 48.5 2.775 5.533
23.100 25.57 22.9200 44.9 2.643 5.089
23.151 25.58 23.0600 41.3 2.511 4.648
23.201 25.58 23.3400 34.0 2.241 3.754
23.250 25.59 22.8500 47.3 2.743 5.378
23.300 25.60 23.2000 38.1 2.400 4.248
23.350 25.61 23.2700 36.4 2.340 4.040
23.401 25.62 22.8500 47.8 2.773 5.437
23.451 25.63 22.9200 46.1 2.712 5.225
23.500 25.64 22.9200 46.2 2.722 5.239
23.550 25.65 23.2000 38.9 2.450 4.338
23.600 25.66 23.1300 40.9 2.530 4.587
23.651 25.67 22.7800 50.5 2.894 5.759
23.701 25.68 22.9900 45.0 2.691 5.083
23.750 25.69 23.0600 43.2 2.630 4.871
23.800 25.70 22.9900 45.3 2.711 5.118
23.851 25.71 23.1300 41.7 2.580 4.677
23.901 25.72 22.9900 45.6 2.731 5.154
23.951 25.73 22.8500 49.5 2.882 5.632
24.000 25.74 22.8500 49.6 2.892 5.647
24.050 25.75 22.9900 46.0 2.760 5.201
24.101 25.76 23.2000 40.5 2.559 4.532
24.151 25.77 23.2700 38.9 2.499 4.324
24.201 25.78 23.0600 44.6 2.720 5.030
24.250 25.79 23.0600 44.8 2.730 5.048
24.300 25.80 22.8500 50.6 2.952 5.755
24.351 25.81 23.1300 43.2 2.679 4.855
24.401 25.82 22.9200 49.0 2.901 5.562
24.451 25.83 23.4100 36.1 2.419 3.979
24.500 25.84 23.1300 43.7 2.709 4.912
24.550 25.85 23.3400 38.3 2.508 4.247
24.601 25.86 23.2000 42.2 2.658 4.724
24.651 25.87 23.2700 40.5 2.598 4.514
24.701 25.88 23.1300 44.5 2.748 4.995
24.750 25.89 23.2700 40.9 2.618 4.554
24.800 25.90 23.1300 44.8 2.768 5.033
24.851 25.91 23.3400 39.3 2.568 4.365
24.901 25.92 23.0600 47.0 2.859 5.301
24.951 25.93 23.0600 47.1 2.869 5.315
25.000 25.94 23.0600 47.3 2.878 5.335
25.050 25.95 23.2000 43.7 2.748 4.895
25.101 25.96 23.3400 40.1 2.618 4.456
25.151 25.97 23.3400 40.3 2.628 4.479
25.201 25.98 22.8500 53.6 3.130 6.102
25.250 25.99 23.5500 35.1 2.438 3.835
25.300 26.00 23.0600 48.3 2.938 5.451
25.351 26.01 23.1300 46.6 2.878 5.238
25.401 26.02 23.0600 48.6 2.958 5.485
25.451 26.03 23.3400 41.3 2.687 4.591
25.500 26.04 23.3400 41.5 2.697 4.609
25.550 26.05 23.3400 41.6 2.707 4.629
25.601 26.06 23.0600 49.3 2.998 5.562
25.651 26.07 23.3400 42.0 2.727 4.669
25.701 26.08 23.2000 45.9 2.877 5.145
25.750 26.09 23.1300 47.9 2.957 5.391
25.800 26.10 23.2700 44.3 2.827 4.952
25.851 26.11 23.4800 38.9 2.627 4.291
25.901 26.12 23.4800 39.1 2.637 4.313
25.951 26.13 23.8300 30.1 2.301 3.210
26.000 26.14 23.3400 43.2 2.797 4.814
26.050 26.15 23.3400 43.4 2.807 4.834
26.101 26.16 23.6200 36.2 2.538 3.949
26.151 26.17 23.2700 45.6 2.896 5.104
26.201 26.18 23.4100 42.1 2.767 4.669
26.250 26.19 23.2000 47.8 2.986 5.371
26.300 26.20 23.7600 33.2 2.440 3.580
26.351 26.21 23.4100 42.6 2.797 4.733
26.401 26.22 23.5500 39.1 2.667 4.301
26.451 26.23 23.4100 43.0 2.816 4.775
26.500 26.24 23.5500 39.5 2.687 4.342
26.551 26.25 23.4800 41.5 2.767 4.590
