# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred
2.702 29.79 30.6600 0.0 -0.872 -1.359
2.707 29.79 30.6700 0.0 -0.883 -1.380
2.712 29.79 30.6600 0.0 -0.870 -1.333
2.724 29.79 30.6700 0.0 -0.882 -1.364
2.745 29.79 30.6900 0.0 -0.895 -1.393
2.764 29.80 30.6800 0.0 -0.882 -1.349
2.786 29.80 30.6900 0.0 -0.898 -1.389
2.804 29.80 30.7000 0.0 -0.900 -1.386
2.825 29.80 30.7000 0.0 -0.898 -1.369
2.844 29.80 30.7100 0.0 -0.909 -1.399
2.865 29.80 30.7100 0.0 -0.911 -1.395
2.884 29.80 30.7200 0.0 -0.921 -1.412
2.905 29.80 30.7300 0.0 -0.925 -1.422
2.924 29.81 30.7300 0.0 -0.928 -1.422
2.945 29.81 30.7400 0.0 -0.936 -1.436
2.964 29.81 30.7500 0.0 -0.945 -1.449
2.985 29.81 30.7600 0.0 -0.952 -1.469
3.004 29.81 30.7700 0.0 -0.956 -1.475
3.025 29.81 30.7700 0.0 -0.959 -1.477
3.044 29.81 30.7800 0.0 -0.964 -1.480
3.065 29.81 30.7900 0.0 -0.974 -1.500
3.084 29.82 30.7900 0.0 -0.970 -1.485
3.106 29.82 30.7900 0.0 -0.975 -1.490
3.124 29.82 30.8000 0.0 -0.981 -1.497
3.145 29.82 30.8200 0.0 -0.997 -1.531
3.165 29.82 30.8100 0.0 -0.990 -1.511
3.184 29.82 30.8200 0.0 -0.998 -1.528
3.205 29.82 30.8300 0.0 -1.003 -1.535
3.224 29.82 30.8300 0.0 -1.009 -1.541
3.245 29.83 30.8400 0.0 -1.017 -1.556
3.264 29.83 30.8500 0.0 -1.024 -1.569
3.285 29.83 30.8500 0.0 -1.025 -1.565
3.304 29.83 30.8500 0.0 -1.024 -1.552
3.325 29.83 30.8600 0.0 -1.028 -1.561
3.344 29.83 30.8700 0.0 -1.033 -1.566
3.365 29.83 30.8700 0.0 -1.041 -1.578
3.384 29.84 30.8800 0.0 -1.049 -1.598
3.405 29.84 30.8900 0.0 -1.052 -1.599
3.424 29.84 30.9100 0.0 -1.068 -1.631
3.445 29.84 30.9000 0.0 -1.061 -1.609
3.464 29.84 30.9000 0.0 -1.064 -1.610
3.486 29.84 30.9200 0.0 -1.080 -1.645
3.504 29.84 30.9200 0.0 -1.074 -1.625
3.525 29.85 30.9200 0.0 -1.079 -1.629
3.544 29.85 30.9300 0.0 -1.087 -1.643
3.565 29.85 30.9400 0.0 -1.091 -1.652
3.584 29.85 30.9300 0.0 -1.084 -1.623
3.605 29.85 30.9500 0.0 -1.099 -1.661
3.624 29.85 30.9700 0.0 -1.114 -1.695
3.645 29.85 30.9500 0.0 -1.099 -1.644
3.665 29.86 30.9800 0.0 -1.120 -1.699
3.684 29.86 30.9600 0.0 -1.107 -1.655
3.705 29.86 30.9900 0.0 -1.127 -1.708
3.724 29.86 30.9900 0.0 -1.131 -1.709
3.745 29.86 30.9900 0.0 -1.128 -1.692
3.764 29.86 30.9900 0.0 -1.131 -1.696
3.785 29.86 31.0100 0.0 -1.142 -1.721
3.804 29.87 31.0100 0.0 -1.147 -1.722
3.825 29.87 31.0300 0.0 -1.163 -1.766
3.844 29.87 31.0100 0.0 -1.144 -1.711
3.866 29.87 31.0300 0.0 -1.163 -1.755
3.884 29.87 31.0500 0.0 -1.182 -1.799
3.905 29.87 31.0500 0.0 -1.180 -1.780
3.924 29.88 31.0600 0.0 -1.183 -1.788
3.945 29.88 31.0500 0.0 -1.176 -1.766
3.964 29.88 31.0700 0.0 -1.191 -1.800
3.986 29.88 31.0900 0.0 -1.205 -1.830
4.004 29.88 31.0900 0.0 -1.204 -1.816
4.025 29.88 31.0900 0.0 -1.211 -1.834
4.045 29.88 31.1000 0.0 -1.214 -1.838
4.065 29.89 31.1000 0.0 -1.209 -1.816
4.084 29.89 31.1100 0.0 -1.222 -1.842
4.105 29.89 31.1100 0.0 -1.223 -1.844
4.124 29.89 31.1200 0.0 -1.230 -1.852
4.145 29.89 31.1300 0.0 -1.238 -1.865
4.165 29.89 31.1400 0.0 -1.242 -1.875
4.184 29.90 31.1400 0.0 -1.249 -1.886
