# time_s  setpoint_c  celsius  duty_pct  err_real  err_pred  predicted_c  rate_c_s
4.603 837.37 835.7800 51.1 1.583 1.719 834.17 -0.1346
4.703 837.35 835.7800 50.7 1.571 1.692 834.17 -0.1339
4.804 837.34 835.7800 50.2 1.558 1.634 834.18 -0.1333
4.902 837.33 835.7800 49.9 1.546 1.614 834.19 -0.1326
5.003 837.31 835.7800 49.3 1.533 1.556 834.20 -0.1319
5.104 837.30 835.7800 49.0 1.520 1.528 834.21 -0.1313
5.203 837.29 835.7800 48.5 1.506 1.477 834.21 -0.1306
5.303 837.27 835.7800 48.1 1.493 1.449 834.22 -0.1300
5.402 837.26 835.7800 47.8 1.479 1.427 834.23 -0.1293
5.504 837.25 835.7800 47.5 1.466 1.406 834.24 -0.1287
5.603 837.23 835.7800 46.9 1.452 1.348 834.25 -0.1280
5.702 837.22 835.7800 46.6 1.439 1.327 834.25 -0.1274
5.804 837.21 835.7800 46.0 1.425 1.269 834.26 -0.1268
5.902 837.19 835.7800 45.5 1.411 1.210 834.27 -0.1261
6.003 837.18 835.7800 45.4 1.396 1.218 834.28 -0.1255
6.103 837.16 835.7800 44.9 1.382 1.167 834.28 -0.1249
6.203 837.15 835.7800 44.5 1.368 1.138 834.29 -0.1242
6.303 837.14 835.7800 44.0 1.353 1.079 834.30 -0.1236
6.402 837.12 835.7800 43.7 1.339 1.057 834.31 -0.1230
6.504 837.11 835.7800 43.1 1.324 0.998 834.31 -0.1224
6.604 837.09 835.7800 43.0 1.309 1.005 834.32 -0.1218
6.703 837.08 835.7800 42.5 1.294 0.953 834.33 -0.1212
6.803 837.06 835.7800 42.0 1.279 0.895 834.34 -0.1206
6.903 837.05 835.7800 41.8 1.264 0.901 834.34 -0.1200
7.003 837.03 835.7800 41.3 1.248 0.850 834.35 -0.1194
7.103 837.01 835.7800 41.0 1.233 0.820 834.36 -0.1188
7.202 837.00 835.7800 40.7 1.218 0.797 834.36 -0.1182
7.304 836.98 835.7800 40.1 1.202 0.738 834.37 -0.1176
7.402 836.97 835.7800 39.8 1.187 0.715 834.38 -0.1170
7.503 836.95 835.7800 39.5 1.171 0.693 834.39 -0.1164
7.604 836.94 835.7800 39.0 1.155 0.633 834.39 -0.1158
7.703 836.92 835.7800 38.7 1.139 0.610 834.40 -0.1152
7.803 836.90 835.7800 38.3 1.123 0.580 834.41 -0.1147
7.902 836.89 835.7800 37.8 1.107 0.528 834.41 -0.1141
8.004 836.87 835.7800 37.7 1.091 0.534 834.42 -0.1135
8.103 836.86 835.7800 37.2 1.075 0.482 834.43 -0.1130
8.202 836.84 835.7800 36.9 1.058 0.451 834.43 -0.1124
8.303 836.82 835.7800 36.6 1.042 0.428 834.44 -0.1118
8.403 836.81 835.7800 36.2 1.026 0.405 834.45 -0.1113
8.503 836.79 835.7800 35.8 1.009 0.353 834.45 -0.1107
8.603 836.77 835.7800 35.4 0.993 0.322 834.46 -0.1102
